Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
FAFMAA,All Years,1.941,0.1856,32.34,0.077,0.87,4.92,5.655172414,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
FAFMEE,All Years,1.859,0.180521,34.52,0.08,0.87,4.94,5.67816092,NON-POROUS,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.8-5.0),[5.0-12.0]
FEFNAF,All Years,2.212,0.214941,16.68,0.096,2.32,4.37,1.88362069,1D,[2.0-7.0],[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.3-4.4),[1.8-2.0)
DUYWAV,All Years,1.389,0.24088,59.55,0.137,2.81,4.8,1.708185053,1D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[2.6-3.0),[4.8-5.0),[1.6-1.8)
FEWNEA,All Years,1.16,0.243094,0.08,0.175,2.84,4.02,1.415492958,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[2.6-3.0),[3.9-4.2),[1.4-1.5)
DUDCEK01,All Years,1.274,0.221604,5.49,0.144,3.02,4.15,1.374172185,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.3-1.4)
FAFVIR,All Years,1.58,0.269606,8.56,0.16,3.27,4.14,1.266055046,2D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.2-1.3)
DUBFEL,All Years,0.995,0.548646,584.5,0.492,3.53,5.54,1.569405099,1D,[0.8-1.0),[0.5-0.6),[500-600),[0.4-0.5),[3.3-3.6),[5.3-5.6),[1.5-1.6)
FAVCAG,All Years,0.733,0.65217,2553.2,0.802,6.01,8.19,1.362728785,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
FAJZIZ,All Years,0.762,0.598823,2181.07,0.708,7.82,8.52,1.089514066,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.0-1.1)
FEJFEF,All Years,0.997,0.549615,1334.63,0.528,8.14,9.07,1.114250614,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.1-1.2)
FAGZAO,All Years,0.755,0.648546,1950.35,0.826,9.58,10.11,1.055323591,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1)
FAGZES,All Years,0.898,0.658293,1665.37,0.69,9.88,10.33,1.045546559,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1)
FUVCII,All Years,0.987,0.372647,10.46,0.338,3.61,4.17,1.155124654,1D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.6-3.8),[3.9-4.2),[1.1-1.2)
GADFUM,All Years,1.543,0.377536,394.21,0.253,3.93,5.84,1.486005089,1D,[1.5-1.6),[0.3-0.4),[300-400),[0.2-0.3),[3.8-4.0),[5.6-6.0),[1.4-1.5)
SADPIW,All Years,1.941,0.078942,27.38,0.038,1.16,4.65,4.00862069,2D,[1.8-2.0),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.6-4.8),[4.0-5.0)
GEZYOZ,All Years,1.31,0.14444,9.63,0.092,1.31,4.28,3.267175573,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0)
GENZUU,All Years,1.18,0.188495,28.43,0.122,1.33,4.33,3.255639098,2D,[1.1-1.2),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0)
GIJDIM,All Years,2.15,0.118892,20.93,0.042,1.69,4.77,2.822485207,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.5-3.0)
GIJDEI,All Years,1.585,0.239046,66.46,0.117,1.74,4.41,2.534482759,1D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.5-3.0)
GIHVOI,All Years,1.528,0.301591,24.77,0.156,2.04,4.36,2.137254902,1D,[1.5-1.6),[0.3-0.4),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
COKDUB01,All Years,1.602,0.284958,42.65,0.216,3.01,4.56,1.514950166,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.2-0.3),[3.0-3.3),[4.5-4.6),[1.5-1.6)
SANHIY,All Years,1.265,0.31295,92.67,0.192,3.03,4.59,1.514851485,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[3.0-3.3),[4.5-4.6),[1.5-1.6)
SAJTOM,All Years,0.606,0.580501,2427.58,0.878,6.97,8.09,1.160688666,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
GEWMIE,All Years,0.418,0.733191,2734.23,1.631,13.85,14.42,1.041155235,1D,[0.0-0.6),[0.7-0.8),[2000-3000),[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.0-1.1)
SEDHAK,All Years,1.308,0.137643,72.67,0.075,1.21,4.86,4.016528926,3D,[1.3-1.4),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.8-5.0),[4.0-5.0)
KAMGEK,All Years,1.714,0.081067,3.32,0.03,1.48,4.19,2.831081081,1D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0)
KEBRAK,All Years,2.218,0.123559,25.18,0.042,1.74,4.92,2.827586207,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.8-5.0),[2.5-3.0)
KEBREO,All Years,1.69,0.229365,76.58,0.108,1.82,4.61,2.532967033,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0)
JALTUL,All Years,0.52,0.529585,17.87,0.931,3.1,4.13,1.332258065,3D,[0.0-0.6),[0.5-0.6),[0-50),[0.8-1.0),[3.0-3.3),[3.9-4.2),[1.3-1.4)
VEHLAV,All Years,1.172,0.364099,171.19,0.249,3.31,4.68,1.413897281,3D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.4-1.5)
VANMAY,All Years,0.769,0.7559,2327.15,0.919,4.75,6.16,1.296842105,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3)
KAWFIX,All Years,0.824,0.422146,1427.73,0.516,5.65,6.21,1.099115044,1D,[0.8-1.0),[0.4-0.5),[1250-1500),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.0-1.1)
CORMIF10,All Years,0.88,0.588084,1687.07,0.601,5.77,7.39,1.280762565,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3)
SAWVOB,All Years,0.979,0.557173,1950.21,0.524,7.07,7.43,1.050919378,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1)
