Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
AXENEW,2004,1.286,0.242,54.81,0.155,3.26,4.48,1.374,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[3.0-3.3),[4.4-4.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AXENEW
IJOMOJ02,2004,1.615,0.279,157.44,0.179,3.29,4.81,1.462,1D,[1.6-1.8),[0.2-0.3),[150-200),[0.1-0.2),[3.0-3.3),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IJOMOJ02
IJOMOJ04,2004,1.618,0.277,154,0.181,3.29,4.8,1.459,1D,[1.6-1.8),[0.2-0.3),[150-200),[0.1-0.2),[3.0-3.3),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IJOMOJ04
ATICAH,2004,1.595,0.289,183.15,0.187,3.3,4.99,1.512,1D,[1.5-1.6),[0.2-0.3),[150-200),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ATICAH
IQEWOQ,2004,1.588,0.295,201.98,0.192,3.3,4.99,1.512,1D,[1.5-1.6),[0.2-0.3),[200-300),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IQEWOQ
NADNIQ,2004,1.202,0.286,142.04,0.157,3.31,5.19,1.568,2D,[1.2-1.3),[0.2-0.3),[100-150),[0.1-0.2),[3.3-3.6),[5.0-5.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NADNIQ
ULAGIX,2004,1.462,0.292,51.09,0.161,3.31,4.42,1.335,1D,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[3.3-3.6),[4.4-4.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ULAGIX
OLOKIJ01,2004,0.805,0.53,602.1,0.55,3.31,5.78,1.746,1D,[0.8-1.0),[0.5-0.6),[600-800),[0.5-0.6),[3.3-3.6),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OLOKIJ01
EBEMOO,2004,1.591,0.228,17.19,0.108,3.32,4.43,1.334,1D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[3.3-3.6),[4.4-4.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EBEMOO
BESJEP,2004,1.671,0.399,130.46,0.215,3.32,5.2,1.566,1D,[1.6-1.8),[0.3-0.4),[100-150),[0.2-0.3),[3.3-3.6),[5.0-5.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BESJEP
