Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-),0
AZUFEG,2004,2.138,0.189,50.17,0.08,3.11,5.08,1.633,1D,[2.0-7.0],[0.1-0.2),[50-100),[0.0-0.1),[3.0-3.3),[5.0-5.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AZUFEG
EZENAY,2004,1.249,0.415,227.16,0.247,3.12,5.57,1.785,2D,[1.2-1.3),[0.4-0.5),[200-300),[0.2-0.3),[3.0-3.3),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EZENAY
ILAMAJ,2004,1.057,0.372,282.58,0.263,3.13,5.33,1.703,1D,[1.0-1.1),[0.3-0.4),[200-300),[0.2-0.3),[3.0-3.3),[5.3-5.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ILAMAJ
BAXTEA,2004,1.385,0.157,0.56,0.078,3.14,4.08,1.299,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[3.0-3.3),[3.9-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BAXTEA
OLUCIH,2004,1.263,0.422,27.61,0.276,3.14,4.3,1.369,2D,[1.2-1.3),[0.4-0.5),[0-50),[0.2-0.3),[3.0-3.3),[4.3-4.4),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OLUCIH
ATIBOU,2004,1.662,0.268,113.69,0.169,3.14,4.59,1.462,1D,[1.6-1.8),[0.2-0.3),[100-150),[0.1-0.2),[3.0-3.3),[4.5-4.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ATIBOU
AMAPIN,2004,1.195,0.337,181.87,0.204,3.15,4.94,1.568,1D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[3.0-3.3),[4.8-5.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=AMAPIN
IPAVUQ,2004,1.26,0.39,409.1,0.258,3.16,5.65,1.788,1D,[1.2-1.3),[0.3-0.4),[400-500),[0.2-0.3),[3.0-3.3),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=IPAVUQ
EBEMEE,2004,1.609,0.218,12.78,0.098,3.2,4.39,1.372,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.0-0.1),[3.0-3.3),[4.3-4.4),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=EBEMEE
VASQUC,2004,1.496,0.321,179.23,0.193,3.2,4.84,1.513,1D,[1.4-1.5),[0.3-0.4),[150-200),[0.1-0.2),[3.0-3.3),[4.8-5.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=VASQUC
OBUFIB,2004,1.564,0.287,8.93,0.138,3.22,4.29,1.332,1D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[4.2-4.3),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OBUFIB
YADTAZ,2004,1.351,0.288,4.51,0.146,3.26,4.12,1.264,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[3.0-3.3),[3.9-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=YADTAZ
BEHPOU,2004,1.027,0.38,266.4,0.29,3.26,4.92,1.509,1D,[1.0-1.1),[0.3-0.4),[200-300),[0.2-0.3),[3.0-3.3),[4.8-5.0),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=BEHPOU
