ddec-code,VF,Metal_density(g/cm^3),density_g_cm3,PLD,LCD,vsa_m2_cm3,gsa_m2_g,PoreVolum_cm3_g,Qst_CO,Qst_N2,Delta_Qst,CO_des,N2_des,CO_40bar,N2_40bar,CO_200K,N2_200K,CO_PTSA,N2_PTSA,S_PSA,S_TSA,S_TSA+,Delta_PSA,Delta_TSA-,Delta_TSA+,Regenerability_PSA,Regenerability_TSA-,Regenerability_TSA+,Recovery_PSA,Recovery_TSA-,Recovery_TSA+,Purity_PSA,Purity_TSA-,Purity_TSA+,Cyclic_working_cap_PSA,Cyclic_working_cap_TSA-,Cyclic_work_cap_TSA+,URL
NIGDEO,0.79,0.135825186,0.63,7.42,13.94,1999.33,3155.84,1.25,14.52,12.07,2.45,0.44,0.21,6.23,2.71,5.14,1.51,14.67,4.09,2.3,3.4,2.09,5.79,4.7,0.35,92.91,91.4,78.78,0.6,0.72,0.43,0.631408609,0.620948638,0.58058635,6.853475831,5.510279452,0.246766013,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIGDEO
NIGDIS,0.81,0.136573217,0.62,7.35,14.03,2085.41,3349.08,1.29,14.72,12.07,2.65,0.47,0.22,6.62,2.8,5.52,1.58,15.46,4.23,2.36,3.48,2.16,6.14,5.05,0.37,92.87,91.45,78.46,0.6,0.65,0.45,0.616426984,0.687466558,0.589717436,7.547107721,4.699285025,0.282814133,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIGDIS
NIMPEG,0.69,0.105282967,0.74,5.25,5.91,2109.31,2867.83,0.93,16.55,13.97,2.58,0.41,0.2,5.24,2.33,5.63,1.84,11.38,3.08,2.25,3.06,2.08,4.84,5.23,0.34,92.23,92.77,82.57,0.61,0.82,0.46,0.629442655,0.644192824,0.574438035,6.286973423,5.768876344,0.253282668,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIMPEG
NIMPEG01,0.62,0.090007817,0.63,5.41,8.15,2556.51,4065.72,0.98,14.57,12.5,2.07,0.37,0.2,5.78,2.91,4.71,1.68,14.05,4.78,1.98,2.81,1.87,5.4,4.33,0.3,93.51,92.04,78.76,0.59,0.85,0.42,0.606045507,0.696811796,0.554973168,6.724999065,5.944748283,0.216292863,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIMPEG01
NIMPOQ,0.76,0.082561852,0.56,7.48,9.48,2461.42,4406.78,1.35,13.27,11.32,1.94,0.32,0.17,5.7,2.99,3.66,1.42,14.92,5.44,1.91,2.58,1.81,5.39,3.35,0.24,94.45,91.35,76.4,0.6,0.77,0.39,0.609949364,0.779966865,0.569269558,7.683677006,5.816032952,0.165867591,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NIMPOQ
NOBWUY,0.81,0.228557101,0.66,7.86,18.88,2107.13,3193.33,1.23,13.63,10.86,2.78,0.4,0.16,7.29,2.52,5.06,1.21,17.61,3.25,2.89,4.2,2.5,6.89,4.66,0.31,94.47,92.03,76.14,0.61,0.87,0.41,0.610135211,0.900043538,0.581077848,8.001185225,7.162109756,0.212831883,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NOBWUY
NUTQAV,0.78,0.192437776,0.72,6.87,10.91,2197.14,3040.02,1.08,14.16,11.58,2.58,0.43,0.19,6.64,2.58,5.14,1.41,15.23,3.18,2.57,3.65,2.31,6.21,4.71,0.33,93.52,91.63,77.18,0.62,0.71,0.5,0.631984791,0.748087603,0.614977138,7.540535891,4.808900318,0.292152018,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NUTQAV
NUTQEZ,0.77,0.20348159,0.8,8.34,11.7,2148.61,2673.24,0.96,14.62,12.31,2.31,0.48,0.21,6.5,2.48,5.7,1.56,13.71,2.86,2.62,3.65,2.28,6.03,5.22,0.37,92.66,91.63,77.77,0.72,0.78,0.53,0.581005333,0.689565292,0.621578038,8.986292408,6.043299321,0.351726266,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NUTQEZ
OFOCUI,0.77,0.208409958,0.79,7.78,11.38,2177.39,2758.74,0.98,14.52,12.17,2.35,0.48,0.21,6.49,2.42,5.91,1.57,13.55,2.6,2.68,3.76,2.32,6.01,5.43,0.37,92.56,91.83,77.32,0.62,0.82,0.46,0.638900773,0.691226924,0.597099709,7.026248483,5.446758302,0.298500852,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OFOCUI
OGEBAF01,0.82,0.119569168,0.5,10.55,14.75,1988.17,3937.3,1.63,13.01,10.26,2.75,0.3,0.14,5.64,2.66,3.06,0.97,16.37,5.52,2.12,3.15,2.06,5.34,2.76,0.23,94.72,90.27,75.96,0.59,0.65,0.44,0.596807334,0.699761026,0.577010508,7.351330715,2.793576655,0.18785599,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OGEBAF01
OKABAE,0.8,0.163042623,0.65,9.53,14.07,2014.86,3095.75,1.23,13.9,11.21,2.69,0.37,0.17,5.98,2.54,4.25,1.22,14.77,3.83,2.35,3.48,2.15,5.61,3.88,0.29,93.8,91.26,77.22,0.59,0.69,0.45,0.601027314,0.727679131,0.582469288,6.770090524,3.797200307,0.223415177,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OKABAE
OKABEI,0.8,0.162724607,0.65,9.42,13.87,2032.66,3112.72,1.22,14.59,11.6,2.99,0.41,0.18,6.11,2.57,4.62,1.27,14.79,3.88,2.38,3.65,2.24,5.7,4.2,0.32,93.23,91.04,78.35,0.5,0.62,0.41,0.509115006,0.653240635,0.520190422,4.872135912,2.771645943,0.158541975,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OKABEI
ONIXOZ,0.69,0.229691218,1.06,9.19,9.94,1787.97,1682.27,0.65,17.47,14.77,2.7,0.77,0.29,6.07,1.93,6.77,1.5,11.82,1.69,3.15,4.53,2.66,5.31,6.01,0.62,87.38,88.69,81.27,0.71,0.8,0.57,0.591192556,0.747859066,0.650420565,6.793072156,6.462454941,0.558254136,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=ONIXOZ
OQANIE,0.48,0.207789659,1.08,4.16,7.7,1022.2,942.27,0.44,21.93,19.27,2.66,0.68,0.28,3.39,1.26,4.34,1.11,6.65,1.26,2.69,3.92,2.38,2.72,3.67,0.56,80.05,84.42,82.99,0.52,0.61,0.55,0.510543758,0.597653009,0.616706872,2.982541766,2.710758439,0.466534887,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OQANIE
PALTIH,0.6,0.106748433,0.72,8.72,11.04,1654.89,2287.91,0.83,14.93,11.9,3.03,0.22,0.1,3.49,1.65,2.63,0.79,9.27,3.08,2.12,3.33,2.14,3.27,2.41,0.17,93.7,91.63,79.23,0.59,0.65,0.4,0.598591799,0.677140169,0.566549808,4.444400192,2.61088283,0.111762639,https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PALTIH
