Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
ABAVIJ,1.524,0.228104,5.35,0.094,1.81,4.19,2.314917127,1D
ABAXIN,1.474,0.181924,6.22,0.082,1.31,4.29,3.27480916,1D
ABAZAF01,1.255,0.300517,52.54,0.17,1.4,4.56,3.257142857,3D
ABAZAF,1.257,0.288481,49.28,0.169,1.53,4.34,2.836601307,2D
ABAZEI,1.109,0.208772,6.93,0.142,1.8,4.16,2.311111111,1D
ABEFUL,1.55,0.252496,32.9,0.102,3.02,4.56,1.509933775,1D
ABEXEM,1.897,0.228263,4.75,0.106,2.98,4.22,1.416107383,1D
ABEXIQ,1.925,0.224454,1.14,0.101,2.91,4.12,1.41580756,1D
ABIREJ,1.491,0.282949,5.28,0.162,2.57,4.2,1.634241245,1D
ABIXEP,1.486,0.411588,558.6,0.254,4.59,6.49,1.413943355,1D
ABOBUQ,1.436,0.352576,69.5,0.197,3.39,4.29,1.265486726,1D
ABOCAV,1.552,0.149363,3.2,0.066,1.26,4.12,3.26984127,1D
ABOWIA,0.819,0.593097,920.65,0.693,3.29,5.61,1.705167173,1D
ABUBOQ,2.405,0.199094,9.25,0.076,2.64,4.31,1.632575758,1D
ABULAL,1.483,0.352357,146.25,0.179,3.21,4.85,1.510903427,1D
ABULUG,0.357,0.843427,5875.72,2.303,9.28,10.56,1.137931034,1D
ACAFAN,1.276,0.312691,102.92,0.176,2.52,4.76,1.888888889,2D
ACAFER,1.311,0.281693,35.63,0.151,2.2,4.39,1.995454545,1D
ACAFIT,1.727,0.252705,53.17,0.112,2.71,4.63,1.708487085,1D
ACAFIV,1.307,0.22014,0.42,0.096,1.91,4.08,2.136125654,1D
ACAFOB,1.302,0.227771,0.97,0.099,1.92,4.11,2.140625,1D
ACAFOZ,1.629,0.332395,149.22,0.151,3.13,4.91,1.568690096,1D
ACAGAM,2.344,0.130389,29.88,0.046,2.08,4.79,2.302884615,1D
ACAJOF,1.218,0.36134,601.05,0.24,5.63,6.37,1.131438721,1D
ACASUT,1.062,0.639495,1199.19,0.57,4.05,5.72,1.412345679,1D
ACATAB,0.596,0.764238,2967.34,1.189,7.25,8.46,1.166896552,1D
ACATIJ,1.362,0.297113,197.75,0.169,3.2,5.46,1.70625,1D
ACEGOG,1.42,0.325417,59.23,0.192,2.9,4.39,1.513793103,1D
ACEKOK,1.333,0.346678,380.25,0.211,3.85,5.83,1.514285714,1D
