Refcode,Density (g/cm3),"Helium Void Fraction F(He,T) (-)","Surface Area S(AC,T) (m2/g)","Pore Volume V(PO,T) (cm3/g)",Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity
KORLAE,0.35,0.753867,9996.08,2.255,5.11,6.55,1.281800391,1D
KORMOV,1.771,0.111034,2.14,0.038,2.47,4.21,1.704453441,1D
KORYOH,2.769,0.268198,66.64,0.066,2.58,5.15,1.996124031,1D
KOSFIH,1.721,0.184619,51.2,0.098,1.1,4.39,3.990909091,1D
KOSJAF,1.188,0.679029,1180.5,0.497,9.74,10.86,1.114989733,1D
KOSJEJ,1.186,0.685818,1189.05,0.505,9.66,10.88,1.126293996,1D
KOSJIN,1.186,0.681431,1185.52,0.503,9.72,10.89,1.12037037,1D
KOSJOT,1.181,0.685762,1192.62,0.507,9.65,10.92,1.131606218,1D
KOSJUZ,1.181,0.684784,1193.12,0.507,9.69,10.9,1.124871001,1D
KOSKAG,1.178,0.688632,1197.44,0.51,9.85,11.09,1.125888325,1D
KOSKEK,1.179,0.687789,1191.55,0.509,9.65,10.97,1.136787565,1D
KOSKIO01,1.182,0.66947,1176.99,0.497,9.62,10.83,1.125779626,1D
KOSKIO,1.188,0.680314,1181.62,0.501,9.69,10.85,1.119711042,1D
KOSKUA,1.171,0.699276,1215.9,0.522,10.64,11.42,1.073308271,1D
KOSLAH,1.168,0.694991,1206.81,0.519,10.76,11.56,1.074349442,1D
KOSLEL,1.203,0.684782,1172.94,0.495,9.79,10.86,1.109295199,1D
KOSLIP,1.197,0.684842,1157.46,0.497,9.69,10.96,1.131062951,1D
KOSLOV,1.194,0.68834,1167.24,0.5,9.86,10.93,1.10851927,1D
KOSLUB,1.2,0.681621,1168.52,0.493,9.72,10.89,1.12037037,1D
KOSMAI,1.195,0.522831,1020.42,0.412,8.19,9.71,1.185592186,1D
KOTSIX,1.297,0.205399,52.63,0.122,1.81,4.57,2.524861878,1D
KOWKUC,0.93,0.201859,183.46,0.161,1.29,5.15,3.992248062,3D
KOWRIZ,1.367,0.301793,0.27,0.15,2.37,4.04,1.70464135,1D
KOYRAT,0.995,0.534257,785.53,0.445,4.52,6.3,1.39380531,1D
KOYWEC,1.277,0.348853,29.08,0.231,3.1,4.38,1.412903226,1D
KOZGEN,0.515,0.739703,1915.55,1.412,15.52,15.86,1.021907216,1D
KOZSEZ,1.213,0.138198,72.72,0.075,3.49,5.28,1.512893983,1D
KOZSID,1.213,0.140535,56.92,0.077,3.45,5.22,1.513043478,1D
KOZSOJ,1.232,0.133269,44.45,0.067,3.21,5.03,1.566978193,1D
KOZVOM,1.008,0.613834,1384.47,0.56,6.3,7.77,1.233333333,1D
KOZZAC,1.077,0.282931,52.01,0.201,1.83,4.64,2.535519126,1D
KOZZOQ,1.152,0.252933,52.79,0.173,1.1,4.38,3.981818182,2D
KOZZUW,1.008,0.277273,181.71,0.211,1.61,5.27,3.273291925,2D
KUBCIV,0.589,0.667644,3251.19,1.066,6.73,7.47,1.109955423,1D
KUBCUH,0.544,0.654635,3633.51,1.169,6.7,7.58,1.131343284,1D
KUBQAA,0.859,0.513351,1079.6,0.486,4.67,8.8,1.884368308,1D
KUBXOW,1.188,0.215583,128.49,0.125,4,4.52,1.13,1D
KUBYOW,1.137,0.369158,137.93,0.253,3.23,4.43,1.371517028,1D
KUBZEN,1.441,0.329896,113.91,0.167,3.05,4.98,1.632786885,1D
KUCDIW,0.823,0.507984,1292.62,0.548,3.78,14.67,3.880952381,3D
KUCJAU,1.247,0.170568,0.9,0.091,1.27,4.16,3.275590551,3D
KUCKAV,1.188,0.344722,67.59,0.249,2.42,4.56,1.884297521,1D
KUCLIF,1.052,0.275801,21.07,0.15,2.79,4.22,1.512544803,1D
KUCPII,1.297,0.267725,5.39,0.132,2.51,4.1,1.633466135,1D
KUDJOI,0.998,0.417465,846.1,0.375,3.98,6.37,1.600502513,1D
KUDLUR,1.947,0.305375,245.01,0.123,4.72,6.68,1.415254237,1D
KUDMAY,1.932,0.306713,245.24,0.128,4.69,6.63,1.413646055,1D
KUDPOP,1.504,0.182897,9.29,0.073,1.05,4.22,4.019047619,3D
KUFPUX,2.556,0.125051,22.69,0.046,1.96,4.96,2.530612245,3D
KUFQAE,2.558,0.124932,22.85,0.046,1.97,4.99,2.532994924,3D
KUFQEI,2.598,0.117211,22.32,0.042,1.99,5.04,2.532663317,3D
KUFQIM,2.594,0.116627,15.6,0.041,1.87,4.73,2.529411765,2D
KUGXUH,1.189,0.17112,42.45,0.103,1.39,4.55,3.273381295,1D
KUHYUI,1.47,0.14207,10.61,0.053,2.19,4.37,1.99543379,1D
KUJFUS,1.012,0.33155,219.23,0.392,2.56,4.82,1.8828125,1D
KUKHIJ,1.159,0.407742,540.23,0.277,4.53,5.66,1.249448124,1D
KULCUR,1.275,0.262381,29.96,0.15,1.52,4.3,2.828947368,1D
KULRIT,1.753,0.276957,73.28,0.114,1.6,4.52,2.825,1D
KULWAR,1.08,0.388464,623.5,0.286,4.05,6.76,1.669135802,1D
KUMBOL,1.684,0.177202,18.79,0.071,2.32,4.37,1.88362069,1D
KUMBUR,1.689,0.176188,18.01,0.071,2.32,4.38,1.887931034,1D
KUMCUS,0.903,0.585188,1145.66,0.625,4.33,5.61,1.295612009,1D
KUMDAZ,0.927,0.590485,1074.55,0.608,4.28,5.56,1.299065421,1D
KUMDED,0.909,0.585447,1121.53,0.62,4.33,5.62,1.297921478,1D
KUMDIH,0.918,0.588185,1118.4,0.619,4.33,5.63,1.300230947,1D
KUMDON,0.936,0.592341,1080.31,0.603,4.31,5.6,1.299303944,1D
KUMFOP,0.713,0.678491,2439.06,0.899,5.8,7.52,1.296551724,1D
KUMGOQ,1.722,0.414243,354.38,0.253,3.59,5.75,1.601671309,1D
KUMGUW,0.903,0.655695,1112.17,0.651,18.35,18.93,1.031607629,1D
KUMHOR,0.639,0.672602,2440.7,1.01,9.82,10.84,1.103869654,1D
KUMJOT,1.081,0.375629,610.73,0.281,3.84,7.05,1.8359375,1D
KUMWIZ,1.344,0.123712,93.96,0.07,1.24,7.04,5.677419355,3D
KUNDEE,1.833,0.144477,49.85,0.054,1.92,5.43,2.828125,3D
KUNHEH,1.185,0.371421,205.18,0.238,3.63,4.98,1.371900826,1D
KUNJOT,2.736,0.248247,103.53,0.09,2.99,5.35,1.789297659,1D
KUNLEL,1.585,0.168126,24.95,0.088,1.49,4.2,2.818791946,1D
KUNQUH,1.269,0.4186,236.8,0.262,2.19,4.69,2.141552511,2D
KUNRAO,1.225,0.45742,170.35,0.293,2.93,5,1.706484642,1D
KUNTAQ02,0.963,0.64905,1254.41,0.508,6.66,7.25,1.088588589,1D
KUNTAQ03,0.964,0.646587,1245.07,0.507,6.71,7.23,1.077496274,1D
KUPFEH,1.422,0.160648,50.64,0.083,1.21,4.82,3.983471074,3D
KUPTIA,0.834,0.710969,1606.82,0.764,10.45,14.9,1.425837321,1D
KUPXAV,1.369,0.234161,102.29,0.169,2.72,4.64,1.705882353,1D
KUQCOP,0.957,0.489769,1427.72,0.433,4.54,5.89,1.297356828,1D
KUQYAX,1.438,0.242278,45.55,0.119,1.87,4.31,2.304812834,1D
KUQZAZ,0.845,0.664728,1135.93,0.658,3.73,5.97,1.600536193,1D
KURHIQ,1.412,0.25859,148.79,0.177,1.27,5.09,4.007874016,1D
KURHOW,0.423,0.734699,6152,1.831,5.82,7.1,1.219931271,1D
KURLAL,0.996,0.410311,389.8,0.346,3.57,5.04,1.411764706,1D
KURRUL,1.372,0.161679,192.45,0.086,0.77,8.66,11.24675325,NON-POROUS
KURSEW,1.257,0.192652,0.37,0.11,1.59,4.03,2.534591195,1D
KUSRUN,1.254,0.327742,133.33,0.203,2.89,4.72,1.633217993,1D
KUTCUZ,1.144,0.369406,673.49,0.255,5.57,7.76,1.393177738,1D
KUTDAG,1.137,0.399194,672.34,0.281,5.66,7.65,1.351590106,1D
KUTKIV,1.231,0.316339,131.65,0.179,3.18,4.81,1.512578616,1D
KUTKOB,1.241,0.301639,116.33,0.171,3.13,4.73,1.511182109,1D
KUTSUP,1.124,0.477472,853.65,0.367,4.46,6.3,1.412556054,1D
KUVJES,2.416,0.241378,0.93,0.097,1.92,4.11,2.140625,1D
KUVMAR,1.16,0.431581,703.46,0.299,4.04,6.47,1.601485149,1D
KUVMEV,0.569,0.779074,3434.05,1.22,7.21,9.61,1.332871012,1D
KUVMIZ,0.375,0.814694,4575.4,2.046,10.5,14.74,1.403809524,1D
KUVMUL,1.004,0.375863,274.44,0.305,2.99,5.97,1.996655518,1D
KUVZOR,1.712,0.32774,336.66,0.208,3.98,5.63,1.414572864,1D
KUWROK,3.465,0.298082,60.18,0.089,3.35,4.89,1.459701493,1D
KUXJUJ,3.815,0.082262,13.12,0.023,2.99,4.88,1.632107023,1D
KUXYUY,1.11,0.474514,0.37,0.316,3.24,4.1,1.265432099,1D
KUYGOC,0.892,0.650735,1900.26,0.619,6.1,7.92,1.298360656,1D
KUYHOC,1.225,0.14152,2.54,0.078,1.77,4.09,2.310734463,2D
KUZLOI,1.13,0.282938,3.55,0.182,2.94,4.16,1.414965986,1D
KUZLUO,1.318,0.156235,9.87,0.08,1.49,4.21,2.825503356,2D
KUZWAF,1.277,0.392318,171.26,0.239,2.8,4.57,1.632142857,2D
LABGAY,1.463,0.198814,5.98,0.099,2.96,4.33,1.462837838,1D
LABJOP,1.638,0.215886,37.82,0.096,1.89,4.77,2.523809524,2D
LABPOV,1.772,0.125064,39.96,0.047,3.42,4.56,1.333333333,1D
LABPUB,1.8,0.128937,44.89,0.048,3.5,4.8,1.371428571,1D
LABQAI,1.804,0.131132,51.4,0.051,3.6,4.95,1.375,1D
LABQIQ,1.465,0.186534,67,0.086,2.58,5.16,2,1D
LABREN,1.429,0.237152,127.77,0.123,1.94,4.91,2.530927835,1D
LACCUP,1.549,0.337268,437.76,0.198,7.45,8.18,1.097986577,1D
LACDAW,2.364,0.092253,10.38,0.037,2.06,4.75,2.305825243,1D
LACDUR,1.668,0.156061,0.11,0.063,1.6,4.04,2.525,1D
LACFOM,2.234,0.230115,15.73,0.063,3.43,4.45,1.297376093,1D
LACJOR,1.373,0.231638,63.92,0.114,3.27,5.34,1.633027523,1D
LACPEN,3.525,0.098877,20.74,0.031,0.85,4.81,5.658823529,NON-POROUS
LACQIS,1.031,0.508957,687.5,0.406,5.28,6.23,1.179924242,1D
LADHIJ,1.077,0.561666,1178.96,0.456,4.4,6.13,1.393181818,1D
LADJAE,0.989,0.380644,280.31,0.302,2.84,5.35,1.883802817,2D
LADJEI,0.503,0.766779,3907.89,1.378,7.74,10.54,1.361757106,1D
LADJUY,1.004,0.521654,1036.13,0.49,4.52,6.11,1.351769912,1D
LADKEJ,1.434,0.461625,544.95,0.276,4.56,5.16,1.131578947,1D
LADMOV,0.89,0.600976,1979.76,0.624,7.16,7.72,1.078212291,1D
LADQEP,1.283,0.290282,202.09,0.18,3.93,5.84,1.486005089,1D
LADQIQ,0.937,0.402139,240.21,0.319,3.62,5.29,1.461325967,1D
LADQIT,1.288,0.29788,190.36,0.18,3.64,5.94,1.631868132,1D
LADQOW,0.933,0.405414,224.28,0.324,3.59,5.24,1.459610028,1D
LADQOZ,1.279,0.289123,187.18,0.178,3.82,5.88,1.539267016,1D
LADQUF,1.302,0.292518,213.96,0.174,4.15,5.78,1.392771084,1D
LADRUG,1.511,0.203888,16.5,0.085,2.4,4.3,1.791666667,1D
LADSAN,1.529,0.212956,21.11,0.102,2.72,4.27,1.569852941,1D
LADYUN,1.046,0.525898,545.66,0.394,3.46,5.43,1.569364162,1D
LADZEY,1.257,0.135567,11.61,0.074,1.68,4.26,2.535714286,1D
LAFFEG02,1.019,0.462742,629.05,0.4,3.55,5.58,1.571830986,3D
LAFFEG,1.024,0.461689,613.76,0.392,3.54,5.56,1.570621469,3D
LAFJUY,1.201,0.322096,76.17,0.261,1.78,4.5,2.528089888,1D
LAFQOA,0.732,0.679999,1870.27,0.801,4.68,12.49,2.668803419,3D
LAFQUG,0.728,0.683524,1887.64,0.807,4.78,12.58,2.631799163,2D
LAFRER,0.705,0.69034,2020.89,0.853,4.89,12.86,2.629856851,3D
LAFRIV,0.722,0.689414,1949.88,0.825,5.14,12.25,2.383268482,1D
LAFSUH,0.899,0.589547,1570.15,0.618,4.65,6.9,1.483870968,1D
LAFTAO,0.914,0.582123,1534.49,0.602,4.51,6.81,1.509977827,1D
LAGCOO,1.074,0.440632,897.78,0.322,5.02,5.73,1.141434263,1D
LAGHOR,1.28,0.430707,177.41,0.242,4.07,4.43,1.088452088,1D
LAGROC,1.272,0.446765,596.26,0.288,5.12,5.91,1.154296875,1D
LAGVAS,1.903,0.499818,934.3,0.257,5.26,5.78,1.098859316,1D
LAGVOG,1.338,0.335406,283.73,0.182,1.26,5.82,4.619047619,1D
LAGWUN,1.538,0.405766,561.18,0.234,5.12,6.48,1.265625,1D
LAGZUP,0.555,0.728194,3812.11,1.21,6.32,9.38,1.484177215,1D
LAHCOP,1.861,0.45548,540.97,0.236,3.44,7.11,2.066860465,2D
LAHCUV,2.002,0.482977,636.47,0.244,7.3,10.75,1.47260274,1D
LAHDAC,2.443,0.455679,539.63,0.202,5.09,7.99,1.569744597,2D
LAHTOE,1.526,0.196652,28.4,0.093,2.65,4.33,1.633962264,1D
LAHXUQ,1.242,0.228049,34.48,0.129,2.49,4.46,1.791164659,1D
LAJHAG,0.975,0.427793,684.02,0.345,3.42,6.44,1.883040936,3D
LAJHEK,1.049,0.417001,751.97,0.339,4.15,7.25,1.746987952,1D
LAJHIO,1.191,0.394315,547.33,0.267,3.57,6.38,1.787114846,1D
LAJJAK,1.169,0.495371,344,0.367,2.8,5.02,1.792857143,1D
LAJKUE,1.055,0.50884,941.51,0.413,7.09,15.43,2.176304654,3D
LAJLAL,0.919,0.508455,1069.16,0.475,6.79,16.46,2.424153166,3D
LAJLEP,0.974,0.531347,1062.92,0.463,7.05,16.45,2.333333333,3D
LAKBAB,0.423,0.79663,4802.19,1.817,7.78,8.94,1.149100257,1D
LAKBUX,1.152,0.429433,654.04,0.278,4.68,6.16,1.316239316,1D
LAKTUN,0.83,0.686384,2935.44,0.793,6.95,7.86,1.130935252,1D
LAKVAV,0.853,0.683647,2808.6,0.767,7.04,7.81,1.109375,1D
LAKVEZ,0.813,0.683548,3035.49,0.815,6.94,7.85,1.131123919,1D
LAKVID,0.87,0.685752,2807.93,0.754,6.84,7.66,1.119883041,1D
LALDUZ,1.041,0.527701,912.7,0.543,3.77,5.5,1.458885942,1D
LALFEL,1.215,0.545994,921.61,0.479,4.02,5.68,1.412935323,1D
LALFUB,1.802,0.341266,43.05,0.16,3.3,4.4,1.333333333,1D
LALGEL,1.477,0.139426,127.28,0.072,1.39,6.4,4.604316547,3D
LALPIZ,1.528,0.208601,31.42,0.104,2.81,4.6,1.637010676,1D
LALPOF,1.616,0.21003,40.44,0.103,2.98,4.68,1.570469799,1D
LALZUU,1.275,0.319242,551.63,0.247,7.08,8.4,1.186440678,1D
LAMROJ,1.313,0.32515,265.36,0.204,4.03,5.24,1.300248139,2D
LAMRUP,1.351,0.256781,2.37,0.144,1.29,4.21,3.263565891,1D
LAPGIT,1.258,0.124112,60.33,0.062,0.93,5.23,5.623655914,NON-POROUS
LAPJIY,2.049,0.196337,3,0.077,1.27,4.15,3.267716535,1D
LAPMAR,1.13,0.457752,979.44,0.351,4.25,5.12,1.204705882,2D
LAPQEZ,0.497,0.704166,4412.63,1.342,7.04,7.89,1.120738636,1D
LAQJUL,0.557,0.716689,3120.99,1.163,8.13,10.22,1.257072571,1D
LAQKAS,1.03,0.369953,304.86,0.255,3.52,4.98,1.414772727,1D
LAQKEW,1.033,0.38019,328.94,0.265,3.66,5.01,1.368852459,1D
LAQREB,3.203,0.170437,17.17,0.044,2.49,4.45,1.787148594,1D
LARCUE,0.966,0.612747,1575.24,0.6,8.22,10.34,1.257907543,1D
LARDAL,0.925,0.620618,1635.22,0.635,8.6,10.55,1.226744186,1D
LARDEP,0.948,0.626796,1590,0.625,8.41,10.51,1.249702735,1D
LARDIT,0.801,0.61877,1897.2,0.73,8.65,10.55,1.219653179,1D
LARMEZ,0.638,0.707166,1991.48,1.064,11.34,11.97,1.055555556,1D
LARMOH,1.493,0.15134,4.31,0.085,1.48,4.19,2.831081081,2D
LARMUP,0.661,0.711775,2864.08,0.939,6.4,8.1,1.265625,1D
LARNAU,1.284,0.384982,89.74,0.233,3.04,4.44,1.460526316,1D
LARNEY,1.293,0.362059,162.81,0.219,2.73,4.87,1.783882784,2D
LARNIE,1.448,0.347181,81.5,0.203,3.16,4.48,1.417721519,1D
LARNUO,1.262,0.375796,192.94,0.23,2.8,5.01,1.789285714,1D
LARPAY,1.326,0.317808,352.25,0.172,4.19,5.05,1.205250597,1D
LARPEC,1.653,0.17305,77.99,0.074,0.86,4.84,5.627906977,NON-POROUS
LARQIF,1.01,0.332682,0.11,0.331,3.15,3.99,1.266666667,1D
LARQOL,1.295,0.12627,74.9,0.074,1.55,5.06,3.264516129,3D
LARRED,1.442,0.211891,25.26,0.116,2.81,4.41,1.569395018,1D
LARVIL,2.223,0.275813,283.1,0.112,6.95,7.24,1.041726619,1D
LASPOM,1.367,0.240944,5.28,0.115,3.01,4.26,1.415282392,1D
LASQON,1.348,0.209623,13.75,0.106,2.12,4.23,1.995283019,2D
LASRAB,0.859,0.711563,2368.9,0.84,7.62,9.95,1.305774278,1D
LASREF,0.861,0.734155,2258.75,0.853,8.28,10.4,1.256038647,2D
LASXEK,1.36,0.247828,226.85,0.138,1.5,5.98,3.986666667,1D
LATQOP,1.472,0.290163,174.23,0.136,1.6,4.53,2.83125,2D
LATREE,1.479,0.249303,137.48,0.121,2.75,4.93,1.792727273,1D
LATYEL,1.331,0.283393,342.98,0.179,4.62,5.45,1.17965368,1D
LAVSOS01,0.867,0.501087,397.14,0.534,3.38,4.39,1.298816568,2D
LAVSOS,0.872,0.48227,297.82,0.512,3.33,4.32,1.297297297,1D
LAVTUA,0.605,0.671097,3415.3,1.05,7.68,8.6,1.119791667,1D
LAVYIQ,0.866,0.535911,704.44,0.543,3.84,5.27,1.372395833,1D
LAVYIT,1.297,0.381037,182.48,0.212,3.25,5.31,1.633846154,1D
LAVZIU,2.422,0.321552,220.65,0.111,1.91,6.25,3.272251309,1D
LAWBEQ,1.062,0.392501,252.44,0.283,2.98,4.86,1.630872483,1D
LAWGOG,0.589,0.819522,3496.21,1.308,7.81,14.93,1.911651729,3D
LAWGUM,0.589,0.819002,3497.34,1.314,7.81,14.94,1.912932138,3D
LAWHOJ,1.57,0.512498,590.98,0.27,3.44,10.06,2.924418605,3D
LAWHUP,1.577,0.510263,591.96,0.269,3.43,10.37,3.023323615,3D
LAWRIL,1.345,0.198424,120.95,0.119,0.87,4.94,5.67816092,NON-POROUS
LAWROR,1.471,0.200405,101.91,0.11,1.23,4.91,3.991869919,1D
LAWXOZ,1.224,0.299616,197.71,0.177,3.39,5.12,1.510324484,1D
LAXCAR,1.25,0.316114,133.62,0.203,2.85,4.65,1.631578947,1D
LAXCEV,1.167,0.23006,124.98,0.14,1.24,4.97,4.008064516,3D
LAXGID,1.981,0.217081,124.08,0.096,3.33,5.03,1.510510511,1D
LAXJAX,0.717,0.6901,1974.87,0.833,4.92,12.46,2.532520325,3D
LAXNAA,1.162,0.341349,310.78,0.213,3.58,6.1,1.703910615,1D
LAXVUE,1.456,0.230391,5.33,0.128,1.05,4.2,4,3D
LAYFIC,1.192,0.347064,112.92,0.225,2.43,4.58,1.884773663,2D
LAYRIM,0.927,0.556487,724.55,0.475,3.71,5.09,1.371967655,1D
LAYYUG,1.24,0.323689,530.2,0.211,4.94,6.5,1.315789474,1D
LAZBUL,1.52,0.150738,0.34,0.079,1.89,4.04,2.137566138,1D
LAZCIA,1.025,0.480547,858.49,0.397,4.23,5.64,1.333333333,1D
LAZCUL,1.059,0.466369,922.92,0.357,4.51,5.93,1.314855876,2D
LAZJIH,1.069,0.579942,1085.67,0.474,4.73,5.47,1.156448203,3D
LAZLAB,1.378,0.272178,228.76,0.152,3.83,5.1,1.331592689,1D
LAZLIJ,1.535,0.226712,76.9,0.115,3.8,4.49,1.181578947,1D
LAZLOP,1.169,0.401354,244.84,0.277,3.48,4.93,1.416666667,1D
LAZMAC,1.759,0.337293,125.01,0.162,2.75,5.19,1.887272727,1D
LAZMUW,0.799,0.579469,2019.88,0.656,6.98,7.97,1.141833811,1D
LAZROV,1.316,0.320885,269.02,0.177,2.42,5.84,2.41322314,1D
LAZSIQ,1.225,0.394628,262.82,0.245,2.52,5.04,2,1D
LAZSOW,1.265,0.320407,283.12,0.188,2.43,5.19,2.135802469,1D
LAZXOB,1.044,0.593097,1358.62,0.505,6.06,9,1.485148515,1D
LEBCIF,1.248,0.168306,28.89,0.093,2.24,4.22,1.883928571,1D
LECBEC,1.701,0.108843,2.99,0.035,1.05,4.19,3.99047619,1D
LECCON,1.43,0.42292,611.26,0.307,3.68,5.56,1.510869565,2D
LECFAC,0.838,0.718368,2032.11,0.787,4.17,9.62,2.306954436,3D
LECFEG,0.882,0.707534,1943.79,0.735,4.01,9.08,2.264339152,3D
LECGEH,1.194,0.316097,106.31,0.197,2.76,4.5,1.630434783,1D
LECKIN01,1.454,0.492796,476.37,0.281,3.22,6.06,1.881987578,1D
LECKIN,1.438,0.50112,502.16,0.29,3.24,6.11,1.885802469,1D
LECMIP,1.154,0.600033,1396.72,0.472,5.14,6.75,1.313229572,1D
LECQEQ,1.194,0.694029,1167.15,0.5,10.61,11.36,1.07068803,1D
LECXAV,0.802,0.574204,1696.56,0.635,6.37,8.01,1.257456829,1D
LECXEZ,1.254,0.317641,41.78,0.253,3.54,4.36,1.231638418,1D
LEDGAE,1.445,0.354182,212.17,0.193,2.57,5.48,2.13229572,2D
LEDHUA,1.386,0.182907,6.18,0.083,2.39,4.27,1.786610879,1D
LEDKAI,1.421,0.26636,50.12,0.154,2.85,4.65,1.631578947,1D
LEDLAJ,1.187,0.261759,217.62,0.157,2.53,6.39,2.5256917,3D
LEDNEP,2.193,0.220875,13.57,0.051,3.38,4.27,1.263313609,1D
LEDNIT,2.177,0.190394,42.47,0.05,3.89,4.59,1.179948586,1D
LEDPEQ,0.847,0.491786,122.48,0.49,3.12,4.9,1.570512821,1D
LEDQOD,1.221,0.232797,45.91,0.136,2.47,4.42,1.789473684,1D
LEDQUJ,1.205,0.206341,219.06,0.125,0.89,5.06,5.685393258,NON-POROUS
LEDREU,1.201,0.309684,306.6,0.19,1.38,5.53,4.007246377,2D
LEDWIB,1.281,0.38192,363.73,0.273,3.99,4.7,1.177944862,1D
LEDWUN,1.25,0.243949,37.46,0.151,1.76,4.46,2.534090909,3D
LEDXIC,1.247,0.419376,316.9,0.336,3.58,5.22,1.458100559,1D
LEDZIG,1.48,0.261727,110.64,0.144,2.92,4.58,1.568493151,1D
LEGGIO,1.215,0.461065,361.65,0.335,3.42,5,1.461988304,2D
LEGGOU,1.686,0.152709,3.3,0.064,1.48,4.19,2.831081081,1D
LEHNIY,1.513,0.260036,19.67,0.133,3.32,4.2,1.265060241,1D
LEHTUQ,1.434,0.147215,4.19,0.071,2.15,4.3,2,1D
LEJRIC,1.313,0.523688,926.75,0.376,8.3,9.8,1.180722892,1D
LEJZUW,1.18,0.218449,15.17,0.145,2.02,4.32,2.138613861,1D
LEKDAJ,1.52,0.343171,53.73,0.18,3.8,4.22,1.110526316,1D
LEKHUH,1.364,0.282247,460.77,0.176,4.47,5.96,1.333333333,1D
LEKJAP,1.384,0.27461,423.82,0.163,4.39,5.94,1.353075171,1D
LEKKAP,1.969,0.174506,33.5,0.094,2.85,4.47,1.568421053,1D
LELCUB01,0.84,0.625135,1453.96,0.688,9.36,11.16,1.192307692,1D
LELCUB,0.832,0.62545,1539.22,0.693,9.68,11.3,1.167355372,1D
LELMIZ,1.612,0.088364,4.04,0.036,1.27,4.15,3.267716535,1D
LELNAT,1.657,0.152494,21.29,0.072,1.9,4.38,2.305263158,1D
LELNEX,1.364,0.182773,19.82,0.124,1.33,4.34,3.263157895,1D
LELTIH,0.707,0.633378,2093.41,0.778,3.92,6.39,1.630102041,1D
LELXEG,1.565,0.214077,2.47,0.086,1.04,4.15,3.990384615,2D
LELXIK,1.443,0.2233,70.25,0.103,0.86,4.88,5.674418605,NON-POROUS
LELYEH,1.412,0.237995,170.82,0.126,1.23,4.92,4,1D
LELYIL,1.335,0.241971,168.14,0.133,1.2,4.8,4,1D
LELYOR,1.5,0.239994,151,0.116,1.2,4.8,4,1D
LEMLUL,1.238,0.209875,78.61,0.101,1.86,4.7,2.52688172,1D
LEMMIC,1.033,0.431031,265.11,0.364,3.27,5.14,1.571865443,3D
LEMQOM,1.25,0.287975,195.56,0.162,1.55,5.06,3.264516129,1D
LEMVOP,1.491,0.264129,81.51,0.149,3.16,4.95,1.566455696,1D
LENTOQ,1.204,0.235433,59.44,0.15,2.58,4.62,1.790697674,1D
LENTUW,1.248,0.157063,21.21,0.078,1.34,4.37,3.26119403,3D
LEPKUO,1.754,0.210083,66.11,0.089,1.75,4.94,2.822857143,3D
LEPLAV,1.77,0.223511,62.66,0.089,1.73,4.89,2.826589595,2D
LERDUJ,1.428,0.166599,4.58,0.071,1.02,4.1,4.019607843,3D
LERFAR,1.415,0.170819,28.61,0.078,1.37,4.46,3.255474453,1D
LERMAW,1.742,0.118738,22.84,0.06,1.08,4.3,3.981481481,3D
LERNED,1.086,0.35358,171.78,0.27,3.77,4.77,1.265251989,1D
LESHID,1.453,0.177618,26.84,0.102,2.18,4.37,2.004587156,1D
LESPAD,1.554,0.160991,10.17,0.081,1.33,4.35,3.270676692,1D
LETBIY,1.597,0.199014,7.98,0.088,1.3,4.26,3.276923077,1D
LETBOE,1.559,0.172243,8.96,0.079,2.95,4.3,1.457627119,1D
LETBUI,1.089,0.454018,57.46,0.316,2.54,4.33,1.704724409,1D
LETCET,1.168,0.362364,29.58,0.226,1.34,4.37,3.26119403,1D
LETNAB,1.443,0.204803,15.65,0.11,1.31,4.28,3.267175573,1D
LETNEF,1.456,0.205552,13.84,0.109,1.32,4.3,3.257575758,1D
LETNEG,1.361,0.129472,5.87,0.066,2.77,4.18,1.509025271,1D
LETNIJ,1.485,0.193811,2.67,0.097,1.26,4.13,3.277777778,1D
LETNOP,1.472,0.192135,2.47,0.099,1.26,4.12,3.26984127,1D
LETNOQ,0.539,0.688438,2443.59,1.18,11.07,14.14,1.277326107,1D
LETVUB,1.176,0.228603,45.41,0.133,2.76,4.71,1.706521739,1D
LEVTOY01,1.179,0.292055,236.47,0.172,1.96,5.55,2.831632653,1D
LEVTOY,1.22,0.288476,112.75,0.154,1.73,4.89,2.826589595,2D
LEVZES,1.316,0.327329,353.38,0.186,4.37,5.05,1.155606407,1D
LEWDEY,0.95,0.479174,333.6,0.384,2.79,5.26,1.885304659,3D
LEXJIK,3.006,0.300051,64.15,0.077,2.62,5.23,1.996183206,1D
LEXMUX,1.351,0.197048,95.71,0.11,1.24,4.95,3.991935484,1D
LEXXAP,1.893,0.191944,77.69,0.084,2.19,4.69,2.141552511,1D
LEYFUS,3.306,0.171051,51.96,0.048,2.03,5.74,2.827586207,1D
LEYMIL,1.387,0.334115,125.38,0.201,3.15,4.94,1.568253968,1D
LEYNAE,1.286,0.296638,26.28,0.171,1.87,4.31,2.304812834,2D
LEYPAI,1.766,0.408755,472.63,0.233,4.74,5.6,1.181434599,1D
LEYSEQ,0.72,0.639039,2399.63,0.799,6.03,7.19,1.192371476,1D
LEYWOD,1.019,0.409001,529.11,0.317,3.57,5.95,1.666666667,1D
LEZGED,1.488,0.229217,11.83,0.104,0.79,4.49,5.683544304,NON-POROUS
