,Density of the material (g/cm3),Helium Void Fraction,Gravimetric Void Fraction,Surface Area volumetric (m2/cm3),Surface Area gravimetric (m2/g),PLD (_),LCD (_),Pore Volume (cm3/g),ch4_100bar_cccc,ch4_100bar_density_kgm3,ch4_100bar_gg,ch4_100bar_heatcap_JmolK,ch4_100bar_qst_kJmol,ch4_100_7_delcap_gg,ch4_50bar_cccc,ch4_50bar_density_kgm3,ch4_50bar_gg,ch4_50bar_heatcap_JmolK,ch4_50bar_qst_kJmol,ch4_50_7_delcap_gg,ch4_7bar_cccc,ch4_7bar_density_kgm3,ch4_7bar_gg,ch4_7bar_heatcap_JmolK,ch4_7bar_qst_kJmol
AHAZAM,1.115,0.366788,0.483226,675.42,605.59,3.92,5.82,0.328957848,127.0864813,90.96028,0.081556572,6393.80296,17.00626,0.039116194,114.1427886,81.69603,0.073250077,8473.43408,17.40786,0.0308097,66.13321457,47.33388,0.042440378,8478.01026,16.69157
AHEBAS,1.057,0.539918,0.573399,1216.92,1151.47,4.59,7.35,0.510802271,192.7061303,137.92658,0.13050893,14892.48814,18.24719,0.063541138,174.5636227,124.94135,0.118222039,20208.49482,18.45831,0.051254247,98.88291903,70.774,0.066967791,27553.02645,18.63141
AHEDOI,0.829,0.559471,0.672017,1060.23,1278.55,4.06,7.26,0.674874548,181.7561114,130.08927,0.156876924,18326.19851,15.70578,0.124997837,145.4181524,104.08091,0.125512987,19232.32528,15.15495,0.0936339,36.93480663,26.43555,0.031879087,8600.08056,13.21099
AHETAK,0.987,0.518308,0.596742,1298.47,1315.15,6.11,8.64,0.525134752,175.8065825,125.83098,0.127448516,17527.8784,16.80478,0.090741132,146.6534914,104.96508,0.106314392,14708.22088,15.68272,0.069607007,50.63534703,36.24151,0.036707385,10909.63562,14.11164
AHIPEN,1.432,0.327759,0.471847,701.35,489.85,5.79,9,0.228881983,104.6942311,74.93336,0.052336693,3801.86105,16.27567,0.035928667,90.31669878,64.64285,0.045149358,3589.47005,15.66867,0.028741332,32.82258687,23.49228,0.016408026,3356.97865,14.4099
AHOLAK,0.827,0.464695,0.604486,934.46,1130.62,3.77,6.59,0.561904474,189.012842,135.28317,0.163682947,4682.95933,17.08286,0.085418545,173.2585622,124.00727,0.150039922,10093.5667,19.99147,0.07177552,90.37579829,64.68515,0.078264402,10053.87664,18.07717
AHOLAM,0.963,0.557787,0.603457,1015.9,1054.56,6.53,9.24,0.579218069,195.9362961,140.23853,0.145575434,14252.98986,17.11727,0.083043129,171.9421114,123.06504,0.127748396,17876.57058,16.68653,0.06521609,84.16494439,60.23982,0.062532305,17305.67016,17.03572
AHORAR,0.862,0.437539,0.543574,849.7,985.75,4.09,5.7,0.507585847,143.5867386,102.7701,0.11922697,6442.86603,17.487,0.067855759,125.9499323,90.14682,0.104582282,9086.36026,18.09723,0.053211071,61.86708107,44.28046,0.051371211,8602.59511,17.13905
AHORUL,1.597,0.071111,0.283319,156.12,97.74,6.04,6.29,0.044527865,21.41729864,15.32912,0.009596232,1647.65766,15.74524,0.005467542,19.99503476,14.31115,0.008958973,1571.51699,16.07711,0.004830283,9.214593616,6.59521,0.00412869,2400.337,15.94352
AHOSEV,0.941,0.561675,0.633282,1628.04,1730.82,6.33,7.03,0.596891605,169.883213,121.59142,0.129268596,8659.06288,15.22582,0.09458572,140.7567938,100.74461,0.107105539,10041.6599,14.9937,0.072422663,45.57981316,32.62308,0.034682876,5049.63167,12.78912
AHOSUL,0.962,0.553653,0.624309,1640.26,1704.55,6.07,7.08,0.575522869,168.9994066,120.95885,0.125700624,10305.96112,15.80326,0.091206194,139.4167108,99.78546,0.103697213,9844.11698,15.05091,0.069202784,46.37636595,33.1932,0.03449443,4966.95765,12.9669
AHOZII,0.959,0.483031,0.54343,817.77,852.97,5.64,7.04,0.50368196,194.993247,139.56356,0.145572777,11703.64728,19.44281,0.079112787,179.3223446,128.34734,0.13387362,16153.51665,19.58187,0.067413629,89.02247794,63.71653,0.066459991,22457.42157,18.32712
AJAGOI,2.127,0.253033,0.464512,664.79,312.6,6.2,6.69,0.118962388,97.46573735,69.75967,0.032802815,3403.95189,17.12179,0.019876532,85.67139704,61.31805,0.028833342,4779.36654,17.14452,0.015907059,38.40736617,27.48951,0.012926283,5334.04259,15.78775
