Refcode,Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),LCD/PLD,Porosity,Density [binned] (g/cm3),HVF [binned],Surface area [binned] (m2/g),Free volume [binned] (cm3/g),PLD [binned] (A),LCD [binned] (A),LCD/PLD [binned]
AWEZOS,1.534,0.120,44.53,0.051,3,5.37,1.790,1D,1.5,0.1,0,0,3,5.3,1.6
AWIBAK,1.534,0.122,46.44,0.052,2.88,5.43,1.885,1D,1.5,0.1,0,0,2.6,5.3,1.8
AWIBAL,1.75,0.340,35.28,0.152,3.2,4.39,1.372,1D,1.6,0.3,0,0.1,3,4.3,1.3
AWIBEO,1.567,0.120,45.09,0.05,3.07,5.49,1.788,1D,1.5,0.1,0,0,3,5.3,1.6
AWIBIS,1.56,0.124,48.44,0.053,3.04,5.43,1.786,1D,1.5,0.1,0,0,3,5.3,1.6
AWIQIG,1.394,0.177,12.22,0.132,3.43,4.23,1.233,1D,1.3,0.1,0,0.1,3.3,4.2,1.2
AWOVIS,0.728,0.591,2699.27,0.766,5.43,6.78,1.249,2D,0.6,0.5,2000,0.6,5,6.5,1.2
AWUPAJ,1.501,0.151,0.5,0.074,1.25,4.09,3.272,2D,1.5,0.1,0,0,1,4,3
AXAFIO,0.726,0.729,3096.36,1.021,6.9,9.4,1.362,3D,0.6,0.7,3000,1,6,8,1.3
AXANAO,1.422,0.536,654.44,0.385,12.68,13.02,1.027,1D,1.4,0.5,600,0.3,10,10,1
AXAWED,1.388,0.218,158.61,0.125,4.01,4.53,1.130,1D,1.3,0.2,150,0.1,4,4.5,1.1
AXAWIH,1.6,0.208,70.51,0.1,3.85,4.44,1.153,1D,1.6,0.2,50,0.1,3.8,4.4,1.1
AXENAS,1.207,0.298,147.38,0.181,2.6,4.91,1.888,1D,1.2,0.2,100,0.1,2.6,4.8,1.8
AXENEW,1.286,0.242,54.81,0.155,3.26,4.48,1.374,1D,1.2,0.2,50,0.1,3,4.4,1.3
AXEWAB,1.222,0.219,291.77,0.14,4.19,5.18,1.236,1D,1.2,0.2,200,0.1,4,5,1.2
AXILEY,0.654,0.695,2738.69,0.911,4.63,7.27,1.570,2D,0.6,0.6,2000,0.8,4.5,7,1.5
AXINAW,1.405,0.247,160.02,0.143,2.31,4.94,2.139,2D,1.4,0.2,150,0.1,2.2,4.8,2
AXOCAS,1.534,0.186,53.64,0.076,3.18,4.81,1.513,1D,1.5,0.1,50,0,3,4.8,1.5
AXOCEW,1.607,0.133,21.06,0.05,2.77,4.73,1.708,1D,1.6,0.1,0,0,2.6,4.6,1.6
AXOFEA,0.826,0.613,2219.44,0.752,8,8.83,1.104,1D,0.8,0.6,2000,0.6,8,8,1.1
AXOFOK,0.923,0.557,2403.82,0.623,5.38,6.35,1.180,1D,0.8,0.5,2000,0.6,5,6,1.1
AXOFUQ,0.886,0.574,1953.71,0.674,7.41,7.78,1.050,1D,0.8,0.5,1500,0.6,6,7,1
AXOHIE,0.645,0.725,2523.98,0.998,10.59,12.59,1.189,1D,0.6,0.7,2000,0.8,10,10,1.1
AXOJOM,1.333,0.318,91.95,0.201,3.41,4.82,1.413,1D,1.3,0.3,50,0.2,3.3,4.8,1.4
AXUDUS,1.117,0.415,87.82,0.261,2.99,4.37,1.462,1D,1.1,0.4,50,0.2,2.6,4.3,1.4
AXUFAB,2.498,0.438,30.66,0.185,3.29,4.39,1.334,1D,2,0.4,0,0.1,3,4.3,1.3
AXUGEH,1.092,0.444,837.28,0.334,4.32,5.21,1.206,2D,1,0.4,800,0.3,4,5,1.2
AXUHIL,1.375,0.113,5.77,0.051,1.99,4.26,2.141,1D,1.3,0.1,0,0,1.8,4.2,2
AYANOE,1.2,0.259,91.82,0.162,1.15,4.6,4.000,3D,1.2,0.2,50,0.1,1,4.6,4
AYANUK,1.177,0.282,74.6,0.174,2.16,4.62,2.139,3D,1.1,0.2,50,0.1,1.8,4.6,2
AYAYEG,1.316,0.320,79.34,0.175,2.36,4.45,1.886,1D,1.3,0.3,50,0.1,2.2,4.4,1.8
AYEDOY,1.092,0.369,270.7,0.268,3.34,5.46,1.635,1D,1,0.3,200,0.2,3.3,5.3,1.6
AYEDUE,1.125,0.340,197.49,0.236,2.85,5.38,1.888,1D,1.1,0.3,150,0.2,2.6,5.3,1.8
AYEFAM,1.146,0.328,175.27,0.217,2.72,5.12,1.882,1D,1.1,0.3,150,0.2,2.6,5,1.8
AYEQEC,0.854,0.651,1650.83,0.641,6.48,7.81,1.205,1D,0.8,0.6,1500,0.6,6,7,1.2
AYICOA,1.258,0.103,0.95,0.045,1.01,4.03,3.990,3D,1.2,0.1,0,0,1,4,3
AYOKUW,1.161,0.532,1016.46,0.44,10.21,10.73,1.051,1D,1.1,0.5,1000,0.4,10,10,1
AYUDUV,1.337,0.190,18.62,0.098,1.37,4.47,3.263,1D,1.3,0.1,0,0,1,4.4,3
AYUKUC,1.21,0.409,154.28,0.284,3.59,4.43,1.234,1D,1.2,0.4,150,0.2,3.3,4.4,1.2
AYUWUM,1.351,0.190,4.77,0.099,2.19,4.13,1.886,1D,1.3,0.1,0,0,1.8,4,1.8
