Refcode,Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),LCD/PLD,Porosity,Density [binned] (g/cm3),HVF [binned],Surface area [binned] (m2/g),Free volume [binned] (cm3/g),PLD [binned] (A),LCD [binned] (A),LCD/PLD [binned]
NETHIE,1.372,0.362,88.16,0.221,3.12,4.56,1.462,1D,1.3,0.3,50,0.2,3,4.5,1.4
NETSIQ,1.708,0.180,2.55,0.08,2.68,4.21,1.571,1D,1.6,0.1,0,0,2.6,4.2,1.5
NETSUD,1.229,0.417,690.75,0.277,7.06,7.61,1.078,1D,1.2,0.4,600,0.2,6,7,1
NETVEO,1.288,0.222,9.95,0.129,1.86,4.29,2.306,3D,1.2,0.2,0,0.1,1.8,4.2,2
NETVOY,1.286,0.271,82.39,0.157,1.91,4.84,2.534,1D,1.2,0.2,50,0.1,1.8,4.8,2.5
NETXEQ,1.515,0.374,882.93,0.255,6.02,6.75,1.121,1D,1.5,0.3,800,0.2,6,6.5,1.1
NETYIV01,0.782,0.645,2058.69,0.71,6.19,7.83,1.265,1D,0.6,0.6,2000,0.6,6,7,1.2
NETYIV,0.78,0.644,2069.6,0.725,6.48,7.81,1.205,1D,0.6,0.6,2000,0.6,6,7,1.2
NEVJEF,1.698,0.269,98.39,0.133,3.29,4.81,1.462,1D,1.6,0.2,50,0.1,3,4.8,1.4
NEVLAC,1.537,0.518,831.59,0.297,5.46,6.44,1.179,1D,1.5,0.5,800,0.2,5,6,1.1
NEVLAD,1.549,0.526,902.73,0.294,5.24,6.18,1.179,1D,1.5,0.5,800,0.2,5,6,1.1
NEVPOU,1.292,0.395,416.56,0.27,4.75,6.17,1.299,1D,1.2,0.3,400,0.2,4.5,6,1.2
NEVVAM01,1.423,0.492,696.55,0.286,5.34,6.84,1.281,1D,1.4,0.4,600,0.2,5,6.5,1.2
NEVVAM02,1.423,0.487,691.76,0.284,5.47,6.75,1.234,1D,1.4,0.4,600,0.2,5,6.5,1.2
NEVVER,1.273,0.257,88.59,0.123,2.53,5.4,2.134,2D,1.2,0.2,50,0.1,2.2,5.3,2
NEVVIU01,1.463,0.459,602.76,0.262,5.23,6.17,1.180,1D,1.4,0.4,600,0.2,5,6,1.1
NEVVIU02,1.457,0.465,621.42,0.268,5.29,6.24,1.180,1D,1.4,0.4,600,0.2,5,6,1.1
NEVVIU,1.456,0.462,618.31,0.265,5.06,6.24,1.233,1D,1.4,0.4,600,0.2,5,6,1.2
NEVVIV,1.369,0.146,2.7,0.083,2.23,4.21,1.888,1D,1.3,0.1,0,0,2.2,4.2,1.8
NEWROY,1.966,0.336,82.64,0.136,3.31,4.54,1.372,1D,1.8,0.3,50,0.1,3.3,4.5,1.3
NEWRUE,1.711,0.337,101.46,0.159,3.31,4.54,1.372,2D,1.6,0.3,100,0.1,3.3,4.5,1.3
NEXKEI,1.412,0.168,16.09,0.097,2.08,4.44,2.135,1D,1.4,0.1,0,0,1.8,4.4,2
NEXLUZ,1.418,0.168,2.3,0.093,1.03,4.12,4.000,1D,1.4,0.1,0,0,1,4,4
NEXQOX,1.149,0.386,697.58,0.286,4.67,6.71,1.437,1D,1.1,0.3,600,0.2,4.5,6.5,1.4
NEXQUD,1.375,0.323,152.89,0.189,3.43,5.01,1.461,1D,1.3,0.3,150,0.1,3.3,5,1.4
NEXRUG,0.358,0.834,6761.67,2.234,7.47,11.2,1.499,1D,0,0.8,3000,2,6,10,1.4
NEXXIZ,0.885,0.456,814.59,0.427,9.11,9.65,1.059,1D,0.8,0.4,800,0.4,8,8,1
NEYBEZ,1.537,0.352,78.82,0.18,3.65,4.62,1.266,1D,1.5,0.3,50,0.1,3.6,4.6,1.2
NEYREO,1.295,0.170,34.99,0.087,1.13,4.53,4.009,1D,1.2,0.1,0,0,1,4.5,4
NEYRIS,1.279,0.177,42.63,0.093,1.41,4.59,3.255,1D,1.2,0.1,0,0,1.4,4.5,3
NEYXIA,0.742,0.672,1436.79,0.933,14.67,14.99,1.022,1D,0.6,0.6,1250,0.8,10,10,1
NEYYOG,2.298,0.259,223.51,0.1,10.6,11.96,1.128,1D,2,0.2,200,0.1,10,10,1.1
NEZKOU,1.575,0.109,9.55,0.046,1.09,4.35,3.991,3D,1.5,0.1,0,0,1,4.3,3
NEZRUG,1.457,0.184,0.94,0.07,2.08,4.16,2.000,1D,1.4,0.1,0,0,1.8,4,2
NIBLES,1.348,0.453,639.6,0.296,4.32,5.33,1.234,1D,1.3,0.4,600,0.2,4,5.3,1.2
NIBLIW,1.285,0.465,160.23,0.342,3.12,4.72,1.513,2D,1.2,0.4,150,0.3,3,4.6,1.5
NIBNAO,0.779,0.771,1683.47,0.872,4.23,5.98,1.414,1D,0.6,0.7,1500,0.8,4,5.6,1.4
NIBROH,1.631,0.123,2.3,0.057,1.63,4.13,2.534,2D,1.6,0.1,0,0,1.4,4,2.5
NIBWUS,1.306,0.274,166.92,0.162,2.42,5.18,2.140,1D,1.3,0.2,150,0.1,2.2,5,2
NICHOC10,0.983,0.510,997.71,0.536,4.54,6.05,1.333,1D,0.8,0.5,800,0.5,4.5,6,1.3
NICLIU,1.096,0.242,260.82,0.162,2.15,5.43,2.526,1D,1,0.2,200,0.1,1.8,5.3,2.5
NICZAA01,1.058,0.478,181.57,0.354,3.2,5.02,1.569,2D,1,0.4,150,0.3,3,5,1.5
NIDCIP,0.9,0.615,1950.28,0.612,6.04,7.74,1.281,1D,0.8,0.6,1500,0.6,6,7,1.2
NIDFAI,1.166,0.365,488.21,0.265,3.87,5.3,1.370,1D,1.1,0.3,400,0.2,3.8,5.3,1.3
NIDFIR,1.043,0.434,245.8,0.323,3.21,5.03,1.567,1D,1,0.4,200,0.3,3,5,1.5
NIDFOW,2.327,0.236,57.56,0.093,2.19,4.68,2.137,2D,2,0.2,50,0,1.8,4.6,2
NIDGAJ,2.323,0.236,8.99,0.098,3.12,4.28,1.372,1D,2,0.2,0,0,3,4.2,1.3
NIDZIL,1.143,0.220,0.95,0.133,1.01,4.05,4.010,3D,1.1,0.2,0,0.1,1,4,4
NIFNEX,1.453,0.132,49.06,0.068,1.4,4.58,3.271,1D,1.4,0.1,0,0,1.4,4.5,3
NIFNUN,1.606,0.405,420.98,0.226,3.93,5.39,1.372,1D,1.6,0.4,400,0.2,3.8,5.3,1.3
NIFSIF,1.458,0.166,94.55,0.083,1.17,4.67,3.991,3D,1.4,0.1,50,0,1,4.6,3
NIFSUT,0.907,0.531,1088.27,0.532,3.71,11.2,3.019,3D,0.8,0.5,1000,0.5,3.6,10,3
NIFXIM,0.697,0.735,2306.34,0.899,5.95,8.69,1.461,1D,0.6,0.7,2000,0.8,5,8,1.4
NIGBOW,0.647,0.708,2312.41,1.022,11.36,11.73,1.033,1D,0.6,0.7,2000,1,10,10,1
NIGLOH,1.242,0.297,257.92,0.17,1.97,5.56,2.822,1D,1.2,0.2,200,0.1,1.8,5.3,2.5
NIGNUP,1.727,0.262,135.88,0.145,2.78,5.55,1.996,2D,1.6,0.2,100,0.1,2.6,5.3,1.8
NIGPAW,0.835,0.643,1068.12,0.64,3.35,14.85,4.433,3D,0.8,0.6,1000,0.6,3.3,10,4
NIGPEZ,1.616,0.243,9.4,0.104,1.06,4.23,3.991,1D,1.6,0.2,0,0.1,1,4.2,3
NIGPID,1.57,0.253,19.52,0.119,1.1,4.4,4.000,1D,1.5,0.2,0,0.1,1,4.4,4
NIGPOJ,1.543,0.258,21.09,0.121,1.09,4.37,4.009,3D,1.5,0.2,0,0.1,1,4.3,4
NIHBEM01,1.74,0.260,82.27,0.155,3.01,4.72,1.568,1D,1.6,0.2,50,0.1,3,4.6,1.5
NIHBEM02,1.702,0.277,136.67,0.166,3.1,4.86,1.568,1D,1.6,0.2,100,0.1,3,4.8,1.5
NIHBEM,1.764,0.254,67.95,0.149,2.86,4.67,1.633,1D,1.6,0.2,50,0.1,2.6,4.6,1.6
NIHBIQ01,1.655,0.294,163.84,0.182,3.34,5.04,1.509,1D,1.6,0.2,150,0.1,3.3,5,1.5
NIHBIQ02,1.628,0.306,202.32,0.192,3.28,5.14,1.567,1D,1.6,0.3,200,0.1,3,5,1.5
NIHBIQ,1.669,0.291,155.63,0.177,3.17,4.97,1.568,1D,1.6,0.2,150,0.1,3,4.8,1.5
NIHWIN,0.193,0.929,6358.61,4.671,12.98,32.34,2.492,3D,0,0.9,3000,2,10,10,2
NIJJAR,0.819,0.523,1561.69,0.575,6.3,9.71,1.541,1D,0.8,0.5,1500,0.5,6,8,1.5
NIJKEZ,1.201,0.270,42.05,0.134,2.44,4.61,1.889,1D,1.2,0.2,0,0.1,2.2,4.6,1.8
NIJNEC,1.034,0.312,162.77,0.236,2.72,4.87,1.790,1D,1,0.3,150,0.2,2.6,4.8,1.6
NIJTOP01,0.514,0.728,3731.98,1.347,8.02,8.81,1.099,1D,0,0.7,3000,1,8,8,1
NIJTOP,0.506,0.734,3738.76,1.368,8.28,8.85,1.069,1D,0,0.7,3000,1,8,8,1
NIJVEJ,1.138,0.469,373.34,0.309,2.43,5.61,2.309,1D,1.1,0.4,300,0.3,2.2,5.6,2
NIJZIP,1.537,0.331,547.94,0.219,7.38,8.84,1.198,1D,1.5,0.3,500,0.2,6,8,1.1
NIKQEF,0.464,0.791,5869.29,1.592,5.98,8.04,1.344,1D,0,0.7,3000,1.5,5,8,1.3
NIKVAH,1.404,0.539,623.79,0.348,3.25,6.95,2.138,2D,1.4,0.5,600,0.3,3,6.5,2
NIKYUC01,1.711,0.271,117.64,0.162,3.06,4.8,1.569,1D,1.6,0.2,100,0.1,3,4.8,1.5
NIKYUC02,1.673,0.286,152.35,0.176,3.12,4.9,1.571,1D,1.6,0.2,150,0.1,3,4.8,1.5
NIKYUC,1.731,0.263,101.23,0.156,3.04,4.77,1.569,1D,1.6,0.2,100,0.1,3,4.6,1.5
NIKZAJ01,1.796,0.238,36.21,0.136,2.84,4.46,1.570,1D,1.6,0.2,0,0.1,2.6,4.4,1.5
NIKZAJ02,1.766,0.251,60.81,0.147,3.01,4.54,1.508,1D,1.6,0.2,50,0.1,3,4.5,1.5
NIKZAJ,1.813,0.233,29.27,0.131,2.82,4.42,1.567,1D,1.8,0.2,0,0.1,2.6,4.4,1.5
NIKZEN01,1.726,0.266,108.14,0.158,3.09,4.67,1.511,1D,1.6,0.2,100,0.1,3,4.6,1.5
NIKZEN02,1.7,0.278,133.97,0.168,3.18,4.81,1.513,1D,1.6,0.2,100,0.1,3,4.8,1.5
NIKZEN,1.741,0.264,97.74,0.155,3.1,4.69,1.513,1D,1.6,0.2,50,0.1,3,4.6,1.5
NILDUJ,0.914,0.537,823.37,0.511,4.04,5.12,1.267,1D,0.8,0.5,800,0.5,4,5,1.2
NILHOF,1.136,0.299,105.94,0.198,3.08,4.35,1.412,1D,1.1,0.2,100,0.1,3,4.3,1.4
NILLEA,1.285,0.303,145.97,0.194,3.36,4.75,1.414,1D,1.2,0.3,100,0.1,3.3,4.6,1.4
NILMAY,1.316,0.374,38.66,0.209,2.83,4.44,1.569,2D,1.3,0.3,0,0.2,2.6,4.4,1.5
NILNON,1.234,0.271,76.51,0.177,3.33,4.44,1.333,1D,1.2,0.2,50,0.1,3.3,4.4,1.3
NIMDIY,2.364,0.197,6.91,0.077,1.63,4.11,2.521,2D,2,0.1,0,0,1.4,4,2.5
NIMGOH,1.361,0.194,80.4,0.099,4.07,4.6,1.130,1D,1.3,0.1,50,0,4,4.6,1.1
NIMJUP,0.77,0.702,2782.69,0.809,5.69,7.7,1.353,1D,0.6,0.7,2000,0.8,5,7,1.3
NIMKAW,1.334,0.304,302.29,0.173,4.38,5.17,1.180,1D,1.3,0.3,300,0.1,4,5,1.1
NIMLAZ,1.165,0.506,697.8,0.365,3.54,6.67,1.884,1D,1.1,0.5,600,0.3,3.3,6.5,1.8
NIMPII,2.295,0.220,123.53,0.079,1.39,5.55,3.993,3D,2,0.2,100,0,1,5.3,3
NIMTEI,1.057,0.470,263.74,0.382,3.39,4.65,1.372,1D,1,0.4,200,0.3,3.3,4.6,1.3
NIMZEP,1.175,0.189,2.64,0.106,1.78,4.1,2.303,1D,1.1,0.1,0,0.1,1.4,4,2
NIMZIT,1.179,0.278,60.16,0.173,1.71,4.31,2.520,1D,1.1,0.2,50,0.1,1.4,4.3,2.5
NINBAO,0.387,0.808,3444.15,1.971,12.89,14.2,1.102,1D,0,0.8,3000,1.5,10,10,1.1
NINBOD,1.077,0.318,105.02,0.22,3.04,4.96,1.632,1D,1,0.3,100,0.2,3,4.8,1.6
NINBUJ,0.99,0.419,298.49,0.353,3.72,4.95,1.331,1D,0.8,0.4,200,0.3,3.6,4.8,1.3
NINDEV,1.32,0.227,57.91,0.123,1.21,4.86,4.017,3D,1.3,0.2,50,0.1,1,4.8,4
NINDEW,1.241,0.154,77.25,0.084,1.42,4.65,3.275,1D,1.2,0.1,50,0,1.4,4.6,3
NINDIA,1.105,0.261,114.9,0.183,2.12,4.9,2.311,1D,1.1,0.2,100,0.1,1.8,4.8,2
NINHIE,1.39,0.259,161.24,0.124,1.26,5.8,4.603,3D,1.3,0.2,150,0.1,1,5.6,4
NINHOK,1.325,0.227,124.12,0.111,1.41,5.63,3.993,3D,1.3,0.2,100,0.1,1.4,5.6,3
NINHUQ,0.917,0.594,1338.46,0.553,4.09,6.82,1.667,2D,0.8,0.5,1250,0.5,4,6.5,1.6
NINJAY,0.875,0.593,1385.08,0.578,4.03,6.88,1.707,2D,0.8,0.5,1250,0.5,4,6.5,1.6
NINVIQ,1.218,0.351,157.17,0.264,2.51,4.49,1.789,2D,1.2,0.3,150,0.2,2.2,4.4,1.6
NIPFUQ,1.208,0.370,281.88,0.222,3.77,5.17,1.371,1D,1.2,0.3,200,0.2,3.6,5,1.3
NIPJUU,1.736,0.216,21.16,0.094,2.92,4.42,1.514,1D,1.6,0.2,0,0,2.6,4.4,1.5
NIPREL,1.779,0.142,1.97,0.06,1.44,4.07,2.826,3D,1.6,0.1,0,0,1.4,4,2.5
NIPRIP,1.217,0.466,556.53,0.356,3.67,5.36,1.460,1D,1.2,0.4,500,0.3,3.6,5.3,1.4
NIPVOX01,1.249,0.288,273.21,0.199,3.38,4.78,1.414,1D,1.2,0.2,200,0.1,3.3,4.6,1.4
NIPVOX,1.283,0.290,236.51,0.196,3.61,4.81,1.332,1D,1.2,0.2,200,0.1,3.6,4.8,1.3
NIQDEZ,1.326,0.346,233.79,0.207,2.62,5.23,1.996,2D,1.3,0.3,200,0.2,2.6,5,1.8
NIQGIF,1.725,0.183,27.06,0.078,2.39,4.27,1.787,1D,1.6,0.1,0,0,2.2,4.2,1.6
NIQSEO,1.053,0.570,1218.42,0.448,4.37,6.09,1.394,1D,1,0.5,1000,0.4,4,6,1.3
NIRBOG,1.094,0.194,16.67,0.114,1.48,4.18,2.824,3D,1,0.1,0,0.1,1.4,4,2.5
NIRPIQ,1.06,0.700,1110.21,0.447,6.66,6.82,1.024,1D,1,0.7,1000,0.4,6,6.5,1
NIRXUH,1.421,0.343,107.6,0.185,3.17,4.63,1.461,1D,1.4,0.3,100,0.1,3,4.6,1.4
NISPEL,1.221,0.484,607.55,0.339,3.79,6.78,1.789,1D,1.2,0.4,600,0.3,3.6,6.5,1.6
NISPEN,1.104,0.577,1588.71,0.536,5.41,8.25,1.525,2D,1.1,0.5,1500,0.5,5,8,1.5
NISPIP,1.532,0.321,22.06,0.176,2.79,4.23,1.516,1D,1.5,0.3,0,0.1,2.6,4.2,1.5
NISPUD,1.11,0.546,762.28,0.431,3.56,6.37,1.789,1D,1.1,0.5,600,0.4,3.3,6,1.6
NISQAK,1.123,0.446,796.99,0.385,3.9,6.51,1.669,1D,1.1,0.4,600,0.3,3.8,6.5,1.6
NISZAQ,1.266,0.525,1126.01,0.408,8.55,9.06,1.060,1D,1.2,0.5,1000,0.4,8,8,1
NITJOQ,1.493,0.450,296.63,0.24,3.7,5.08,1.373,1D,1.4,0.4,200,0.2,3.6,5,1.3
NIVNIQ,1.595,0.217,77.44,0.106,1.23,4.92,4.000,2D,1.5,0.2,50,0.1,1,4.8,4
NIVXIC,1.244,0.228,89.68,0.125,2.15,4.6,2.140,2D,1.2,0.2,50,0.1,1.8,4.6,2
NIWYAV,1.173,0.578,895.42,0.435,7.06,8.19,1.160,1D,1.1,0.5,800,0.4,6,8,1.1
NIWYEZ,0.972,0.628,951.96,0.609,3.4,14.03,4.126,3D,0.8,0.6,800,0.6,3.3,10,4
NIWYID,1.247,0.488,302.09,0.33,3.22,5.06,1.571,1D,1.2,0.4,300,0.3,3,5,1.5
NIXBUS,1.06,0.596,1320.58,0.491,4.5,6.93,1.540,1D,1,0.5,1250,0.4,4.5,6.5,1.5
NIXQIV,1.458,0.238,18.6,0.153,3.02,4.28,1.417,1D,1.4,0.2,0,0.1,3,4.2,1.4
NIXSIZ,1.601,0.131,11.67,0.05,1.67,4.22,2.527,2D,1.6,0.1,0,0,1.4,4.2,2.5
NIXYOK,1.242,0.118,39.6,0.061,2.23,5.14,2.305,1D,1.2,0.1,0,0,2.2,5,2
NIYCUV,2.454,0.316,1.5,0.131,3.34,4.13,1.237,1D,2,0.3,0,0.1,3.3,4,1.2
NIYDUV,1.082,0.244,23.29,0.155,1.32,4.32,3.273,2D,1,0.2,0,0.1,1,4.3,3
NIYNOA,1.111,0.421,73.25,0.303,2.29,4.32,1.886,2D,1.1,0.4,50,0.3,2.2,4.3,1.8
NIYPAO,1.525,0.140,1.95,0.07,1.04,4.15,3.990,3D,1.5,0.1,0,0,1,4,3
NIZCEG,1.386,0.143,0.88,0.075,1.03,4.11,3.990,3D,1.3,0.1,0,0,1,4,3
NIZCIK,1.148,0.284,27.96,0.196,3.12,4.41,1.413,1D,1.1,0.2,0,0.1,3,4.4,1.4
NIZDAE,0.703,0.610,2208.18,0.768,5.59,8.86,1.585,1D,0.6,0.6,2000,0.6,5,8,1.5
NIZDEI,1.421,0.228,148.68,0.124,1.33,5.32,4.000,2D,1.4,0.2,100,0.1,1,5.3,4
NIZNAN,1.203,0.463,227.65,0.285,3.19,5.2,1.630,1D,1.2,0.4,200,0.2,3,5,1.6
NIZNIV,1.932,0.124,18.71,0.052,3.14,4.59,1.462,1D,1.8,0.1,0,0,3,4.5,1.4
NIZPOB,1.134,0.366,73.92,0.211,2.84,4.65,1.637,3D,1.1,0.3,50,0.2,2.6,4.6,1.6
NIZQEU,1.229,0.246,105.75,0.16,2.8,5.01,1.789,1D,1.2,0.2,100,0.1,2.6,5,1.6
NIZQOD,0.894,0.572,1983.04,0.585,5.31,7.09,1.335,1D,0.8,0.5,1500,0.5,5,7,1.3
NOBQEB,1.201,0.200,95.59,0.126,1.09,4.37,4.009,2D,1.2,0.1,50,0.1,1,4.3,4
NOCBUC,1.49,0.333,266.04,0.179,1.4,5.59,3.993,3D,1.4,0.3,200,0.1,1.4,5.3,3
NOCHET,2.203,0.330,187.24,0.157,2.98,5.34,1.792,1D,2,0.3,150,0.1,2.6,5.3,1.6
NOCHUJ,0.87,0.558,588.34,0.516,3.73,5.27,1.413,1D,0.8,0.5,500,0.5,3.6,5,1.4
NOCJIZ,1.43,0.135,0.73,0.075,3.08,4.11,1.334,1D,1.4,0.1,0,0,3,4,1.3
NOCJUL,1.071,0.437,411.68,0.333,2.96,5.05,1.706,3D,1,0.4,400,0.3,2.6,5,1.6
NOCLOG,1.149,0.349,631.15,0.254,4.99,6.48,1.299,1D,1.1,0.3,600,0.2,4.5,6,1.2
NOCYIN,0.854,0.541,919.07,0.636,3.91,5.72,1.463,2D,0.8,0.5,800,0.6,3.8,5.6,1.4
NODHUM,1.263,0.187,3.03,0.094,2.64,4.15,1.572,1D,1.2,0.1,0,0,2.6,4,1.5
NODKAT,1.2,0.375,76.43,0.213,2.56,4.58,1.789,1D,1.2,0.3,50,0.2,2.2,4.5,1.6
NODKUN,0.764,0.724,2430.32,0.806,6.55,7.81,1.192,1D,0.6,0.7,2000,0.8,6,7,1.1
NOFDUI,1.211,0.342,143.18,0.224,3.63,4.59,1.264,1D,1.2,0.3,100,0.2,3.6,4.5,1.2
NOFMIG01,1.614,0.179,132.35,0.078,4.16,4.61,1.108,1D,1.6,0.1,100,0,4,4.6,1.1
NOFMIG,1.616,0.181,132.38,0.077,4.08,4.61,1.130,1D,1.6,0.1,100,0,4,4.6,1.1
NOFQEG,1.566,0.227,55.49,0.117,3.73,4.5,1.206,1D,1.5,0.2,50,0.1,3.6,4.5,1.2
NOGCES,1.032,0.357,97.8,0.271,3.1,4.68,1.510,1D,1,0.3,50,0.2,3,4.6,1.5
NOGSIL,1.252,0.241,13.88,0.141,2.1,4.21,2.005,2D,1.2,0.2,0,0.1,1.8,4.2,2
NOGYAK,1.234,0.225,3.78,0.114,2.09,4.18,2.000,1D,1.2,0.2,0,0.1,1.8,4,2
NOGYIS,1.19,0.405,97.67,0.297,3.1,4.53,1.461,1D,1.1,0.4,50,0.2,3,4.5,1.4
NOHBUJ,1.293,0.258,155.7,0.136,3.95,4.77,1.208,1D,1.2,0.2,150,0.1,3.8,4.6,1.2
NOHDIY,1.007,0.527,1340.74,0.497,7.14,8.08,1.132,1D,1,0.5,1250,0.4,6,8,1.1
NOHFOG,1.836,0.329,139.31,0.16,3.36,4.74,1.411,1D,1.8,0.3,100,0.1,3.3,4.6,1.4
NOHFUM,1.449,0.429,696.5,0.256,5.46,6.44,1.179,1D,1.4,0.4,600,0.2,5,6,1.1
NOHHEZ,1.522,0.207,74.33,0.119,2.47,5.27,2.134,1D,1.5,0.2,50,0.1,2.2,5,2
NOHSUZ,0.731,0.652,1600.49,0.762,4.18,6,1.435,1D,0.6,0.6,1500,0.6,4,6,1.4
NOHWAK,1.477,0.424,211.26,0.237,2.95,5.04,1.708,1D,1.4,0.4,200,0.2,2.6,5,1.6
NOHYOZ,1.312,0.149,4.44,0.06,2.18,4.11,1.885,3D,1.3,0.1,0,0,1.8,4,1.8
NOJCAR01,1.012,0.255,59.83,0.194,1.81,4.57,2.525,1D,1,0.2,50,0.1,1.8,4.5,2.5
NOJCAR,0.986,0.271,119.35,0.216,1.91,4.83,2.529,1D,0.8,0.2,100,0.2,1.8,4.8,2.5
NOJCAS,1.606,0.163,1.05,0.063,1.02,4.06,3.980,3D,1.6,0.1,0,0,1,4,3
NOJFEY,0.928,0.494,393.44,0.458,3.56,4.89,1.374,2D,0.8,0.4,300,0.4,3.3,4.8,1.3
NOJVEO,1.272,0.207,6.41,0.108,1.48,4.19,2.831,2D,1.2,0.2,0,0.1,1.4,4,2.5
NOJXUG,1.28,0.100,68.3,0.061,4,5.33,1.333,1D,1.2,0.0,50,0,4,5.3,1.3
NOJYIV,1.398,0.115,56.95,0.059,2.5,5.34,2.136,1D,1.3,0.1,50,0,2.2,5.3,2
NOJYOB,1.326,0.219,50.23,0.096,2.35,4.69,1.996,1D,1.3,0.2,50,0,2.2,4.6,1.8
NOKLIJ,1.536,0.337,408.17,0.22,5.29,6.53,1.234,1D,1.5,0.3,400,0.2,5,6.5,1.2
NOLPAH,1.068,0.373,224.88,0.277,3.5,4.67,1.334,1D,1,0.3,200,0.2,3.3,4.6,1.3
NOLTUD,1.446,0.187,5.85,0.092,1.98,4.23,2.136,1D,1.4,0.1,0,0,1.8,4.2,2
NOLVER,1.945,0.381,259.44,0.149,3.8,4.93,1.297,1D,1.8,0.3,200,0.1,3.8,4.8,1.2
NOMPUC01,1.269,0.324,91.85,0.178,2.3,4.59,1.996,1D,1.2,0.3,50,0.1,2.2,4.5,1.8
NOMPUC,1.264,0.330,111.17,0.191,2.29,4.59,2.004,1D,1.2,0.3,100,0.1,2.2,4.5,2
NOMQAJ01,1.316,0.340,109.61,0.178,3.14,4.74,1.510,1D,1.3,0.3,100,0.1,3,4.6,1.5
NOMQUB,0.983,0.538,1404.39,0.503,7.03,7.95,1.131,1D,0.8,0.5,1250,0.5,6,7,1.1
NOMVER,1.012,0.464,481.32,0.369,3.81,5.57,1.462,1D,1,0.4,400,0.3,3.8,5.3,1.4
NOMVIV,1.255,0.374,112.89,0.224,2.93,4.79,1.635,1D,1.2,0.3,100,0.2,2.6,4.6,1.6
NONKOQ,1.325,0.219,6.51,0.126,3.11,4.27,1.373,1D,1.3,0.2,0,0.1,3,4.2,1.3
NOPKAG,1.768,0.218,70.16,0.093,1.5,4.91,3.273,3D,1.6,0.2,50,0,1.4,4.8,3
NOPQUG,1.118,0.362,184.69,0.259,3.93,4.74,1.206,1D,1.1,0.3,150,0.2,3.8,4.6,1.2
NOPXIB,1.715,0.219,80.41,0.1,1.52,4.97,3.270,3D,1.6,0.2,50,0.1,1.4,4.8,3
NOPXOH,1.605,0.225,132.54,0.108,1.82,5.14,2.824,3D,1.6,0.2,100,0.1,1.8,5,2.5
NOPXUN,1.918,0.222,118.64,0.089,1.81,5.13,2.834,3D,1.8,0.2,100,0,1.8,5,2.5
NOQJEK,0.923,0.433,524.96,0.366,3.35,5.07,1.513,1D,0.8,0.4,500,0.3,3.3,5,1.5
NOQKOV,1.064,0.478,451.91,0.352,3.66,5.18,1.415,1D,1,0.4,400,0.3,3.6,5,1.4
NOQNOY,1.518,0.188,57.8,0.097,1.92,4.43,2.307,2D,1.5,0.1,50,0,1.8,4.4,2
NOQZAW,0.811,0.576,1614.37,0.651,9.9,10.31,1.041,1D,0.8,0.5,1500,0.6,8,10,1
NORJEL,1.457,0.125,5.95,0.058,1.35,4.4,3.259,1D,1.4,0.1,0,0,1,4.4,3
NORNUF,1.042,0.696,1828.82,0.65,6.57,8.53,1.298,2D,1,0.6,1500,0.6,6,8,1.2
NORPAN,1.25,0.659,1412.24,0.518,6.85,8.4,1.226,1D,1.2,0.6,1250,0.5,6,8,1.2
NORPER,0.949,0.721,1915.42,0.723,5.92,11.01,1.860,1D,0.8,0.7,1500,0.6,5,10,1.8
NORRIW,1.266,0.105,73.16,0.06,3.93,5.39,1.372,1D,1.2,0.1,50,0,3.8,5.3,1.3
NOSBOO,1.042,0.595,1625.39,0.492,6.24,7.71,1.236,2D,1,0.5,1500,0.4,6,7,1.2
NOSHAG,1.718,0.385,117.8,0.186,3.04,4.96,1.632,2D,1.6,0.3,100,0.1,3,4.8,1.6
NOSHEK,1.789,0.484,303.13,0.248,3.4,5.33,1.568,1D,1.6,0.4,300,0.2,3.3,5.3,1.5
NOSHIO,1.907,0.437,145.48,0.208,3.03,4.94,1.630,3D,1.8,0.4,100,0.2,3,4.8,1.6
NOSJIQ,2.102,0.186,115.56,0.08,3.96,5.99,1.513,1D,2,0.1,100,0,3.8,5.6,1.5
NOTFOT,1.974,0.278,67.66,0.133,3.05,4.98,1.633,2D,1.8,0.2,50,0.1,3,4.8,1.6
NOTJIR,2.086,0.172,14.62,0.088,2.72,4.45,1.636,1D,2,0.1,0,0,2.6,4.4,1.6
NOTJOX,2.107,0.169,12.47,0.086,2.72,4.43,1.629,1D,2,0.1,0,0,2.6,4.4,1.6
NOTRUL,0.772,0.631,2243.31,0.864,5.11,6.91,1.352,1D,0.6,0.6,2000,0.8,5,6.5,1.3
NOTWAW,1.25,0.288,152.44,0.185,2.87,5.13,1.787,2D,1.2,0.2,150,0.1,2.6,5,1.6
NOWHIQ,1.264,0.333,250.36,0.231,3.08,5.03,1.633,1D,1.2,0.3,200,0.2,3,5,1.6
NOXXUV,1.264,0.200,100.55,0.118,2.58,4.86,1.884,1D,1.2,0.2,100,0.1,2.2,4.8,1.8
NOZQEY,0.581,0.687,3547.41,1.07,5.04,6.63,1.315,1D,0,0.6,3000,1,5,6.5,1.3
NOZZOT,1.026,0.593,1256.86,0.478,4.57,6.79,1.486,2D,1,0.5,1250,0.4,4.5,6.5,1.4
NUCBIY,0.593,0.725,3252.52,1.084,5.86,7.51,1.282,1D,0,0.7,3000,1,5,7,1.2
