,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
2990,SIXGEM,2008,0.948,0.473334,1.91,2,0.402,0.403,3.33,4.11,1.234234234,1D,[0.8 - 1.0),[0.4 - 0.5),[0 - 50),[0.05-50),[0.4 - 0.5),[0.4-0.5),[3.3-3.6),[4.0-4.2),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXGEM
2991,SIXREX,2008,0.913,0.428194,105.41,0,0.406,0,2.86,4.48,1.566433566,1D,[0.8 - 1.0),[0.4 - 0.5),[100 - 150),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXREX
2992,SIXRUN,2008,0.884,0.44916,282.93,0,0.427,0,2.76,4.71,1.706521739,1D,[0.8 - 1.0),[0.4 - 0.5),[200 - 300),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXRUN
2993,SIXSEY,2008,0.93,0.400788,91.39,61.77,0.352,0.26,3.52,4.45,1.264204545,1D,[0.8 - 1.0),[0.4 - 0.5),[50 - 100),[50-100),[0.3 - 0.4),[0.2-0.3),[3.3-3.6),[4.4-4.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXSEY
2994,SIXTID,2008,1.31,0.170137,24.46,0,0.083,0,1.1,4.41,4.009090909,3D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXTID
2995,SIXYII,2008,1.18,0.393,145.61,102.74,0.267,0.174,3.45,4.87,1.411594203,2D,[1.1 - 1.2),[0.3 - 0.4),[100 - 150),[100-200),[0.2 - 0.3),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXYII
2996,SIXYOO,2008,1.364,0.278436,39.86,0,0.148,0,1.14,4.55,3.99122807,3D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXYOO
2997,SIXYUU,2008,0.949,0.561009,1340.13,1338.25,0.549,0.554,5.14,6.06,1.178988327,1D,[0.8 - 1.0),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIXYUU
2998,SIYMAP,2008,1.349,0.162135,1.25,0,0.079,0,1.77,4.08,2.305084746,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIYMAP
2999,SIYQIB,2008,1.859,0.113107,0.77,0,0.031,0,1.04,4.15,3.990384615,2D,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIYQIB
3000,SIZCOU,2008,0.914,0.618393,1591.48,1631.82,0.608,0.612,4.62,6,1.298701299,2D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.5-5.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZCOU
3001,SIZDIP,2008,2.005,0.170255,1.79,0,0.068,0,1.04,4.17,4.009615385,3D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=SIZDIP
