,Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
6697,KIGCEK,2013,1.203,0.325543,571.76,587.43,0.233,0.23,7.3,7.6,1.04109589,1D,[1.2 - 1.3),[0.3 - 0.4),[500 - 600),[500-600),[0.2 - 0.3),[0.2-0.3),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIGCEK
6698,KIJPUQ,2013,1.135,0.43411,62.06,0,0.308,0,2.73,4.45,1.63003663,2D,[1.1 - 1.2),[0.4 - 0.5),[50 - 100),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIJPUQ
6699,KIJRIG,2013,1.432,0.197379,113.5,113.01,0.099,0.1,4.03,4.56,1.131513648,1D,[1.4 - 1.5),[0.1 - 0.2),[100 - 150),[100-200),[0.0 - 0.1),[0.1-0.2),[4.0-4.5),[4.5-4.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIJRIG
6700,KIJXEI,2013,0.832,0.635408,1972.13,1982.5,0.684,0.69,7.09,9.2,1.297602257,1D,[0.8 - 1.0),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIJXEI
6701,KIKFER,2013,1.367,0.211306,7.4,0,0.127,0,1.07,4.28,4,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.2-4.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIKFER
6702,KIKGAO,2013,0.637,0.621611,2194.61,2175.65,0.882,0.872,7.26,8.91,1.227272727,2D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIKGAO
6703,KILFUI,2013,1.298,0.258465,2.95,0,0.16,0,3.03,4.16,1.372937294,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KILFUI
6704,KILGIX,2013,1.306,0.134741,9.41,0,0.064,0,2.27,4.28,1.885462555,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.2-4.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KILGIX
6705,KILGUJ,2013,0.985,0.435668,812.24,795.95,0.37,0.362,3.81,9,2.362204724,1D,[0.8 - 1.0),[0.4 - 0.5),[800 - 1000),[600-800),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KILGUJ
6706,KIMYOW,2013,1.247,0.260902,163.14,137.49,0.176,0.159,3.58,5.06,1.413407821,1D,[1.2 - 1.3),[0.2 - 0.3),[150 - 200),[100-200),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[5.0-5.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIMYOW
6707,KINDIW,2013,1.59,0.301848,2.49,0,0.132,0,3.08,4.1,1.331168831,3D,[1.5 - 1.6),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINDIW
6708,KINDOC,2013,1.205,0.454164,779.59,733.63,0.307,0.292,4.75,5.73,1.206315789,1D,[1.2 - 1.3),[0.4 - 0.5),[600 - 800),[600-800),[0.3 - 0.4),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINDOC
6709,KINFAQ,2013,1.411,0.52663,775.54,769.63,0.311,0.315,4.6,6.51,1.415217391,1D,[1.4 - 1.5),[0.5 - 0.6),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[4.5-5.0),[6.5-7.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINFAQ
6710,KINFEU,2013,1.62,0.314204,333.38,333.64,0.152,0.145,3.97,6.63,1.670025189,1D,[1.6 - 1.8),[0.3 - 0.4),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[6.5-7.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINFEU
6711,KINKOJ,2013,0.766,0.602403,1892.74,1808.29,0.713,0.694,7.78,9.72,1.249357326,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINKOJ
6712,KINNUS,2013,0.75,0.709843,2284.13,2280.06,0.896,0.893,6.92,7.6,1.098265896,1D,[0.6 - 0.8),[0.7 - 0.8),[2000 - 3000),[2000-3000),[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINNUS
6713,KINYUD,2013,1.191,0.225394,0.69,0,0.133,0,2.89,4.08,1.411764706,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINYUD
6714,KINZAK,2013,1.186,0.253201,6.84,0,0.152,0,2.95,4.17,1.413559322,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINZAK
6715,KINZEO,2013,0.748,0.604851,2164.36,2098.89,0.71,0.708,6.46,7.8,1.207430341,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KINZEO
6716,KIPHIC,2013,1.363,0.153413,0.74,0,0.079,0,2.07,4.14,2,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPHIC
6717,KIPJOK,2013,1.689,0.290896,360.57,365.85,0.155,0.152,4.93,6.76,1.371196755,1D,[1.6 - 1.8),[0.2 - 0.3),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[6.5-7.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPJOK
6718,KIPKAX,2013,2.002,0.13767,66.25,64.06,0.051,0.048,3.61,4.95,1.371191136,1D,[2.0 - 7.0],[0.1 - 0.2),[50 - 100),[50-100),[0.0 - 0.1),[0.01-0.1),[3.6-3.8),[4.8-5.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPKAX
6719,KIPKIF,2013,1.11,0.347586,539.57,545.06,0.232,0.228,9.9,10.23,1.033333333,1D,[1.1 - 1.2),[0.3 - 0.4),[500 - 600),[500-600),[0.2 - 0.3),[0.2-0.3),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPKIF
6720,KIPQAD,2013,1.343,0.241684,5.62,0,0.124,0,2.09,4.18,2,2D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPQAD
6721,KIPQUX,2013,1.038,0.509023,19.54,0,0.402,0,3.02,4.28,1.417218543,1D,[1.0 - 1.1),[0.5 - 0.6),[0 - 50),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[3.0-3.3),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPQUX
6722,KIPXOY,2013,1.028,0.355688,51.57,0,0.251,0,2.72,4.45,1.636029412,1D,[1.0 - 1.1),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPXOY
6723,KIPXUE,2013,1.033,0.356562,53.08,0,0.25,0,2.55,4.57,1.792156863,1D,[1.0 - 1.1),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.2-2.6),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPXUE
6724,KIPZEQ,2013,1.403,0.319509,181.55,183.6,0.172,0.172,3.84,4.74,1.234375,1D,[1.4 - 1.5),[0.3 - 0.4),[150 - 200),[100-200),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPZEQ
6725,KIPZIU,2013,1.486,0.242291,17.19,0,0.124,0,1.14,4.58,4.01754386,3D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.5-4.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIPZIU
6726,KIQDEV,2013,1.158,0.206463,41.53,0,0.12,0,1.39,4.53,3.258992806,1D,[1.1 - 1.2),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=KIQDEV
6727,LECBEC,2013,1.701,0.108843,2.99,0,0.035,0,1.05,4.19,3.99047619,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LECBEC
6728,LECCON,2013,1.43,0.42292,611.26,606.54,0.307,0.308,3.68,5.56,1.510869565,2D,[1.4 - 1.5),[0.4 - 0.5),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[3.6-3.8),[5.3-5.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LECCON
6729,LECFAC,2013,0.838,0.718368,2032.11,1989.52,0.787,0.783,4.17,9.62,2.306954436,3D,[0.8 - 1.0),[0.7 - 0.8),[2000 - 3000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.0-4.5),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LECFAC
6730,LECFEG,2013,0.882,0.707534,1943.79,1917.88,0.735,0.735,4.01,9.08,2.264339152,3D,[0.8 - 1.0),[0.7 - 0.8),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[4.0-4.5),[8.0-10.0),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LECFEG
6731,LECGEH,2013,1.194,0.316097,106.31,0,0.197,0,2.76,4.5,1.630434783,1D,[1.1 - 1.2),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LECGEH
6732,LEKKAP,2013,1.969,0.174506,33.5,0,0.094,0,2.85,4.47,1.568421053,1D,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEKKAP
6733,LELNAT,2013,1.657,0.152494,21.29,0,0.072,0,1.9,4.38,2.305263158,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LELNAT
6734,LELNEX,2013,1.364,0.182773,19.82,0,0.124,0,1.33,4.34,3.263157895,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LELNEX
6735,LELTIH,2013,0.707,0.633378,2093.41,2110.44,0.778,0.773,3.92,6.39,1.630102041,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[3.8-4.0),[6.0-6.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LELTIH
6736,LEPKUO,2013,1.754,0.210083,66.11,0,0.089,0,1.75,4.94,2.822857143,3D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEPKUO
6737,LEPLAV,2013,1.77,0.223511,62.66,0,0.089,0,1.73,4.89,2.826589595,2D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.8-5.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEPLAV
6738,LERDUJ,2013,1.428,0.166599,4.58,0,0.071,0,1.02,4.1,4.019607843,3D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LERDUJ
6739,LERFAR,2013,1.415,0.170819,28.61,0,0.078,0,1.37,4.46,3.255474453,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.4-4.5),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LERFAR
6740,LERNED,2013,1.086,0.35358,171.78,172.96,0.27,0.27,3.77,4.77,1.265251989,1D,[1.0 - 1.1),[0.3 - 0.4),[150 - 200),[100-200),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LERNED
6741,LETNAB,2013,1.443,0.204803,15.65,0,0.11,0,1.31,4.28,3.267175573,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.2-4.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETNAB
6742,LETNEF,2013,1.456,0.205552,13.84,0,0.109,0,1.32,4.3,3.257575758,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETNEF
6743,LETNIJ,2013,1.485,0.193811,2.67,0,0.097,0,1.26,4.13,3.277777778,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETNIJ
6744,LETNOP,2013,1.472,0.192135,2.47,0,0.099,0,1.26,4.12,3.26984127,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LETNOP
6745,LEWDEY,2013,0.95,0.479174,333.6,0,0.384,0,2.79,5.26,1.885304659,3D,[0.8 - 1.0),[0.4 - 0.5),[300 - 400),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[5.0-5.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEWDEY
6746,LEXXAP,2013,1.893,0.191944,77.69,0,0.084,0,2.19,4.69,2.141552511,1D,[1.8 - 2.0),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEXXAP
6747,LEYFUS,2013,3.306,0.171051,51.96,0,0.048,0,2.03,5.74,2.827586207,1D,[2.0 - 7.0],[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[5.6-6.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEYFUS
6748,LEYPAI,2013,1.766,0.408755,472.63,473.02,0.233,0.233,4.74,5.6,1.181434599,1D,[1.6 - 1.8),[0.4 - 0.5),[400 - 500),[400-500),[0.2 - 0.3),[0.2-0.3),[4.5-5.0),[5.6-6.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEYPAI
6749,LEYWOD,2013,1.019,0.409001,529.11,529.91,0.317,0.313,3.57,5.95,1.666666667,1D,[1.0 - 1.1),[0.4 - 0.5),[500 - 600),[500-600),[0.3 - 0.4),[0.3-0.4),[3.3-3.6),[5.6-6.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEYWOD
6750,LEZSIU,2013,1.23,0.237587,15.43,0,0.143,0,1.68,4.26,2.535714286,1D,[1.2 - 1.3),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEZSIU
6751,LEZWUK,2013,3.338,0.168761,44.13,0,0.047,0,1.88,5.68,3.021276596,3D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[5.6-6.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEZWUK
6752,LEZXAR,2013,3.312,0.168561,44.4,0,0.046,0,2,5.66,2.83,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[5.6-6.0),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEZXAR
6753,LEZZEX,2013,1.648,0.272853,140.3,137.84,0.109,0.11,4.02,5.21,1.2960199,1D,[1.6 - 1.8),[0.2 - 0.3),[100 - 150),[100-200),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LEZZEX
6754,LIBDUX,2013,0.859,0.593075,1863.44,1865.64,0.643,0.642,6.75,7.71,1.142222222,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIBDUX
6755,LIBJUD,2013,3.447,0.103756,9.79,0,0.027,0,2.79,4.38,1.569892473,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.3-4.4),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIBJUD
6756,LIBKEO,2013,3.819,0.042074,0.22,0,0.008,0,0.73,4.12,5.643835616,NON-POROUS,[2.0 - 7.0],[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.73,[4.0-4.2),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIBKEO
6757,LIBZED,2013,1.373,0.232786,121.58,0,0.13,0,2.8,4.78,1.707142857,1D,[1.3 - 1.4),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIBZED
6758,LICPAQ,2013,1.392,0.401543,5.78,0,0.261,0,3.04,4.3,1.414473684,2D,[1.3 - 1.4),[0.4 - 0.5),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.3-4.4),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LICPAQ
6759,LICQOF,2013,0.964,0.488458,750.6,736.34,0.413,0.395,4.05,5.12,1.264197531,2D,[0.8 - 1.0),[0.4 - 0.5),[600 - 800),[600-800),[0.4 - 0.5),[0.3-0.4),[4.0-4.5),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LICQOF
6760,LIDGUC,2013,0.736,0.587947,1486.79,1458.07,0.722,0.717,9.83,11.6,1.180061038,2D,[0.6 - 0.8),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.6 - 0.8),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIDGUC
6761,LIDHUD,2013,1.379,0.117227,0.04,0.08,0.052,0.049,1.73,3.99,2.306358382,1D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.05-50),[0.0 - 0.1),[0.01-0.1),[1.6-2.2),3.99,[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIDHUD
6762,LIDWIG,2013,1.157,0.391589,534.14,376.35,0.248,0.174,4.15,5.79,1.395180723,1D,[1.1 - 1.2),[0.3 - 0.4),[500 - 600),[300-400),[0.2 - 0.3),[0.1-0.2),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIDWIG
6763,LIFRAV,2013,0.969,0.52341,1665.44,1702.37,0.46,0.47,5.83,6.4,1.097770154,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.4 - 0.5),[0.4-0.5),[5.0-6.0),[6.0-6.5),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIFRAV
6764,LIFWII,2013,0.902,0.534256,1086.48,1087.18,0.466,0.472,4.72,5.83,1.235169492,1D,[0.8 - 1.0),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.4 - 0.5),[0.4-0.5),[4.5-5.0),[5.6-6.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIFWII
6765,LIGPIC,2013,1.149,0.485132,771.37,778.42,0.365,0.363,3.91,6.14,1.570332481,1D,[1.1 - 1.2),[0.4 - 0.5),[600 - 800),[600-800),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[6.0-6.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIGPIC
6766,LIGQAV,2013,1.438,0.264984,62.49,0,0.131,0,1.93,4.45,2.305699482,1D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIGQAV
6767,LIGZAE,2013,0.687,0.615062,1912.45,1904.84,0.807,0.803,8.62,10.76,1.248259861,1D,[0.6 - 0.8),[0.6 - 0.7),[1500 - 2000),[1500-2000),[0.8 - 1.0),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIGZAE
6768,LIHXUX,2013,1.058,0.328417,31.47,0,0.253,0,2.75,4.5,1.636363636,3D,[1.0 - 1.1),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIHXUX
6769,LIJSOO,2013,1.214,0.175203,52.02,0,0.108,0,1.82,4.61,2.532967033,2D,[1.2 - 1.3),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIJSOO
6770,LIMQOP,2013,1.424,0.215133,33.97,0,0.095,0,2.3,4.33,1.882608696,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.3-4.4),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIMQOP
6771,LIMRAC,2013,1.341,0.258262,42.33,0,0.139,0,2.82,4.61,1.634751773,2D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIMRAC
6772,LIQBUK,2013,2.051,0.119387,0.35,0,0.052,0,1.61,4.09,2.540372671,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIQBUK
6773,LIQCAR,2013,2.075,0.123361,1.24,0,0.052,0,1.62,4.1,2.530864198,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIQCAR
6774,LIQCEV,2013,2.076,0.120672,0.13,0,0.052,0,1.59,4.03,2.534591195,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LIQCEV
