DDEC Code,Ref. code,Code,Uptake @ 1bar (mol/kg),Uptake @ 1bar (cm³(STP)/cm³),Uptake @ 5bar (mol/kg),Uptake @ 5bar (cm³(STP)/cm³),Uptake @ 10bar (mol/kg),Uptake @ 10bar (cm³(STP)/cm³),Uptake @ 20bar (mol/kg),Uptake @ 20bar (cm³(STP)/cm³),Uptake @ 30bar (mol/kg),Uptake @ 30bar (cm³(STP)/cm³),Uptake @ 50bar (mol/kg),Uptake @ 50bar (cm³(STP)/cm³),Uptake @ 80bar (mol/kg),Uptake @ 80bar (cm³(STP)/cm³),Uptake @ 100bar (mol/kg),Uptake @ 100bar (cm³(STP)/cm³),Uptake @ 140bar (mol/kg),Uptake @ 140bar (cm³(STP)/cm³),Uptake @ 200bar (mol/kg),Uptake @ 200bar (cm³(STP)/cm³),QST @ 5bar (kJ/mol),QST @ 140bar (kJ/mol),Deliverable @ 30bar (mol/kg),Deliverable @ 30bar (cm³(STP)/cm³),Deliverable @ 80bar (mol/kg),Deliverable @ 80bar (cm³(STP)/cm³),Deliverable @140bar (mol/kg),Deliverable @ 140bar (cm³(STP)/cm³),Deliverable @ 200bar (mol/kg),Deliverable @ 200bar (cm³(STP)/cm³),Density (g/cm³),PLD (Å),LCD (Å),VSA (m²/cm³),GSA (m²/g),VF
TEVZOK,TEVZOK,core-mof-ddec-2319,0.165881184,7.359063996,0.65426808,29.02559865,1.022252923,45.35068111,1.422153572,63.09165933,1.626860294,72.17315866,1.84337908,81.77868211,2.008688424,89.11237732,2.083271816,92.42115498,2.170489293,96.2904244,2.276321345,100.9855009,18.28895,18.07459,0.972592214,43.14756001,1.354420344,60.08677867,1.516221213,67.26482575,1.622053266,71.95990224,1.97903,3.5,4.6,0,0,0.24
CAVSOJ,CAVSOJ,core-mof-ddec-232,0.073664443,2.614206904,0.32200274,11.42724696,0.544195798,19.31244369,0.844105839,29.95566403,1.043000941,37.01406191,1.292743529,45.87693749,1.507721629,53.50608949,1.601422093,56.83133556,1.776892079,63.05842193,1.94594877,69.05791297,16.65865,16.43742,0.720998201,25.58681495,1.185718889,42.07884253,1.454889339,51.63117497,1.62394603,57.63066601,1.5833,3.0,4.2,0,0,0.13
TEVZUQ,TEVZUQ,core-mof-ddec-2320,0.181898654,7.726123986,0.685129557,29.10079755,1.079728775,45.86135306,1.486598722,63.1431063,1.690638297,71.8096633,1.925229602,81.77390147,2.099658599,89.18275265,2.19360115,93.17295147,2.314306993,98.29991799,2.419340852,102.7612188,17.45049,17.07643,1.00550874,42.70886575,1.414529042,60.0819551,1.629177436,69.19912044,1.734211295,73.6604213,1.89478,3.7,4.9,0,0,0.27
TEWFUY01,TEWFUY01,core-mof-ddec-2321,0.700232541,18.88605956,2.065795315,55.71682417,2.853653014,76.96623286,3.651134806,98.47521414,4.080974297,110.0684689,4.610738615,124.3568087,5.052817874,136.2801837,5.227569017,140.9934187,5.559061072,149.9341324,5.78877137,156.1296776,20.24315,19.9542,2.015178982,54.35164473,2.987022559,80.56335953,3.493265757,94.21730823,3.722976055,100.4128535,1.20333,3.8,5.2,511.867,425.375,0.32
TEWFUY,TEWFUY,core-mof-ddec-2322,0.729613974,19.66594025,2.131227158,57.4448783,2.953078667,79.59697961,3.729834718,100.5335825,4.185261913,112.8091205,4.702476975,126.7500822,5.129451202,138.2587018,5.317879737,143.3375851,5.636003889,151.9122709,5.893717897,158.8586679,20.19072,21.4361,2.054034755,55.3642422,2.998224044,80.8138235,3.504776731,94.4673926,3.762490739,101.4137896,1.20256,3.8,5.1,505.882,420.67,0.33
TEWGEJ01,TEWGEJ01,core-mof-ddec-2323,0.343755162,10.06098437,1.081247958,31.64583409,1.61205476,47.18142318,2.021749836,59.17232897,2.273038781,66.52702332,2.608561642,76.34706571,2.821406013,82.57656895,2.974776766,87.06540554,3.129442589,91.59214609,3.351207551,98.08273609,21.48827,20.37001,1.191790823,34.88118923,1.740158055,50.93073486,2.048194631,59.946312,2.269959592,66.436902,1.3058,3.2,4.1,0,0,0.17
TEYLIU,TEYLIU,core-mof-ddec-2324,0.067166241,2.954602865,0.274457847,12.07323701,0.443537672,19.51095768,0.677069984,29.78390479,0.848810417,37.33866403,1.02096273,44.91154159,1.16039388,51.04503472,1.263881907,55.5974113,1.325667142,58.31530695,1.41903755,62.42261551,18.21943,18.60512,0.57435257,25.26542702,0.885936033,38.97179771,1.051209295,46.24206994,1.144579703,50.34937851,1.96259,3.0,3.9,0,0,0.12
TIFBOA,TIFBOA,core-mof-ddec-2325,0.150552526,4.638536022,0.647474536,19.94874511,1.097318836,33.80848598,1.690234844,52.07627823,2.091441174,64.43747912,2.586625813,79.69415964,3.016760223,92.94663712,3.200086661,98.59494016,3.480056502,107.2208346,3.79291833,116.8601339,15.78405,16.72823,1.443966638,44.48873401,2.369285687,72.99789201,2.832581966,87.27208949,3.145443794,96.91138883,1.37462,3.5,4.7,0,0,0.24
TIGDOD,TIGDOD,core-mof-ddec-2326,0.777514283,16.40161679,2.877316643,60.69682062,4.352061664,91.80647766,5.845169717,123.3035018,6.651230797,140.3073115,7.60859681,160.5028897,8.314329378,175.3902755,8.645336281,182.3728461,9.096924023,191.8990622,9.583970619,202.1732807,16.77622,17.52126,3.773914154,79.61049088,5.437012735,114.6934549,6.21960738,131.2022416,6.706653976,141.4764601,0.941113,4.6,6.1,1392.92,1480.08,0.5
TIKMUW,TIKMUW,core-mof-ddec-2327,0.518933023,18.22217928,1.166920574,40.97607002,1.583209871,55.59394529,2.094267338,73.53957674,2.395561207,84.11942161,2.769650135,97.25544343,3.095870447,108.710573,3.279469355,115.1575942,3.493916756,122.6878511,3.758909232,131.9929834,18.88227,17.18314,1.228640633,43.14335159,1.928949873,67.73450298,2.326996182,81.71178108,2.591988658,91.01691333,1.56665,3.1,5.0,0,0,0.3
