Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
JUQCEF,2015,1.792,0.60045,809,0.341,8.26,11.97,1.44915254237288,1D
JUQPAM,1999,1.344,0.097463,4.41,0.054,1.04,4.17,4.00961538461538,2D
JUQPIW,2015,1.525,0.221013,19.19,0.111,1.84,4.67,2.53804347826087,1D
JUQSIZ,2015,1.517,0.22104,20.53,0.109,1.82,4.61,2.53296703296703,1D
JURKIS,2015,1.159,0.229525,193.53,0.157,3.25,5.54,1.70461538461538,1D
JURYOM,2015,1.243,0.310722,356.18,0.2,4,5.19,1.2975,2D
JUSBUW,2015,1.32,0.260732,154.54,0.127,1.54,5.02,3.25974025974026,3D
JUSKIT,2015,1.401,0.217564,291.93,0.126,4.69,5.2,1.10874200426439,1D
JUSPAQ,2015,1.961,0.287824,11.35,0.148,3.09,4.24,1.37216828478964,1D
JUSVIE,2015,1.988,0.099966,9.54,0.042,1.08,4.33,4.00925925925926,3D
JUVROJ,2015,1.356,0.487054,288.64,0.291,3.42,4.83,1.41228070175439,2D
JUVZIL,2015,1.119,0.328885,283.71,0.25,3.42,5.16,1.50877192982456,1D
JUXZOT,2015,0.965,0.61258,57.56,0.545,3.11,4.26,1.36977491961415,2D
JUYBAI,2015,1.868,0.144056,17.55,0.042,1.9,4.38,2.30526315789474,3D
JUZJAR,2015,1.39,0.293621,37.31,0.152,2.47,4.42,1.78947368421053,1D
JUZXAD01,2004,1.607,0.235306,14.36,0.109,3.66,4.23,1.15573770491803,1D
KABTUE,2011,1.59,0.13809,4.24,0.056,1.29,4.23,3.27906976744186,3D
KABVIU,2011,1.065,0.513615,872.01,0.401,3.97,7.93,1.99748110831234,2D
KABXIW,2011,1.507,0.220324,0.14,0.112,1.01,4.05,4.00990099009901,3D
KACJAB,2011,0.934,0.648473,1986.99,0.616,6.4,7.25,1.1328125,1D
KACYIZ,2016,1.459,0.201136,82.21,0.097,1.13,4.52,4,2D
KACZOG,2016,1.335,0.334058,379.8,0.182,4.78,5.41,1.13179916317992,1D
KADBEZ,2016,1.496,0.127658,4.99,0.059,1.06,4.25,4.00943396226415,3D
KADFOM,2011,1.629,0.188173,9.27,0.078,1.31,4.29,3.27480916030534,3D
KADPAJ,2016,1.969,0.269313,46.18,0.095,2.65,4.74,1.78867924528302,3D
KAFJUZ,2016,1.703,0.308355,156.71,0.172,2.14,4.95,2.31308411214953,2D
KAFLAF,2003,1.24,0.329588,272.84,0.211,3.32,4.7,1.41566265060241,1D
KAFLEJ,2003,1.312,0.285638,121.2,0.163,2.67,4.55,1.70411985018727,1D
KAFNUD,2016,0.566,0.705756,3576.06,1.172,4.91,6.06,1.23421588594705,2D
KAGGOP,2003,1.231,0.37652,346.47,0.231,3.86,5.73,1.48445595854922,1D
KAGJOS,2003,0.974,0.4585,1062.94,0.386,6.4,9.35,1.4609375,3D
KAHHIL,2003,1.167,0.453884,757.73,0.324,6.45,8.85,1.37209302325581,1D
KAHJAF,2003,1.376,0.347052,30.16,0.204,3.4,4.31,1.26764705882353,1D
KAHYID,2011,1.277,0.465216,714.54,0.377,3.75,8.67,2.312,1D
KAHYOJ,2011,1.284,0.473735,705.87,0.38,3.79,8.58,2.26385224274406,1D
KAHYUP,2011,1.308,0.455635,686.31,0.359,2.8,8.8,3.14285714285714,1D
KAJGAF,2011,1.232,0.275004,95.61,0.181,3.75,4.74,1.264,1D
KAJZIH,2016,1.739,0.382288,435.98,0.179,6.42,8.17,1.27258566978193,1D
KAKCAD,2016,0.901,0.582278,1459.94,0.542,4.57,8.87,1.94091903719912,2D
KAKCEH,2016,1.063,0.474419,963.23,0.376,7.07,8.25,1.16690240452617,1D
KAKGAF,2005,2.252,0.289519,187.53,0.109,2.75,5.88,2.13818181818182,2D
KAKGEJ,2005,1.879,0.431885,506.4,0.214,4.04,5.81,1.43811881188119,1D
KAKGIN,2005,1.955,0.404685,400.22,0.189,4.01,5.66,1.41147132169576,1D
KAKSAT01,2016,0.915,0.622839,2183.17,0.607,5.29,6.87,1.29867674858223,1D
KAKSAT02,2016,0.906,0.626594,2220.56,0.617,5.29,6.96,1.31568998109641,1D
KAKSAT04,2016,0.902,0.628879,2241.86,0.625,5.35,7.03,1.31401869158879,1D
KAKSAT,2016,0.911,0.626299,2191.92,0.616,5.33,6.91,1.29643527204503,1D
KAKTIC01,2016,0.853,0.622201,2349.7,0.646,5.21,6.59,1.26487523992322,1D
KAKTIC02,2016,0.858,0.620567,2321.86,0.639,5.21,6.51,1.24952015355086,1D
KAKTIC03,2016,0.863,0.61888,2306.21,0.627,5.22,6.45,1.23563218390805,1D
KAKTIC04,2016,0.866,0.61943,2296.64,0.625,5.2,6.42,1.23461538461538,1D
KAKTIC,2016,0.848,0.625376,2376.93,0.652,5.21,6.67,1.28023032629559,1D
KALFIO,2012,0.948,0.565709,860.09,0.465,4.18,6.01,1.4377990430622,1D
KALFOU,2012,0.942,0.58967,933.41,0.493,4.23,6.29,1.48699763593381,1D
KALGAH,2012,0.937,0.590514,959.13,0.498,4.25,6.11,1.43764705882353,1D
KALGEL,2012,0.93,0.575854,957.3,0.495,4.29,6.27,1.46153846153846,1D
KALGIP,2012,1.181,0.520359,506.64,0.441,3.81,5.08,1.33333333333333,1D
KALQIA,2017,1.81,0.112733,0.03,0.059,1.23,4.01,3.26016260162602,1D
KALWIG,2017,1.613,0.112762,23.43,0.05,1.53,4.33,2.83006535947712,1D
KALWOM,2017,0.993,0.60567,1822.96,0.561,5.53,7.37,1.33273056057866,2D
KALXAZ,2017,2.181,0.326094,213.31,0.135,3.33,5.03,1.51051051051051,1D
KALZUU,2012,1.021,0.376564,433.88,0.323,3.22,4.87,1.51242236024845,2D
KAMGEK,1990,1.714,0.081067,3.32,0.03,1.48,4.19,2.83108108108108,1D
KAPDOV,2005,0.988,0.389358,167.59,0.334,2.34,4.42,1.88888888888889,2D
KAPFEO,2012,1.354,0.183455,3.51,0.095,1.62,4.09,2.52469135802469,1D
KAPFOX,2005,1.482,0.080302,18.7,0.033,0.86,4.87,5.66279069767442,NON-POROUS
KAPFUD,2005,1.513,0.079549,16.88,0.031,0.85,4.81,5.65882352941176,NON-POROUS
KAPGOZ,2012,3.427,0.285321,135.66,0.093,2.99,5.63,1.88294314381271,2D
KAPHOB,2017,1.111,0.351167,130.08,0.274,2.82,4.81,1.70567375886525,1D
KAPHUH,2017,1.095,0.339514,98.28,0.27,2.36,4.72,2,1D
KAPMIA,2017,1.896,0.318499,51.47,0.12,0.77,4.38,5.68831168831169,NON-POROUS
KAPMUK,2005,1.312,0.24827,5.04,0.143,1.78,4.11,2.30898876404494,1D
KAPMUM,2017,1.162,0.646404,1547.11,0.52,7.13,8.8,1.23422159887798,1D
KAPROK,2012,1.53,0.526543,736.11,0.328,4.57,5.64,1.23413566739606,1D
KAPSIF,2012,2.047,0.202988,88.56,0.078,2,5.06,2.53,1D
KAPVOP01,2017,1.311,0.107311,4.51,0.054,1.45,4.11,2.83448275862069,2D
KAPVOP,2017,1.311,0.107436,4.51,0.053,1.45,4.09,2.82068965517241,2D
KAPYIL01,2014,1.189,0.356798,661.19,0.231,5.72,6.34,1.10839160839161,1D
KAPYIL,2012,1.168,0.357312,675.32,0.239,5.8,6.43,1.10862068965517,1D
KAQSEA,2000,1.433,0.126193,11.17,0.052,1.12,4.5,4.01785714285714,3D
KAQZEJ,2012,0.818,0.543333,707.7,0.579,3.08,4.83,1.56818181818182,2D
KARGER01,2016,1.086,0.485766,16.17,0.437,3.53,4.25,1.20396600566572,1D
KARGER,2012,1.1,0.475995,8.34,0.429,3.4,4.2,1.23529411764706,2D
KARJAQ,2012,1.833,0.169166,57.17,0.081,1.91,4.82,2.52356020942408,1D
KARJIZ,2017,1.333,0.226707,20.6,0.13,2.52,4.29,1.70238095238095,1D
KARVOP,2005,1.107,0.207871,172.25,0.115,2.27,5.75,2.53303964757709,1D
KARXIM,2012,0.841,0.515499,546.08,0.493,2.8,5,1.78571428571429,3D
KASGIX,2017,1.428,0.1257,9.26,0.064,1.32,4.3,3.25757575757576,2D
KASSAZ,2005,0.88,0.577116,1702.94,0.612,7.44,8.41,1.13037634408602,1D
KATDAM,2012,1.405,0.149663,167.03,0.074,5.5,5.83,1.06,1D
KATLEZ,2017,0.301,0.870693,4908.11,2.777,15.08,16.85,1.11737400530504,1D
KATMAW,2017,3.318,0.043732,1.45,0.011,1.66,4.2,2.53012048192771,1D
KATSEE,2006,1.575,0.204025,6.73,0.089,2.33,4.17,1.78969957081545,1D
KATTUV,2006,1.337,0.172113,58.33,0.112,2.4,4.52,1.88333333333333,1D
KATVEH,2006,1.002,0.512927,946.21,0.418,3.97,7.7,1.93954659949622,1D
KATWIM,2006,1.678,0.120219,54.29,0.052,2.72,5.14,1.88970588235294,1D
KAVDAN,2006,1.017,0.359265,597.11,0.277,2.65,8.67,3.27169811320755,3D
KAVDER,2006,1.037,0.35752,572.62,0.268,2.67,8.73,3.26966292134831,1D
KAVDIV,2006,1.014,0.360561,597.57,0.282,2.71,8.86,3.26937269372694,3D
KAVGOE,2006,1.508,0.194666,4.88,0.097,1.93,4.13,2.13989637305699,1D
KAVKIC,2006,2.768,0.098217,0.57,0.019,2.22,4.19,1.88738738738739,1D
KAVLAV01,2006,1.239,0.27334,57.16,0.16,1.99,4.61,2.31658291457286,2D
KAVLAV,2006,1.222,0.271477,80.65,0.164,2.03,4.69,2.31034482758621,2D
KAVLEZ,2006,1.292,0.191111,72.86,0.102,1.52,4.98,3.27631578947368,3D
KAVTAE,2012,1.13,0.305686,271.64,0.2,2.86,5.11,1.78671328671329,1D
KAWFIX,1990,0.824,0.422146,1427.73,0.516,5.65,6.21,1.09911504424779,1D
KAWGOG,2012,0.955,0.604454,1553.8,0.576,8.11,10.2,1.2577065351418,1D
KAXJOL,2017,1.218,0.426632,326.82,0.263,2.81,5.02,1.7864768683274,1D
KAXJUR,2017,1.339,0.341676,3.26,0.174,1.66,4.21,2.53614457831325,1D
KAXKOK,2006,0.919,0.492447,1782.33,0.501,6.44,6.95,1.07919254658385,1D
KAXLAY,2012,0.799,0.640769,2069.05,0.777,5.58,7.89,1.41397849462366,2D
KAXQOR01,2013,1.567,0.247807,68.7,0.1,3.57,4.63,1.296918767507,1D
KAXQOR,2012,1.553,0.224545,16.52,0.09,3.62,4.36,1.20441988950276,1D
KAXTUA,2012,1.745,0.244332,176.22,0.108,1.18,6.67,5.65254237288136,3D
KAXZUG,2012,1.607,0.091827,3.26,0.041,2.24,4.22,1.88392857142857,1D
KAYJUR,2012,0.759,0.542095,872.6,0.597,3.62,6.04,1.66850828729282,1D
KAYJUS,2017,1.294,0.331184,73.09,0.188,2.96,4.84,1.63513513513514,2D
KAYKAZ,2017,1.381,0.202808,0.8,0.098,1.8,4.15,2.30555555555556,1D
KAYNOO,2006,1.48,0.216953,1.14,0.089,1.93,4.13,2.13989637305699,1D
KAYSEK,2012,0.713,0.726289,2329.72,0.933,5.63,6.3,1.1190053285968,2D
KAYZIV,2012,1.365,0.185194,23.9,0.084,1.13,4.52,4,3D
KAYZOB,2012,1.276,0.300654,3.31,0.161,1.63,4.13,2.53374233128834,1D
KAZNIJ,2006,0.634,0.646904,2070.9,0.959,9.32,13.24,1.4206008583691,2D
KAZPIL,2006,1.039,0.33341,418.76,0.243,2.4,5.79,2.4125,1D
KEBBOK,2012,1.568,0.204819,14.21,0.111,1.32,4.32,3.27272727272727,2D
KEBFAA,2012,1.526,0.350867,230.45,0.189,3.75,4.74,1.264,1D
KEBFII,2012,1.56,0.347526,215.65,0.181,3.74,4.73,1.26470588235294,1D
KEBFUU,2012,1.507,0.345997,221.74,0.188,3.71,4.7,1.26684636118598,1D
KEBQIT,2012,1.074,0.429517,787.73,0.34,3.57,5.05,1.41456582633053,2D
KEBRAK,1990,2.218,0.123559,25.18,0.042,1.74,4.92,2.82758620689655,3D
KEBREO,1990,1.69,0.229365,76.58,0.108,1.82,4.61,2.53296703296703,1D
KEBZEX,2006,1.665,0.180169,27.29,0.084,2.43,4.34,1.78600823045267,1D
KECSAP,2017,0.995,0.383992,380.94,0.34,3.39,5.54,1.63421828908555,1D
KECSET,2017,1.007,0.383982,365.87,0.332,3.42,5.58,1.63157894736842,1D
KECXUO,2017,0.72,0.614159,2132.75,0.801,5.37,8.67,1.6145251396648,1D
KEDHIN,2017,0.95,0.512665,1211.61,0.474,5.37,7.26,1.35195530726257,1D
KEDHOT,2017,0.936,0.513167,1238.05,0.482,5.48,7.3,1.33211678832117,1D
KEDNEO,2012,0.9,0.552056,497.54,0.521,3.44,5.73,1.6656976744186,1D
KEDNIS,2012,1.177,0.341583,369.57,0.223,1.25,4.99,3.992,3D
KEDNOY,2012,1.212,0.435946,128.71,0.261,3.27,4.78,1.46177370030581,3D
KEFWEZ,2012,1.064,0.569506,1132.72,0.484,4.43,5.61,1.26636568848758,1D
KEGGUB,2017,1.345,0.37799,143.35,0.274,2.65,4.74,1.78867924528302,1D
KEGKIS,2012,1.469,0.188794,54.22,0.088,1.44,4.7,3.26388888888889,2D
KEGQUI,2000,0.74,0.665254,2702.01,0.805,5.68,7.68,1.35211267605634,1D
KEGWOL,2017,1.139,0.562371,1352.91,0.468,6.93,9.51,1.37229437229437,1D
KEHDEI,2012,1.197,0.274117,109.56,0.153,1.72,4.86,2.82558139534884,1D
KEHFUA,2012,1.186,0.333083,23.52,0.183,2.3,4.59,1.99565217391304,1D
KEHGEK,2006,1.262,0.272197,223.05,0.181,3.68,4.65,1.26358695652174,1D
KEHGIO,2006,1.231,0.324902,628.04,0.226,4.37,5.27,1.20594965675057,1D
KEHVUR,2017,1.383,0.150576,3.48,0.08,1.22,4,3.27868852459016,2D
KEJRIC,2013,0.618,0.783928,3852,1.189,7.19,7.83,1.08901251738526,2D
KEKTIG,2017,1.679,0.670875,1256.69,0.413,6.44,7.86,1.22049689440994,1D
KELCAI,2017,1.911,0.300967,89.49,0.129,3.09,5.04,1.63106796116505,1D
KELFEP,2017,1.758,0.233294,143.85,0.108,1.74,6.22,3.57471264367816,1D
KELFIT,2017,1.79,0.228267,115.02,0.102,1.57,6.28,4,1D
KELFOZ,2017,1.773,0.237804,150.94,0.109,1.8,6.42,3.56666666666667,1D
KELFUF,2017,1.848,0.373818,388.01,0.189,4.09,5.97,1.45965770171149,1D
KEMNAT,2013,1.198,0.220046,81.21,0.128,1.13,4.51,3.99115044247788,1D
KEMNIC,2017,0.987,0.425079,760.65,0.406,3.2,6.39,1.996875,3D
KEMYIM,2013,0.679,0.655799,1804.95,0.839,3.96,6.6,1.66666666666667,1D
KENJUK,2013,1.554,0.403211,179.12,0.2,2.44,5.23,2.14344262295082,2D
KENROL,2006,1.764,0.06337,1.91,0.025,1.02,4.09,4.00980392156863,2D
KENTEF03,2017,1.389,0.329124,100.88,0.202,3.63,4.98,1.37190082644628,3D
KENVOR01,2017,1.378,0.329816,99.75,0.204,3.72,5.11,1.37365591397849,1D
KENVOR02,2017,1.404,0.318859,77.66,0.193,3.64,4.99,1.37087912087912,1D
KENVOR,2017,1.403,0.318724,75.79,0.193,3.67,5.03,1.37057220708447,1D
KENZEK,2013,1.49,0.399512,541.38,0.219,4.84,5.17,1.06818181818182,1D
KEQDER,2013,0.569,0.789089,3835.01,1.281,6.01,12.96,2.15640599001664,2D
KEQDOB,2013,0.914,0.48511,743.01,0.474,16.89,17.06,1.01006512729426,1D
KEQHOG,2017,1.523,0.204086,56.75,0.102,2.79,4.75,1.70250896057348,2D
KEQMUQ,2013,0.901,0.595027,1739.88,0.601,4.87,6.89,1.41478439425051,1D
KEQNOL,2013,1.505,0.216405,325.95,0.126,6.13,6.8,1.10929853181077,1D
KERJUO,2013,0.707,0.585968,1986.55,0.761,7.68,9.9,1.2890625,1D
KERKAV,2013,0.714,0.585485,1953.2,0.746,7.71,9.88,1.28145265888457,1D
KERKEY,2006,1.269,0.345241,281.3,0.214,3.98,5.03,1.26381909547739,1D
KERKEZ,2013,0.568,0.644744,1886.83,1.077,12.17,13.57,1.11503697617091,1D
KERKID,2013,0.567,0.645336,1937.46,1.081,12.17,13.57,1.11503697617091,1D
KERMEA,2006,0.686,0.638795,1562.2,0.864,4.12,5.91,1.43446601941748,1D
KERNAX,2006,1.326,0.270337,278.81,0.227,3.57,5.6,1.56862745098039,2D
KERWOU,2006,1.449,0.20623,2.1,0.115,2.8,4.09,1.46071428571429,1D
KESGAS,2013,1.169,0.388326,576.72,0.254,4.9,5.44,1.11020408163265,1D
KESHUN,2013,1.624,0.291922,335.83,0.143,5.43,5.96,1.097605893186,1D
KESMEC,2013,1.403,0.178717,0.83,0.098,3.39,4.09,1.20648967551622,1D
KESROQ,2007,0.888,0.611811,1916.11,0.615,6.21,7.18,1.15619967793881,1D
KESSIL,2007,1.485,0.356568,242.48,0.171,1.91,4.84,2.53403141361257,1D
KESYAK,2013,1.388,0.254673,42.34,0.136,3.34,4.45,1.33233532934132,1D
KETDOE,2013,1.381,0.250476,91.39,0.121,1.18,4.74,4.01694915254237,3D
KETDUK,2013,1.366,0.332883,187.06,0.175,1.28,5.12,4,3D
KETGEX,2013,0.753,0.581087,1270.51,0.716,4.13,5.36,1.29782082324455,2D
KETNON,2007,1.27,0.303193,134.87,0.181,2.91,4.97,1.70790378006873,1D
KETNUT01,2013,1.463,0.33771,338.35,0.249,2.92,5.23,1.79109589041096,1D
KETNUT,2007,1.481,0.341916,344.76,0.246,3.15,5.14,1.63174603174603,1D
KETPEG,2013,0.804,0.528558,1507.24,0.682,3.91,6.83,1.74680306905371,3D
KETPIJ,2007,1.621,0.295863,215.72,0.14,1.34,6.17,4.6044776119403,1D
KETQIM,2018,2.217,0.2839,10.56,0.1,3,4.38,1.46,1D
KETQOS,2018,1.201,0.413396,27.69,0.259,3.03,4.43,1.46204620462046,1D
KETYEQ01,2018,0.706,0.610792,1608.5,0.834,4.07,5.66,1.39066339066339,1D
KETYEQ,2018,0.715,0.631422,2219.38,0.84,4.56,5.69,1.24780701754386,1D
KETYOZ,2013,1.567,0.123739,21.31,0.055,1.14,4.54,3.98245614035088,3D
KEVCEW,2018,1.319,0.147286,0.31,0.058,2.36,4.03,1.70762711864407,1D
KEVKOO,2018,1.276,0.182641,166.46,0.107,1.35,5.4,4,2D
KEVLAA,2013,1.589,0.326105,241.09,0.167,4,4.82,1.205,1D
KEVLEE,2013,1.287,0.307852,1.57,0.19,2.05,4.1,2,3D
KEVPOR,2007,1.083,0.451956,378.9,0.348,3.54,5,1.41242937853107,1D
KEVZOB,2007,1.616,0.50991,878.19,0.318,4.78,6.65,1.39121338912134,1D
KEVZUH,2007,1.501,0.561639,1349.69,0.39,5.14,7.15,1.39105058365759,2D
KEWFEA,2018,1.679,0.159874,24.76,0.079,2.05,4.75,2.31707317073171,1D
KEWJAZ,2013,1.282,0.050219,0.49,0.027,1.44,4.07,2.82638888888889,3D
KEWMUW,2013,1.087,0.390475,372.22,0.268,2.03,5.74,2.82758620689655,1D
KEWNEH,2013,0.912,0.429751,342.76,0.348,2.88,5.77,2.00347222222222,2D
KEWNUX,2013,3.806,0.104308,37.28,0.025,1.03,5.83,5.66019417475728,3D
KEWZOD,2013,0.841,0.656228,1954.38,0.655,4.39,8.06,1.83599088838269,2D
KEXDIB,2007,1.465,0.422114,593.68,0.258,4.94,6.03,1.22064777327935,1D
KEXDOH,2007,1.564,0.383108,473.78,0.215,3.66,7.31,1.99726775956284,1D
KEXDUN,2007,1.59,0.313881,60.06,0.175,3.58,4.31,1.20391061452514,1D
KEXFAU,1991,0.912,0.49645,131.66,0.442,3.46,4.27,1.23410404624277,1D
KEXFAV,2007,1.888,0.260569,71.31,0.117,3.22,4.56,1.41614906832298,1D
KEXNUZ,2018,0.714,0.576227,2050.11,0.736,7.37,8.74,1.18588873812754,1D
KEXYUK,2018,1.02,0.31638,232.23,0.253,3.96,5.6,1.41414141414141,1D
KEYCUP,2018,1.368,0.203779,2.29,0.114,2.89,4.08,1.41176470588235,1D
KEYFAX,2013,1.11,0.321929,65.93,0.228,2.77,4.34,1.56678700361011,1D
KEYFIF01,2013,1.641,0.156926,100.81,0.075,4.49,4.98,1.10913140311804,1D
KEYFIF,2013,1.631,0.161334,108.86,0.079,4.52,5.01,1.10840707964602,1D
KEYGIG,2013,0.682,0.710766,2478.98,0.918,5.85,7.7,1.31623931623932,1D
KEYJII,2007,2.021,0.378566,200.43,0.223,3.56,5.39,1.51404494382022,2D
KEYMUY,2013,1.284,0.431393,411.87,0.293,3.99,5.73,1.43609022556391,1D
KEYYAP,2007,2.645,0.089577,3.9,0.029,1.15,4.58,3.98260869565217,3D
KEYYIX,2007,0.701,0.566548,1499.37,0.75,10.93,12.21,1.11710887465691,1D
KEZLEJ,2018,1.153,0.351477,293.99,0.224,2.8,5.6,2,1D
KEZQAI,2007,1.343,0.252454,70.96,0.132,2.89,4.54,1.57093425605536,1D
KEZQEM,2007,0.985,0.500384,800.88,0.509,4.21,5.2,1.23515439429929,1D
KEZQIQ,2007,1.026,0.499635,709.83,0.482,4.05,5.12,1.2641975308642,1D
KEZQOW,2007,1.037,0.49854,675.49,0.476,3.95,5.12,1.29620253164557,1D
KEZQUC,2007,1.028,0.504345,731.4,0.489,4.26,5.26,1.23474178403756,1D
KEZRAJ,2007,1.044,0.503922,706.55,0.475,4.07,5.14,1.26289926289926,1D
KEZVER,2007,1.272,0.36595,138.88,0.245,3.17,4.98,1.57097791798107,1D
KEZXEU,2013,1.095,0.17615,38.84,0.105,1.38,4.52,3.27536231884058,2D
KEZZOG,2013,1.309,0.260233,163.47,0.142,1.46,4.77,3.26712328767123,1D
KIBDAC,2013,0.913,0.569263,1476.5,0.595,8.41,9.72,1.15576694411415,1D
KIBDEG,2013,1.175,0.415069,755.38,0.32,5.96,9.45,1.58557046979866,1D
KIBFIL,2007,0.992,0.322415,202.12,0.232,4.04,5.24,1.2970297029703,1D
KIBFOR,2007,1.382,0.174791,59.29,0.088,2.95,5.03,1.70508474576271,1D
KIBWUQ,2018,1.502,0.255588,67.62,0.103,2.43,4.59,1.88888888888889,2D
KIBXID,2007,1.444,0.229729,18.14,0.104,1.07,4.26,3.98130841121495,3D
KIBXUP,2007,1.055,0.479949,236.4,0.368,3.22,4.87,1.51242236024845,1D
KIBYAW,2007,0.989,0.569589,1033.04,0.473,4.2,5.18,1.23333333333333,1D
KICMUF,2007,1.107,0.448171,505.16,0.34,3.51,4.96,1.41310541310541,1D
KICNUI,2018,1.3,0.349908,93.91,0.199,3.74,4.51,1.20588235294118,1D
KICWAV,2007,1.498,0.228026,2.11,0.118,1.77,4.08,2.30508474576271,1D
KICYEB,2007,1.219,0.394754,674.16,0.302,3.26,6.72,2.06134969325153,1D
KIDCEH,2013,1.912,0.208589,0.62,0.108,2.58,4.04,1.56589147286822,1D
KIDCIL,2013,0.853,0.344581,80.49,0.369,2.27,4.29,1.88986784140969,2D
KIDGOT,1991,0.773,0.619409,1906.6,0.728,4.52,7.24,1.60176991150443,1D
KIDPOD,2007,0.746,0.73968,3550.45,0.901,5.35,6.06,1.13271028037383,1D
KIDQIY,2007,0.866,0.582674,1232.56,0.598,4.27,6.69,1.56674473067916,1D
KIDVID,2007,0.812,0.607965,1752.8,0.677,4.48,5.97,1.33258928571429,1D
KIDXUR,2007,1.428,0.315075,0.27,0.186,2.17,4.1,1.88940092165899,3D
KIDYOM01,2010,1.236,0.383024,200.99,0.226,3.73,4.6,1.23324396782842,1D
KIDYUS,2007,0.469,0.807436,5073.23,1.64,5.83,8.37,1.43567753001715,1D
KIDZED,2007,1.193,0.408182,376.26,0.258,4.14,4.89,1.18115942028985,1D
KIDZIH01,2010,1.249,0.37425,160.53,0.216,3.62,4.47,1.23480662983425,1D
KIDZIH,2007,1.249,0.373385,156.76,0.218,3.68,4.54,1.23369565217391,1D
KIFNAP,2007,1.037,0.537145,731.8,0.472,4.12,5.92,1.4368932038835,1D
KIFNIX,2007,2.201,0.130343,0.37,0.042,1.26,4.1,3.25396825396825,1D
KIFSOI,2007,1.253,0.134703,47.46,0.072,1.19,4.76,4,3D
KIFWUT,2013,1.467,0.13413,43.82,0.069,3.33,4.87,1.46246246246246,1D
KIFYAB,2013,1.277,0.244862,81.7,0.123,2.07,4.78,2.30917874396135,1D
KIGCEK,2013,1.203,0.325543,571.76,0.233,7.3,7.6,1.04109589041096,1D
KIHFAL,2018,1.108,0.395306,274.97,0.282,3.61,4.96,1.37396121883657,1D
KIHGOY,2007,1.735,0.090548,3.69,0.043,1.09,4.37,4.00917431192661,3D
KIHMAS,2018,0.629,0.733045,3507.54,1.198,6.87,8.92,1.29839883551674,2D
KIHQIB,2000,1.304,0.211194,38.6,0.096,1.84,4.24,2.30434782608696,1D
KIHTED,2018,1.407,0.391617,270.88,0.213,3.99,4.92,1.23308270676692,1D
KIHYIJ,1991,1.419,0.17574,2.13,0.105,1.64,4.14,2.52439024390244,2D
KIJPAX,2018,1.971,0.468378,113.37,0.164,2.74,5.17,1.88686131386861,1D
KIJPUQ,2013,1.135,0.43411,62.06,0.308,2.73,4.45,1.63003663003663,2D
KIJRIG,2013,1.432,0.197379,113.5,0.099,4.03,4.56,1.13151364764268,1D
KIJXEI,2013,0.832,0.635408,1972.13,0.684,7.09,9.2,1.29760225669958,1D
KIKFER,2013,1.367,0.211306,7.4,0.127,1.07,4.28,4,1D
KIKFES,2018,1.172,0.378183,324.93,0.234,1.91,6.25,3.27225130890052,2D
KIKGAO,2013,0.637,0.621611,2194.61,0.882,7.26,8.91,1.22727272727273,2D
KIKRAA,2018,0.611,0.679046,2844.81,1.022,6.64,8.45,1.27259036144578,2D
KIKYEL01,2018,1.279,0.369924,148.27,0.238,2.95,4.82,1.63389830508475,1D
KIKYEL,2018,1.364,0.286259,29.05,0.153,1.6,4.54,2.8375,1D
KILFUI,2013,1.298,0.258465,2.95,0.16,3.03,4.16,1.37293729372937,1D
KILGIX,2013,1.306,0.134741,9.41,0.064,2.27,4.28,1.88546255506608,1D
KILGUJ,2013,0.985,0.435668,812.24,0.37,3.81,9,2.36220472440945,1D
KILQEB,2000,0.956,0.425597,555.08,0.372,3.35,5.07,1.5134328358209,1D
KIMYOW,2013,1.247,0.260902,163.14,0.176,3.58,5.06,1.41340782122905,1D
KINDIW,2013,1.59,0.301848,2.49,0.132,3.08,4.1,1.33116883116883,3D
KINDOC,2013,1.205,0.454164,779.59,0.307,4.75,5.73,1.20631578947368,1D
KINFAQ,2013,1.411,0.52663,775.54,0.311,4.6,6.51,1.41521739130435,1D
KINFEU,2013,1.62,0.314204,333.38,0.152,3.97,6.63,1.67002518891688,1D
KINGUM,2018,1.407,0.473043,478.43,0.295,3.79,7.82,2.06332453825858,1D
KINKOJ,2013,0.766,0.602403,1892.74,0.713,7.78,9.72,1.24935732647815,1D
KINNUS,2013,0.75,0.709843,2284.13,0.896,6.92,7.6,1.09826589595376,1D
KINYOY,2018,1.31,0.242638,79.94,0.115,2.59,4.62,1.78378378378378,1D
KINYUD,2013,1.191,0.225394,0.69,0.133,2.89,4.08,1.41176470588235,1D
KINYUE,2018,1.299,0.261746,71.6,0.132,1.43,4.67,3.26573426573427,3D
KINZAK,2013,1.186,0.253201,6.84,0.152,2.95,4.17,1.4135593220339,1D
KINZAL,2018,1.36,0.265365,124.93,0.136,2.72,4.87,1.79044117647059,1D
KINZEO,2013,0.748,0.604851,2164.36,0.71,6.46,7.8,1.20743034055728,1D
KINZEP,2018,1.423,0.247892,23.78,0.115,1.11,4.44,4,3D
KIPHIC,2013,1.363,0.153413,0.74,0.079,2.07,4.14,2,1D
KIPJOK,2013,1.689,0.290896,360.57,0.155,4.93,6.76,1.37119675456389,1D
