Refcode,Year,Density (g/cm3),Helium void fraction (-),Surface area (m2/g,Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD,Porosity
AFENEE,2002,1.248,0.317209,2.57,0.176,2.77,4.04,1.45848375451264,1D
AFENUX,2018,1.572,0.258748,0.94,0.13,2.8,4.08,1.45714285714286,1D
AFIJUX,2018,1.024,0.463401,573.58,0.372,3.68,5.56,1.51086956521739,1D
AFIKAE,2018,1.009,0.49994,757.84,0.462,4.05,5.91,1.45925925925926,1D
AFIKEI,2018,1.025,0.493397,708.62,0.431,3.99,5.93,1.48621553884712,1D
AFIKIM,2018,1.062,0.475016,595.19,0.382,3.8,5.74,1.51052631578947,1D
AFILEH,2007,1.076,0.370843,647.87,0.293,4.89,5.53,1.13087934560327,1D
AFITEP,2009,1.068,0.476095,128.48,0.336,3.87,4.38,1.13178294573643,1D
AFIWAQ,2018,1.392,0.208213,154.48,0.119,4.21,5.61,1.33254156769596,1D
AFOFUX,2009,2.909,0.374407,157.53,0.152,3.44,4.59,1.3343023255814,1D
AFOGAE,2009,2.576,0.242206,54.81,0.118,3.48,5.08,1.45977011494253,1D
AFOXAX,2018,1.462,0.25177,159.18,0.126,3.17,5.98,1.88643533123028,1D
AFUJUG,2002,1.076,0.588005,1303.51,0.489,5.26,7.55,1.43536121673004,1D
AFUMIY,2009,1.466,0.293364,131.09,0.169,2.91,5.2,1.78694158075601,1D
AFUWEG,2018,1.03,0.519077,1034.73,0.441,4.62,5.84,1.26406926406926,1D
AGABUF,2002,1.288,0.548224,734.02,0.413,3.96,5.14,1.2979797979798,1D
AGADIW,2009,1.1,0.287651,112.34,0.219,3.35,4.6,1.37313432835821,1D
AGADOC,2009,1.059,0.346503,225.75,0.274,3.65,4.61,1.26301369863014,1D
AGADUI,2009,1.045,0.352611,313.35,0.291,3.74,4.85,1.29679144385027,1D
AGAFAQ,2009,1.035,0.358589,440.63,0.288,3.62,5.68,1.56906077348066,1D
AGAFEU,2009,0.996,0.382617,989.98,0.331,4.81,5.56,1.15592515592516,1D
AGAFIY,2009,0.968,0.398791,1074.99,0.349,4.28,5.28,1.23364485981308,1D
AGAMAZ,2018,1.284,0.14089,81.52,0.09,2.89,5.18,1.7923875432526,1D
AGAREG,2009,1.598,0.181105,2.45,0.083,1.3,4.23,3.25384615384615,2D
AGASOR01,2009,0.658,0.723629,2364.35,0.955,4.68,7.49,1.60042735042735,1D
AGASOR,2009,0.626,0.733337,3040.16,1.033,5.07,7.06,1.39250493096647,1D
AGASUX,2009,1.161,0.266596,32.52,0.19,3.24,4.32,1.33333333333333,1D
AGAWOU,2002,1.02,0.637889,1330.28,0.581,4.3,5.66,1.31627906976744,2D
AGAYAI,2002,0.643,0.746794,3252.71,1.058,7.44,9.59,1.28897849462366,1D
AGEDIC,2018,1.309,0.549617,716.62,0.332,5.19,5.54,1.06743737957611,1D
