Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
DOYWIZ,41659.456,29188.56,1.163,0.225132,233.56,0.151,4.15,5.01,1D
DOYXIA,32289.489,30595.008,1.573,0.285827,102.9,0.145,2.68,5.05,1D
DOZCUQ01,35970.142,28772.832,1.328,0.30624,54.32,0.178,3.1,4.53,2D
DTHHGN10,28293.116,49276.8,2.892,0.39935,21.27,0.162,2.39,4.27,2D
DUBFEL,28403.316,17011.536,0.995,0.548646,584.5,0.492,3.53,5.54,1D
DUBJUH,55261.259,36379.584,1.093,0.473103,697.76,0.341,5.78,7.13,1D
DUBKAO,54560.769,36356.544,1.106,0.465254,669,0.33,5.58,7.06,1D
DUBXAA,23885.531,25203.766,1.752,0.403523,338.44,0.215,4.41,5.2,1D
DUCGIS,62812.089,32235.408,0.852,0.70618,1425.81,0.825,12.82,14.47,1D
DUCGUE01,63906.122,64325.808,1.671,0.372023,120,0.222,3.79,4.92,1D
DUCGUE,64827.718,64325.808,1.648,0.379237,155.29,0.229,3.77,5.02,2D
DUCHAL,66398.835,67517.006,1.689,0.394258,240.65,0.233,4,5.06,2D
DUCREZ,24965.309,24779.968,1.648,0.349394,183.41,0.184,3.17,5.41,1D
DUDCEK01,26608.304,20415.616,1.274,0.221604,5.49,0.144,3.02,4.15,1D
DUDLIY,19592.93,13466.544,1.141,0.360253,682.9,0.268,5.43,6.21,1D
DUDNEW,33153.294,27879.4,1.396,0.179609,34.07,0.09,3.4,4.31,1D
DUFFIU,34237.095,33994.4,1.649,0.275101,222.37,0.155,3.03,5.87,1D
DUFGOB,49042.562,52623.216,1.782,0.081983,12.89,0.036,3.18,4.36,1D
DUFKAS,47226.253,18171.992,0.639,0.705292,2291.29,1.056,8.21,14.98,2D
DUFZOU,25197.154,24920.08,1.642,0.210138,145.98,0.107,2.6,6.58,1D
DUFZUA,25226.946,25089.232,1.651,0.215358,151.57,0.106,2.65,6.71,1D
DUGBAJ,24949.905,25142.842,1.673,0.20825,140.11,0.102,2.69,6.8,1D
DUGBAK,45426.925,38482.416,1.407,0.171668,110.2,0.084,3.38,5.11,1D
DUGDOA01,37896.956,38717.696,1.697,0.099005,6.32,0.03,1.39,4.52,1D
DUGDOA,38313.204,38717.696,1.678,0.103779,8.34,0.032,1.4,4.57,3D
DUGDUG,37896.861,39163.219,1.716,0.102835,7.19,0.031,1.38,4.52,2D
DUGLAU,42675.659,39678.746,1.544,0.34554,169.21,0.165,3.55,4.73,1D
DUGNIE,21899.057,15910.728,1.206,0.207904,32.42,0.098,2.93,4.43,1D
DUHFET,54182.417,45966.6,1.409,0.176675,20.64,0.084,1.73,4.37,1D
DUHFOC,38872.128,34749.144,1.484,0.230686,34.4,0.115,2.43,4.34,1D
DUHPIH,28830.068,17152.224,0.988,0.491533,945.05,0.396,5.09,7.09,1D
DUHPUT,29259.936,17152.224,0.973,0.48197,925.07,0.399,5.31,6.63,1D
DUHQII01,57716.146,17152.224,0.493,0.789656,5388.18,1.471,5.74,7.65,1D
DUHQII,62978.722,17152.224,0.452,0.797448,6107.6,1.651,6.14,8.18,1D
DUJPUV,47488.078,20401.956,0.713,0.65183,1686.15,0.812,4.67,5.9,2D
DUJQEG,37846.665,30723.894,1.348,0.163735,13.29,0.084,2.01,4.29,1D
DUJQIK,45986.917,26953.956,0.973,0.444374,890.81,0.375,4.9,5.72,1D
DUJRAD,31362.066,30336,1.606,0.24614,17.6,0.126,2.88,4.35,1D
DUKMEC,29734.849,16577.217,0.926,0.564885,1786.9,0.591,4.76,7.19,1D
DUKPIJ,40302.312,32652,1.345,0.297323,0.4,0.193,2.68,4.05,1D
DUKPOP,40424.491,32826.982,1.348,0.297556,0.61,0.191,2.56,4.02,1D
DUKQAC01,26620.947,18999.518,1.185,0.484388,263.87,0.36,3.67,4.89,1D
DUKQAC02,26533.375,18999.518,1.189,0.484206,259.36,0.354,3.66,4.88,1D
DUKQAC,26618.566,18999.518,1.185,0.482659,255.8,0.356,3.64,4.86,1D
DUKWEN01,45878.657,37572.741,1.36,0.134144,71.59,0.082,1.32,5.26,2D
DUKXOY,24743.721,24810.144,1.665,0.293107,34.17,0.136,1.53,4.33,1D
DULCAQ,45304.012,33126.768,1.214,0.190088,1.73,0.099,2.09,4.17,1D
DULDIZ,39078.415,40776.144,1.733,0.283811,44.54,0.136,2.5,4.47,1D
DULDUL,29019.473,24358.048,1.394,0.225303,42.94,0.13,2.16,4.32,1D
DULKIG,39953.559,35647.296,1.482,0.104226,0.09,0.052,1.6,4.05,1D
DULQEH,47963.609,39765.78,1.377,0.177802,0.34,0.09,3.25,4.12,1D
DUMBAP,44935.144,25911.072,0.958,0.509533,585.38,0.435,3.29,5.17,1D
DUMFAU,58910.952,25694.856,0.724,0.610777,1681.71,0.736,5.13,6.57,1D
DUMFEY,23825.839,23090.816,1.609,0.354313,2.34,0.161,3.61,4.08,1D
DUMXEQ01,33898.631,36037.512,1.765,0.335453,55.39,0.153,3.69,4.56,1D
DUMXEQ,33830.353,36037.512,1.769,0.332658,55.3,0.152,3.67,4.53,1D
DUMXIU,32724.914,36037.512,1.829,0.27998,4.08,0.124,3.52,4.15,1D
DUMXUG,33801.214,36037.512,1.77,0.315931,42.3,0.145,3.71,4.47,1D
DUNXUH06,45489.71,33312.6,1.216,0.558448,296.74,0.382,3.61,4.81,1D
DUNXUH08,45984.907,33312.6,1.203,0.563533,336.26,0.391,3.69,4.92,1D
DUNXUH12,44741.554,33312.6,1.236,0.548239,235.15,0.369,3.58,4.78,1D
DUNXUH13,44901.302,33312.6,1.232,0.550478,242.95,0.371,3.61,4.82,1D
DUNXUH14,45132.622,33312.6,1.226,0.553146,262.03,0.376,3.6,4.8,1D
DUNXUH15,45728.667,33312.6,1.21,0.560647,316.75,0.388,3.66,4.88,1D
DUNXUH21,45984.907,33312.6,1.203,0.563918,342,0.395,3.69,4.92,1D
DUNXUH,45378.66,33312.6,1.219,0.557236,290.1,0.382,3.62,4.83,1D
DUPDID,35217.444,24544.022,1.157,0.385512,479.49,0.295,3.54,5.35,1D
DUPDUP,40451.14,28788.691,1.182,0.462152,49.64,0.332,3.04,4.3,1D
DUPFEB,41571.777,32387.278,1.294,0.420671,19.76,0.262,3.45,4.26,2D
DUPWOC,27404.465,18399.168,1.115,0.606872,1218.23,0.482,4.46,6.31,1D
DUPZIZ,35177.443,35941.014,1.697,0.118227,0.3,0.054,1.44,4.08,1D
DUQRUD,47333.464,38428.992,1.348,0.257625,238.23,0.154,3.43,5.38,2D
DUQWUJ,30322.63,21405.96,1.172,0.242548,12.59,0.134,1.3,4.26,1D
DUQYEU01,48494.463,51336,1.758,0.411216,213.91,0.242,3.82,4.51,2D
DUQYEU,48519.854,51336,1.757,0.423372,290.74,0.248,3.73,4.6,2D
DURVAO,28466.505,15708.432,0.916,0.641616,2139.08,0.73,7.64,8.6,1D
DURVOC,36320.652,19076.064,0.872,0.611521,2177.15,0.675,5.32,7.2,1D
DUTLAH,75006.583,60143.904,1.332,0.315136,242.61,0.172,2.88,6.39,1D
DUVXUP,46124.408,27399.936,0.986,0.447733,944.6,0.404,4.13,6.03,1D
DUWCUV,49304.848,43044.048,1.45,0.157573,13.34,0.067,1.88,4.34,1D
DUWRIY,25549.309,20090.784,1.306,0.337937,18.13,0.257,2.82,4.26,1D
DUWRUK,30344.394,26609.112,1.456,0.295489,17.8,0.182,3.09,4.37,1D
DUWSUK,44157.901,33511.856,1.26,0.557786,1237.89,0.415,6.99,7.75,1D
DUXKOX,33330.271,34561.344,1.722,0.197778,41.62,0.048,2.97,5.06,1D
DUXMEP,32370.904,26996.544,1.385,0.201933,4.36,0.121,2.73,4.13,1D
DUXSOF,23298.818,20141.568,1.436,0.176102,0.41,0.095,1.03,4.1,1D
DUXTIA,33330.733,28050.84,1.397,0.193275,56.16,0.108,1.33,4.34,2D
DUYCAC,36856.447,33942.312,1.529,0.166953,2.72,0.081,1.04,4.15,1D
DUYCOQ,43861.264,29909.312,1.132,0.474882,841.28,0.345,5.2,6.66,2D
DUYPAQ,30850.781,16400.16,0.883,0.602873,1090.82,0.576,4.15,5.53,1D
DUYREV,56644.04,125562.371,3.681,0.109533,1.24,0.025,1.95,4.18,1D
DUYROF,57603.058,125370.16,3.614,0.109999,0.23,0.028,1.92,4.11,1D
DUYVEA,35648.689,31004.096,1.444,0.143592,2.71,0.076,3.24,4.1,1D
DUYWAV,34749.384,29057.04,1.389,0.24088,59.55,0.137,2.81,4.8,1D
DUZPUL,26386.984,19865.408,1.25,0.3525,177.86,0.205,1.86,4.72,3D
DUZWOM,36636.457,33322.608,1.51,0.317408,177.43,0.202,2.94,5.02,1D
EBAHOF,174106.638,123383.232,1.177,0.238587,344.6,0.162,1.31,10.5,3D
EBAHUL,34455.032,24682.272,1.19,0.1963,128.48,0.129,1.92,5.42,1D
EBAMOL,81261.508,51462.4,1.052,0.579387,878.73,0.453,3.87,7.75,3D
EBANAX,28454.405,26109.252,1.524,0.147832,55.24,0.077,1.44,4.72,1D
EBAQUV,34705.871,15705.088,0.751,0.632981,2256.15,0.769,7.3,9.35,2D
EBASOR,29948.567,22122.288,1.227,0.401939,19.39,0.281,2.62,4.29,2D
EBASUX01,46296.015,32895.792,1.18,0.386923,12.36,0.29,2.6,4.24,3D
EBASUX,45870.524,32895.792,1.191,0.372474,6.8,0.279,2.58,4.22,3D
EBATIM,65863.378,50334.784,1.269,0.244572,5.66,0.13,2.25,4.23,1D
EBATOS,34528.962,30166.416,1.451,0.241438,180.75,0.124,1.01,5.7,1D
EBAVEJ,31308.219,23018.928,1.221,0.212639,100.09,0.142,1.93,4.87,1D
EBAWEM,42538.826,18479.04,0.721,0.632694,1059.53,0.791,3.41,5.95,1D
EBAWIQ,36674.316,26146.608,1.184,0.285776,60.84,0.139,2.67,4.78,1D
EBEKUT,26488.269,18570.395,1.164,0.345615,163.9,0.239,2.54,4.55,2D
EBEMEE,45806.605,44395.488,1.609,0.218229,12.78,0.098,3.2,4.39,1D
EBEMII,46490.888,44202.144,1.579,0.210398,12.07,0.095,3.03,4.29,1D
EBEMOO,46326.69,44395.488,1.591,0.227866,17.19,0.108,3.32,4.43,1D
EBENIK,39196.913,30880.022,1.308,0.193269,39.68,0.114,1.36,4.46,3D
EBEQEJ,61672.972,37996.896,1.023,0.415916,402.9,0.32,2.32,5.35,3D
EBEWOZ01,26764.966,26226,1.627,0.581401,717.69,0.287,6.36,6.86,1D
EBEWOZ,26740.747,26226,1.629,0.580539,698.17,0.287,6.36,6.86,1D
EBEXAM,28902.686,27378,1.573,0.479566,597.99,0.266,5.45,6.04,1D
EBEXEQ01,27047.194,29538,1.813,0.327249,20.68,0.137,3.23,4.3,1D
EBEXEQ,26922.156,29538,1.822,0.330181,18.41,0.136,3.31,4.3,1D
EBIBAV,35880.428,38502,1.782,0.395244,99.1,0.237,3.61,4.56,1D
EBIBEZ,35639.682,38764.472,1.806,0.401053,101.87,0.236,3.54,4.6,1D
EBIBIB,35954.336,27317.088,1.262,0.242841,129,0.142,1.84,5.2,2D
EBIBID,36635.965,37935,1.719,0.396595,120.06,0.249,3.59,4.66,1D
EBIBOJ,36149.906,38115.932,1.751,0.393884,101.13,0.242,3.56,4.63,1D
EBIDAW,44462.449,26840.166,1.002,0.535776,571.82,0.437,3.62,5.29,2D
EBIKIL,28283.506,31986.504,1.878,0.192656,43.58,0.102,2.78,4.53,2D
EBIKOR,28183.911,31986.504,1.885,0.190982,45.96,0.101,2.85,4.65,2D
EBIMEJ,30075.112,23657.568,1.306,0.43404,78.91,0.244,3.52,4.57,1D
EBIPAJ,32397.704,14989.68,0.768,0.643018,2151.29,0.737,5.28,7.58,2D
EBIPOX,44749.354,32816.664,1.218,0.411296,276.52,0.276,2.92,5.5,1D
EBIPUD,37009.32,25661.088,1.151,0.34463,404.95,0.228,4.1,5.06,1D
EBISEQ,43329.871,34591.608,1.326,0.27119,37.75,0.144,2.75,4.5,1D
EBISIT,35413.47,25985.604,1.218,0.341468,487.61,0.23,3.94,6.3,1D
EBISOA,35938.207,31644.096,1.462,0.174598,22.11,0.08,1.1,4.38,1D
EBITUF,41219.851,40780.819,1.643,0.14352,0.61,0.073,1.27,4.15,1D
EBIVES,28769.438,23364.192,1.349,0.316753,341.19,0.183,4.4,5.56,1D
EBIXAR,39008.581,32416.128,1.38,0.337658,378.75,0.18,4.71,6.11,1D
EBIXUK,52332.797,37407.744,1.187,0.25305,33.54,0.149,2.23,5.14,3D
EBIYEV,39068.815,26955.168,1.146,0.298904,0.14,0.182,2.78,4.05,1D
EBIYIZ,40705.427,29212.176,1.192,0.305039,3.61,0.186,2.82,4.12,1D
EBIZUN,72954.02,57751.128,1.314,0.2363,117.89,0.119,1.82,5.95,1D
EBOCOQ,31284.835,18595.392,0.987,0.486381,851.97,0.39,5.14,5.81,1D
EBOJIQ,40354.595,37976.112,1.563,0.126619,6.58,0.051,1.53,4.33,1D
EBOKOX,56747.483,37490.46,1.097,0.44673,523.32,0.303,4.39,4.87,1D
EBOMUE,26857.279,20054.208,1.24,0.117543,22.43,0.066,2.76,4.51,1D
EBOPAO,40858.043,23444.136,0.953,0.462087,1408.04,0.478,7.15,8.04,1D
EBUGAM,65635.286,101758.72,2.574,0.440997,467.35,0.189,4.36,7.28,3D
EBUKOD,61548.673,15235.656,0.411,0.801103,4838.65,1.834,7.73,12.49,3D
EBUROK,27210.885,25705.575,1.569,0.371385,4.29,0.235,3.39,4.09,1D
EBUXEG,27710.88,22392.461,1.342,0.268276,67.54,0.154,2.03,4.69,1D
EBUYIL,26781.507,18940.678,1.174,0.378598,294.83,0.24,3.6,5.09,2D
ECAHIB,74142.285,55808.64,1.25,0.269447,295.48,0.169,3.93,6.41,1D
ECAHOG,60631.766,41567.088,1.138,0.200881,33.3,0.137,1.98,4.57,1D
ECETAK,50444.578,42509.578,1.399,0.261705,29.14,0.151,2.42,4.32,2D
ECETEO,51617.923,37139.278,1.195,0.361144,70.42,0.273,2.85,4.48,1D
ECEVAL,29894.64,22697.352,1.261,0.140862,19.84,0.064,1.64,4.15,1D
ECIBIE,32646.678,39708.072,2.02,0.161935,90.43,0.064,1.16,4.63,3D
ECICUR,53889.481,30663.632,0.945,0.651427,1676.71,0.618,7.06,11.46,1D
ECITIT,40054.431,39734.707,1.647,0.199161,0.5,0.081,3.29,4.07,1D
ECIVAN,36497.459,31312.526,1.425,0.20358,3.34,0.093,2.56,4.18,1D
ECIVER,36511.366,31312.526,1.424,0.228459,19.71,0.11,2.66,4.35,1D
ECIVIV,40684.672,32320.526,1.319,0.276113,24.68,0.135,2.93,4.28,1D
ECIWIW,60373.28,16269.6,0.447,0.823508,3219.13,1.718,13.01,15.38,1D
ECIWOC,56293.382,47475.264,1.4,0.254965,143.28,0.123,4.2,4.85,1D
ECODEG,42159.643,35752.8,1.408,0.361922,153.1,0.206,2.24,5.17,1D
ECOFOT,34894.723,25197.824,1.199,0.158658,33.76,0.086,2.36,4.44,2D
ECOGEI,64152.194,22229.064,0.575,0.722089,3540.52,1.125,4.72,6.89,3D
ECOHEJ,27877.447,24555.6,1.463,0.35301,321.26,0.221,3.05,5.92,1D
ECONUI,30402.312,21422.272,1.17,0.354472,13.56,0.234,2.64,4.32,2D
ECOSEU,51816.03,28376.838,0.909,0.407519,748.75,0.35,3.74,5.76,1D
ECOWUO,51463.787,29367.744,0.948,0.45273,434.85,0.405,3.08,5.26,1D
ECOZED,35435.778,36135.511,1.693,0.385222,439.81,0.224,4.6,5.82,1D
ECUHIW,31528.34,12679.872,0.668,0.623916,2576.03,0.824,6.97,7.97,1D
ECULOF,50674.907,13580.288,0.445,0.788475,5989.7,1.843,8.83,10.47,1D
ECUZEJ,43990.732,17546.544,0.662,0.691936,2926.99,0.924,6.4,7.72,1D
EDABOC,28673.02,29297.858,1.697,0.301669,144.23,0.127,2.65,4.99,1D
EDAFUM,30135.578,32169.528,1.773,0.276953,126.57,0.158,3.06,4.81,1D
EDAGAT,28949.986,32169.528,1.845,0.249516,45.86,0.137,2.78,4.54,1D
EDAGEX,29775.893,32169.528,1.794,0.275109,111.89,0.154,3.03,4.75,1D
EDAHEX,37749.169,28813.984,1.267,0.389765,224.88,0.235,2.94,5.55,2D
EDAHIB,22661.237,17158.864,1.257,0.450208,239.07,0.274,3.42,4.84,1D
EDAJOJ,44406.065,32461.56,1.214,0.425192,48.7,0.286,3.56,4.4,1D
EDEDUN01,38184.355,10484.16,0.456,0.723479,5648.2,1.677,5.67,7,1D
EDEDUN,38943.213,10484.16,0.447,0.731087,5761.11,1.72,5.79,7.14,1D
EDEFAV,46541.732,17894.976,0.638,0.652524,3364.45,1.036,6.83,8.02,1D
EDEPAG,32215.856,34485.912,1.778,0.146232,0.05,0.061,1.23,4.03,3D
EDEVER,47407.501,31701.618,1.11,0.339284,156.08,0.209,3.48,5.27,3D
EDEXIV,25333.27,17233.68,1.13,0.309573,6.03,0.191,2.45,4.17,1D
EDIKIL,31490.294,25430.966,1.341,0.500124,304.97,0.378,3.77,4.89,2D
EDIMOT,40899.678,18859.536,0.766,0.658128,1905.58,0.797,9.63,10.03,1D
EDOGOT,45135.508,39465.806,1.452,0.175572,18.19,0.083,1.12,4.49,3D
EDOGUZ,42272.022,39465.806,1.55,0.160033,0.43,0.067,1.02,4.07,2D
EDOHAG,34315.036,23616.158,1.143,0.485515,215.07,0.389,3.49,4.41,1D
EDOTUN,33374.072,35122.528,1.748,0.141278,117.46,0.068,4.34,5.63,1D
EDOVIC,37807.138,29424.026,1.292,0.506395,845.9,0.378,4.33,5.34,1D
EDUDUE,46617.479,40757.76,1.452,0.175461,6.3,0.085,1.07,4.27,3D
EFADAR,30974.437,16682.184,0.894,0.574614,1869.55,0.596,6.31,7.36,1D
EFADEV,47542.877,29344.32,1.025,0.523844,685.7,0.4,4.04,4.99,1D
EFALIG,37245.282,15605.184,0.696,0.610768,2356.98,0.814,7.5,8.57,1D
EFANIJ,32956.787,25748.4,1.297,0.325277,119.02,0.18,2.27,4.85,2D
EFEBIB,25666.607,22886.568,1.481,0.308398,155.26,0.185,3.26,4.77,1D
EFEBOH,25234.014,22886.568,1.506,0.267865,10.69,0.149,2.62,4.28,1D
EFECAU,37949.603,41356.8,1.81,0.165314,26.13,0.068,1.12,4.47,3D
EFEGOM,33731.592,22737.12,1.119,0.501249,876.65,0.383,5.39,5.82,1D
EFIKAG,43392.682,32087.952,1.228,0.3251,294.66,0.203,3.7,5.7,1D
EFIKEK,43808.126,32087.952,1.216,0.335068,164.08,0.2,3.66,4.63,1D
EFIWAT,39153.412,24601.752,1.043,0.369321,370.46,0.265,3.05,6.29,1D
EFOBOQ01,41321.714,36367.056,1.461,0.129611,0.28,0.066,1.76,4.06,1D
EFOCOT,41109.292,20037.408,0.809,0.542226,1056.81,0.578,3.43,5.38,1D
EFODAG,30641.601,21334.416,1.156,0.265318,34.03,0.208,2.68,4.37,1D
EFOLAM,28804.244,30094.43,1.735,0.157879,15.09,0.082,2.68,4.38,1D
EFOLEQ,20978.421,20062.954,1.588,0.279104,40.04,0.151,4,5.19,1D
EFORIC,51269.642,53127.84,1.721,0.218622,17.33,0.097,3.63,4.29,1D
EFOWUT01,29498.186,25263.456,1.422,0.175695,45.65,0.09,3.21,4.4,1D
EFUHEU,50007.781,14851.392,0.493,0.816892,4375.65,1.554,8.04,9.92,1D
EFULUN01,43678.819,25951.752,0.987,0.448606,356.79,0.373,3.43,5.85,2D
EFULUN02,43443.021,25951.752,0.992,0.448518,333.1,0.368,3.34,5.83,2D
EFULUN,43220.355,25951.752,0.997,0.442765,326.68,0.361,3.35,5.85,2D
EGADOF,38808.636,28921.357,1.237,0.374138,471.24,0.225,5.05,5.61,1D
EGAFOJ,37405.758,34782.156,1.544,0.275429,212.02,0.166,2.6,5.21,1D
EGAFUP,37239.568,35166.24,1.568,0.282888,210.64,0.17,2.73,5.15,1D
EGAGAW,36835.654,35722.368,1.61,0.281872,206.98,0.164,2.7,5.1,1D
EGAGEA,36743.583,36390.96,1.645,0.282398,191.74,0.151,2.7,5.09,1D
EGASIQ,48663.22,19923.048,0.68,0.671398,2365.5,0.853,4.15,6.51,2D
EGATOX,52987.772,27117.792,0.85,0.508464,1662.61,0.549,7.1,8.92,1D
EGEJEG,257127.122,76096.728,0.491,0.798837,2847.42,1.511,16.16,31.52,1D
EGEMIO,25723.528,24548.49,1.585,0.181776,44.12,0.074,3.9,4.7,1D
EGEQOW02,44992.506,19844.064,0.732,0.672713,1964.69,0.775,5.38,6.49,2D
EGODUA,42489.657,37530.288,1.467,0.186092,80.01,0.127,2.77,4.95,1D
EGOGUD,26498.721,12666.346,0.794,0.666567,1492.45,0.777,4.96,5.91,1D
EGOHAK,32341.123,14010.346,0.719,0.721258,2249.76,0.921,4.56,5.63,1D
EGOKOB,32650.447,25412.544,1.292,0.31722,64.48,0.179,2.03,4.69,1D
EGOKUH,50453.703,34459.392,1.134,0.374295,508.11,0.269,3.93,5.56,1D
EGOYUV,27552.104,21482.904,1.295,0.27339,150.87,0.171,1.5,4.88,3D
EGUGUK,36785.711,20513.16,0.926,0.393223,979.77,0.35,5,6.1,1D
EGUTUX,60310.507,86784.832,2.389,0.172682,78.51,0.082,2.01,5.08,2D
EHADEX,31380.383,26172.749,1.385,0.299782,29.1,0.176,3.01,4.26,1D
EHAFEA,36555.232,56324.16,2.559,0.234976,10.13,0.074,2.68,4.38,1D
EHAFIE,37916.091,55518.264,2.431,0.169233,1.96,0.063,1.66,4.19,1D
EHAFUO,29710.651,10703.04,0.598,0.595194,3574.4,1.099,4.32,5.84,1D
EHAFUP,63699.935,26340.736,0.687,0.678355,2143.8,0.848,5.99,7.31,1D
EHAGAX,37079.629,55099.44,2.468,0.203007,6.48,0.073,2.32,4.15,1D
EHAGEB,37112.708,55186.056,2.469,0.210399,11.7,0.076,2.29,4.31,1D
EHAGIF,36623.157,55471.5,2.515,0.234344,10.14,0.077,2.82,4.42,1D
EHAGOL,36777.859,55561.966,2.509,0.207864,9.16,0.073,2.3,4.33,1D
EHAGUR,36497.377,55755,2.537,0.199024,5.28,0.07,2.3,4.12,1D
EHAHAX,36095.342,29556.192,1.36,0.197038,148.94,0.123,3.18,4.98,1D
EHAHEB,37321.823,26627.856,1.185,0.360809,394.58,0.256,2.68,5.37,1D
EHALII,33963.757,27364.736,1.338,0.330082,58.52,0.191,3.38,4.39,2D
EHESOB,30293.016,42468.926,2.328,0.265437,42.35,0.082,3.92,4.44,1D
EHESUH,30748.092,41672.873,2.251,0.245278,30.38,0.08,3.78,4.28,1D
EHEWAQ,35276.633,17044.512,0.802,0.65509,2899.62,0.845,4.96,6.2,2D
EHEZIB,45548.773,40893.696,1.491,0.121972,8.6,0.047,1.07,4.29,3D
EHODIP,34552.662,41521.057,1.995,0.156058,33.93,0.066,2.13,4.56,2D
EHOVIH,26690.633,18889.956,1.175,0.38509,81.78,0.272,3.43,4.46,1D
EHOYEG,25924.065,18939.552,1.213,0.186976,11.2,0.099,1.3,4.24,3D
EHOYUW,34461.532,22997.088,1.108,0.309844,237.29,0.22,2.57,5.15,1D
EHULEZ,32913.838,15582.912,0.786,0.505053,311.68,0.528,3.61,4.46,1D
EJAVUG,39855.214,32770.272,1.365,0.236978,37.19,0.132,1.15,4.62,2D
EJAZOF,37462.864,26100.691,1.157,0.55871,185.78,0.442,3.4,4.66,1D
EJEPAM,29937.926,21116.026,1.171,0.277815,30.68,0.192,1.97,4.55,1D
EJEXUN,23931.491,25759.704,1.787,0.236785,32.7,0.148,1.53,4.33,2D
EJIBAB,44146.062,36733.4,1.382,0.261673,754.81,0.195,5.7,6.21,1D
EJIBUW,99739.077,73652.256,1.226,0.286135,510.33,0.197,5.71,7.31,1D
EJIKAL,32426.187,77216.832,3.954,0.130511,23.8,0.035,1.73,4.88,1D
EJIMUG,52400.647,47215.037,1.496,0.255447,14.82,0.116,2.88,4.35,1D
EJISOG,25819.817,18801.48,1.209,0.350295,162.02,0.211,2.38,4.76,1D
EJOCUD,44654.722,46836.48,1.742,0.194218,207.59,0.099,3.98,4.92,1D
EJOGOZ,29316.32,19200.24,1.088,0.412296,785.7,0.32,7.2,8.19,1D
EJOHEQ,30724.549,28926.56,1.563,0.369411,476.13,0.199,5.42,8.43,1D
EJOSAX,29705.609,19302.08,1.079,0.232905,9.49,0.174,3.26,4.12,1D
EJOVIK,26379.75,19287.216,1.214,0.274908,147.45,0.151,2.22,4.74,1D
EJULUS,35528.707,34842.384,1.628,0.178528,49.43,0.084,1.27,5.08,3D
EJUPEF,34930.017,34542.6,1.642,0.100374,0.71,0.039,1.03,4.11,3D
EJUWIR,43837.566,28896.096,1.095,0.293171,513.45,0.224,4.94,5.48,1D
EKAHAA,31927.93,18979.392,0.987,0.546849,730.89,0.502,3.88,5.32,1D
EKEDOO,41074.392,33236.88,1.344,0.152832,25.72,0.081,1.59,4.49,1D
EKEFIK,68782.31,63352.349,1.529,0.263366,119.36,0.139,2.35,4.71,1D
EKEFOQ,69146.159,63191.52,1.518,0.263237,121.84,0.142,2.21,4.73,2D
EKEFUW,69265.385,62684.064,1.503,0.263652,126.8,0.141,2.38,4.75,1D
EKEGAD,71986.414,61430.448,1.417,0.27019,168.07,0.157,2.27,4.85,2D
EKEGEH,70431.053,61942.56,1.46,0.266795,145.95,0.147,2.39,4.78,2D
EKEHUZ,21866.111,21748.068,1.652,0.330162,142.63,0.147,4.09,4.54,1D
EKOCEN,27861.451,10455.048,0.623,0.686526,2089.43,1.029,3.68,6.42,1D
EKOFIU01,32501.724,24945.408,1.274,0.372094,190.4,0.242,3.05,4.6,1D
EKOFIU,31599.728,24945.408,1.311,0.378031,129.5,0.231,2.9,4.55,1D
EKOFOA,42573.688,30886.752,1.205,0.313286,43.96,0.212,3.27,4.24,1D
EKOKIA,35891.522,32922.816,1.523,0.330629,242.34,0.183,3.59,6.26,1D
EKOPOK,43767.766,35103.296,1.332,0.426171,514.46,0.266,4.42,5.59,1D
EKOYEJ,46119.522,17464.461,0.629,0.731117,1979.44,1.099,11.68,12.3,1D
EKOYIN,29807.447,11083.759,0.617,0.700859,2202.39,1.087,10.59,11.89,1D
EKUBES,28486.835,11842.092,0.69,0.587783,1346.46,0.786,3.91,4.83,1D
EKUDIX01,21421.559,9973.44,0.773,0.596634,1190.09,0.684,3.76,6.15,1D
EKUDOD,31223.382,19946.88,1.061,0.375061,249.53,0.288,2.96,4.83,1D
EKUDUJ,27811.486,19946.88,1.191,0.272419,1.01,0.168,2.16,4.08,1D
EKUFAR,28663.397,19946.88,1.156,0.283104,6.43,0.172,2.53,4.13,1D
EKUGOG01,29585.708,15088.488,0.847,0.592679,1245.97,0.639,9.26,9.9,1D
EKUGOG,29127.588,15088.488,0.86,0.588849,1161.74,0.625,9.14,9.78,1D
EKUGUM,30451.96,18222.272,0.994,0.280397,10.62,0.215,1.81,4.19,1D
EKUKUS,41611.799,26274.6,1.049,0.444869,985.75,0.396,7.35,8.2,1D
EKUQAD,27099.371,49648.95,3.042,0.255767,84.98,0.079,3.12,5.09,1D
ELAFUT,34934.787,32871.24,1.562,0.353766,97.05,0.166,2.03,4.68,1D
ELAGAA,41172.837,27574.425,1.112,0.345206,306.51,0.29,3.13,5.34,3D
ELAGEE,41357.24,27574.425,1.107,0.379678,358.33,0.318,3.15,5.38,3D
ELAMEL,39577.927,38461.776,1.614,0.111323,23.86,0.047,1.09,4.37,3D
ELAMIP,37827.101,33949.728,1.49,0.103324,5.93,0.043,1.06,4.24,2D
ELAVIX,37391.112,26790.922,1.19,0.103678,3.71,0.058,1.29,4.22,3D
ELECUT,35910.916,32113.28,1.485,0.166173,23.83,0.065,1.17,4.68,1D
