Refcode,Volume (A3),Mass (g/mol),Density (g/cm3),HVF,Surface area (m2/g),Free volume (cm3/g),PLD (A),LCD (A),Porosity
XIZFOC,78464.468,76037.54,1.609,0.102922,4.69,0.032,1.31,4.27,3D
XIZJIZ,35617.534,29756.941,1.387,0.312023,210.53,0.186,3.28,4.96,1D
XIZKAT,61015.501,115626.656,3.147,0.229718,83.13,0.075,2.61,5.58,1D
XIZLOI,40312.076,61903.232,2.55,0.091154,0.23,0.032,1.03,4.14,2D
XIZMEA,36743.888,40025.976,1.809,0.142693,11.48,0.046,2.25,4.51,1D
XIZNEB,46517.38,40831.56,1.458,0.265381,5.64,0.154,2.78,4.2,1D
XIZNIF,44524.658,36535.104,1.363,0.151908,3.75,0.09,2.06,4.12,1D
XIZPOO,50019.77,41130.496,1.365,0.356492,44.65,0.267,3.55,4.29,1D
XOCNOU,55744.509,39411.072,1.174,0.193117,67.55,0.113,1.97,4.56,1D
XOCWIX,36839.425,55886.236,2.519,0.213239,17.21,0.075,2.34,4.42,1D
XOCWOD,36479.26,56011.986,2.55,0.209564,10.05,0.072,2.3,4.33,1D
XOCWUJ,36503.232,56102.447,2.552,0.205968,12.63,0.071,2.38,4.26,1D
XODBOI,33108.69,29988.512,1.504,0.211739,132.67,0.097,1.27,5.06,3D
XODTOA,29019.982,10864.836,0.622,0.631846,2364.73,0.917,8,8.92,1D
XODXIZ,34800.632,34419.955,1.642,0.192063,0.17,0.13,1.61,4.07,1D
XOFPAL,25493.351,30204.504,1.967,0.273285,26.54,0.131,1.93,4.45,2D
XOFPEP01,26772.214,35136.504,2.179,0.254876,84.28,0.108,1.45,4.73,2D
XOFPEP,26803.089,35064.504,2.172,0.254535,90.52,0.109,1.45,4.72,2D
XOFPIT,41811.057,49537.008,1.967,0.168022,2.23,0.078,1.79,4.13,2D
XOGJIO,29006.506,30221.928,1.73,0.067141,4.28,0.023,1.31,4.29,1D
XOGLIO,38532.404,38645.376,1.665,0.114595,8.52,0.048,1.98,4.24,2D
XOGMAI,36102.869,31135.104,1.432,0.219766,1.22,0.108,1.75,4.04,1D
XOGRER,39959.494,34156.864,1.419,0.132822,63.17,0.071,1.22,4.9,3D
XOGZOK,25048.916,22826.944,1.513,0.154083,19.34,0.071,2.18,4.36,1D
XOHFIK,32002.115,31306.608,1.624,0.273612,147.75,0.176,3.24,4.74,1D
XOHLEM01,27453.383,23153.92,1.4,0.439241,232.06,0.291,3.66,4.88,2D
XOHLEM,27453.383,23153.92,1.4,0.439241,232.06,0.291,3.66,4.88,2D
XOHNOY,23408.997,6004.08,0.426,0.791878,1893.06,1.811,20.4,21.09,1D
XOHRIW,33230.322,24171.552,1.208,0.299331,187.92,0.186,4.02,4.64,1D
XOHROC,37797.256,29361.672,1.29,0.254678,20.53,0.137,2.86,4.33,1D
XOHYUQ,43333.217,33600,1.288,0.564336,1130.13,0.406,4.57,6.46,1D
XOJCAB,69101.162,61550.712,1.479,0.210807,25.72,0.113,1.54,5.03,3D
XOJCEF,59822.753,61550.712,1.709,0.124965,74.16,0.063,1.7,5.55,1D
XOJCIJ,70869.258,62945.424,1.475,0.27766,98.48,0.166,1.88,5.33,3D
XOJJOW,26630.989,33682.997,2.1,0.179113,62.24,0.073,1.36,4.44,2D
XOJJUC,45006.458,33909.552,1.251,0.202058,46.15,0.12,2.43,4.58,1D
XOJMAL01,29235.255,13820.382,0.785,0.58717,1862.94,0.762,4.3,6.18,1D
