Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
LAKVEZ,2005,0.813,0.683548,3035.49,3031.48,0.815,0.811,6.94,7.85,1.131123919,1D,[0.8 - 1.0),[0.6 - 0.7),[3000 - 10250],[5000-10500],[0.8 - 1.0),[0.8-1.0),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAKVEZ
LAKVID,2005,0.87,0.685752,2807.93,2828.09,0.754,0.756,6.84,7.66,1.119883041,1D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAKVID
LALGEL,2005,1.477,0.139426,127.28,0,0.072,0,1.39,6.4,4.604316547,3D,[1.4 - 1.5),[0.1 - 0.2),[100 - 150),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[6.0-6.5),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LALGEL
LALZUU,2005,1.275,0.319242,551.63,545.98,0.247,0.251,7.08,8.4,1.186440678,1D,[1.2 - 1.3),[0.3 - 0.4),[500 - 600),[500-600),[0.2 - 0.3),[0.2-0.3),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LALZUU
LAPGIT,2005,1.258,0.124112,60.33,0,0.062,0,0.93,5.23,5.623655914,NON-POROUS,[1.2 - 1.3),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),0.93,[5.0-5.3),[5.0-12.0],https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAPGIT
LAPMAR,2005,1.13,0.457752,979.44,963.57,0.351,0.352,4.25,5.12,1.204705882,2D,[1.1 - 1.2),[0.4 - 0.5),[800 - 1000),[800-1000),[0.3 - 0.4),[0.3-0.4),[4.0-4.5),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAPMAR
LAPQEZ,2005,0.497,0.704166,4412.63,4448.3,1.342,1.346,7.04,7.89,1.120738636,1D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAPQEZ
LAQREB,2005,3.203,0.170437,17.17,0,0.044,0,2.49,4.45,1.787148594,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAQREB
LARMOH,2005,1.493,0.15134,4.31,0,0.085,0,1.48,4.19,2.831081081,2D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARMOH
LARNAU,2005,1.284,0.384982,89.74,0,0.233,0,3.04,4.44,1.460526316,1D,[1.2 - 1.3),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARNAU
LARNEY,2005,1.293,0.362059,162.81,0,0.219,0,2.73,4.87,1.783882784,2D,[1.2 - 1.3),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARNEY
LARNUO,2005,1.262,0.375796,192.94,0,0.23,0,2.8,5.01,1.789285714,1D,[1.2 - 1.3),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[5.0-5.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARNUO
LARQIF,2005,1.01,0.332682,0.11,0,0.331,0,3.15,3.99,1.266666667,1D,[1.0 - 1.1),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[3.0-3.3),3.99,[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARQIF
LARQOL,2005,1.295,0.12627,74.9,0,0.074,0,1.55,5.06,3.264516129,3D,[1.2 - 1.3),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[5.0-5.3),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LARQOL
LATREE,2005,1.479,0.249303,137.48,0,0.121,0,2.75,4.93,1.792727273,1D,[1.4 - 1.5),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LATREE
LATYEL,2005,1.331,0.283393,342.98,336.51,0.179,0.181,4.62,5.45,1.17965368,1D,[1.3 - 1.4),[0.2 - 0.3),[300 - 400),[300-400),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LATYEL
LAWGOG,2005,0.589,0.819522,3496.21,3420.43,1.308,1.313,7.81,14.93,1.911651729,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAWGOG
LAWGUM,2005,0.589,0.819002,3497.34,3422.74,1.314,1.313,7.81,14.94,1.912932138,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.25-1.5),[6.0-8.0),[8.0-72.0],[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=LAWGUM
MADVUJ,2005,1.656,0.240794,133.76,134.56,0.109,0.11,4.1,4.94,1.204878049,1D,[1.6 - 1.8),[0.2 - 0.3),[100 - 150),[100-200),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MADVUJ
MADWAQ,2005,1.522,0.231665,123.52,120.8,0.117,0.115,3.85,4.87,1.264935065,1D,[1.5 - 1.6),[0.2 - 0.3),[100 - 150),[100-200),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MADWAQ
MADWEU,2005,1.361,0.230447,65.68,0,0.125,0,3.24,4.45,1.37345679,1D,[1.3 - 1.4),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.4-4.5),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MADWEU
MAHHAF,2005,1.303,0.292587,13.38,0,0.237,0,2.61,4.26,1.632183908,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAHHAF
MAHSOE,2005,0.81,0.545542,1734.38,1737.85,0.622,0.622,5.79,7.06,1.219343696,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAHSOE
MAJLOZ,2005,1.29,0.38929,190.83,0,0.28,0,2.96,4.83,1.631756757,1D,[1.2 - 1.3),[0.3 - 0.4),[150 - 200),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAJLOZ
MAKRUM,2005,0.581,0.650672,3606.65,3671.78,1.214,1.217,5.04,6.91,1.371031746,2D,[0.0 - 0.6),[0.6 - 0.7),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[5.0-6.0),[6.5-7.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAKRUM
MAKZEE,2005,1.604,0.204149,0.89,0,0.107,0,2.53,4.14,1.636363636,1D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAKZEE
MAKZII,2005,1.476,0.269304,272.39,253.79,0.157,0.152,3.99,4.93,1.235588972,1D,[1.4 - 1.5),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAKZII
MAKZOO,2005,1.534,0.214356,3.81,0,0.126,0,3.04,4.17,1.371710526,1D,[1.5 - 1.6),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAKZOO
MANLET,2005,1.089,0.310577,221.11,0,0.191,0,1.7,5.55,3.264705882,2D,[1.0 - 1.1),[0.3 - 0.4),[200 - 300),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[5.3-5.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MANLET
MANZIL,2005,1.395,0.271269,105.2,0,0.147,0,3.19,4.38,1.373040752,1D,[1.3 - 1.4),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.3-4.4),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MANZIL
MAPBEL,2005,0.751,0.626873,2708.49,2666.42,0.767,0.757,5.36,7.71,1.438432836,1D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAPBEL
MAPQIE,2005,1.53,0.227597,87.31,0,0.134,0,3.08,4.5,1.461038961,1D,[1.5 - 1.6),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAPQIE
MAPZEJ,2005,1.408,0.198458,54.61,0,0.108,0,3.11,4.55,1.463022508,2D,[1.4 - 1.5),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.5-4.6),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAPZEJ
MASCOZ,2005,0.784,0.497692,1572.87,1560.25,0.57,0.569,6.44,8.65,1.343167702,1D,[0.6 - 0.8),[0.4 - 0.5),[1500 - 2000),[1500-2000),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MASCOZ
MASVUY,2005,1.086,0.244835,0.47,0,0.165,0,2.03,4.06,2,1D,[1.0 - 1.1),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MASVUY
MAVFEV,2005,1.662,0.422851,339.52,330.41,0.265,0.264,3.75,4.62,1.232,3D,[1.6 - 1.8),[0.4 - 0.5),[300 - 400),[300-400),[0.2 - 0.3),[0.2-0.3),[3.6-3.8),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MAVFEV
MEVLOO01,2005,0.972,0.567516,1364.42,1363.19,0.535,0.538,7.8,9.21,1.180769231,1D,[0.8 - 1.0),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=MEVLOO01
NAHNEQ,2005,0.382,0.840957,6609.66,6699.31,2.043,2.042,7.33,8.65,1.180081855,2D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[2.0 - 7.0],[2.0-4.0),[6.0-8.0),[8.0-10.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAHNEQ
NAJMAN,2005,1.388,0.281977,1.77,0,0.125,0,2.9,4.11,1.417241379,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAJMAN
NAJZEE,2005,0.403,0.771049,4281.82,4256.94,1.903,1.912,10.6,11.54,1.088679245,1D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.5 - 2.0),[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAJZEE
NAJZII,2005,0.348,0.855782,5257.06,5267.22,2.323,2.331,9.74,15.35,1.575975359,3D,[0.0 - 0.6),[0.8 - 0.9),[3000 - 10250],[5000-10500],[2.0 - 7.0],[2.0-4.0),[10.0-72.0],[8.0-72.0],[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAJZII
NAKJUF,2005,0.591,0.753916,3144.06,3120.8,1.158,1.156,7.46,9.62,1.289544236,1D,[0.0 - 0.6),[0.7 - 0.8),[3000 - 10250],[5000-10500],[1.0 - 1.5),[1.0-1.25),[6.0-8.0),[8.0-10.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAKJUF
NALDIO,2005,1.675,0.232438,74.51,0,0.096,0,2.32,5.35,2.306034483,1D,[1.6 - 1.8),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.2-2.6),[5.3-5.6),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NALDIO
NANWIJ,2005,0.917,0.483052,456.18,0,0.452,0,2.74,5.16,1.883211679,3D,[0.8 - 1.0),[0.4 - 0.5),[400 - 500),[0.0-0.05),[0.4 - 0.5),[0.0-0.01),[2.6-3.0),[5.0-5.3),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NANWIJ
NANYUX01,2005,1.031,0.597326,1208.12,1200.46,0.511,0.496,4.7,5.54,1.178723404,1D,[1.0 - 1.1),[0.5 - 0.6),[1000 - 1250),[1000-1500),[0.5 - 0.6),[0.4-0.5),[4.5-5.0),[5.3-5.6),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NANYUX01
NAPFUG,2005,1.213,0.444553,122.88,0,0.289,0,2.95,4.82,1.633898305,3D,[1.2 - 1.3),[0.4 - 0.5),[100 - 150),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.8-5.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAPFUG
NAPGUH,2005,1.581,0.250684,71.5,0,0.139,0,2.88,4.52,1.569444444,1D,[1.5 - 1.6),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.5-4.6),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NAPGUH
NARXAG,2005,1.381,0.337707,50.28,0,0.169,0,2.8,4.23,1.510714286,1D,[1.3 - 1.4),[0.3 - 0.4),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.2-4.3),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=NARXAG
OGUFIF,2005,1.053,0.553616,1394.9,1392.48,0.476,0.474,4.56,7.3,1.600877193,1D,[1.0 - 1.1),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.4 - 0.5),[0.4-0.5),[4.5-5.0),[7.0-8.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=OGUFIF
PACMUC,2005,1.278,0.186732,12.37,0,0.101,0,2.19,4.14,1.890410959,1D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.0-4.2),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PACMUC
PACTAP,2005,1.592,0.207937,25.77,0,0.108,0,3.03,4.29,1.415841584,1D,[1.5 - 1.6),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[3.0-3.3),[4.2-4.3),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PACTAP
PACVOF,2005,1.315,0.279349,48.33,0,0.153,0,1.87,4.32,2.310160428,2D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.3-4.4),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PACVOF
PACWIA,2005,1.378,0.303896,131.53,0,0.154,0,2.21,4.73,2.140271493,2D,[1.3 - 1.4),[0.3 - 0.4),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PACWIA
PACXIB,2005,1.322,0.275016,20.94,0,0.149,0,1.84,4.25,2.309782609,2D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PACXIB
PADKIP01,2005,1.33,0.260327,34.84,0,0.234,0,2.21,4.43,2.004524887,1D,[1.3 - 1.4),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.2-2.6),[4.4-4.5),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PADKIP01
PADKOV,2005,1.424,0.228117,55.97,0,0.112,0,1.4,4.59,3.278571429,1D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.4-1.6),[4.5-4.6),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PADKOV
PADKUB,2005,1.424,0.207224,22.61,0,0.099,0,1.32,4.32,3.272727273,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.3-4.4),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PADKUB
PADNIS,2005,1.281,0.450851,166.7,174.6,0.279,0.279,3.43,4.84,1.411078717,1D,[1.2 - 1.3),[0.4 - 0.5),[150 - 200),[100-200),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PADNIS
PADNUE,2005,1.224,0.47909,463.18,436.74,0.318,0.316,3.8,4.93,1.297368421,1D,[1.2 - 1.3),[0.4 - 0.5),[400 - 500),[400-500),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[4.8-5.0),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PADNUE
PADPAM,2005,1.206,0.485646,544.33,530.91,0.325,0.327,4.1,5.71,1.392682927,1D,[1.2 - 1.3),[0.4 - 0.5),[500 - 600),[500-600),[0.3 - 0.4),[0.3-0.4),[4.0-4.5),[5.6-6.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PADPAM
PADPEQ,2005,1.26,0.462781,234.5,224.72,0.295,0.294,3.54,4.59,1.296610169,2D,[1.2 - 1.3),[0.4 - 0.5),[200 - 300),[200-300),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.5-4.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PADPEQ
PAHVIE,2005,1.246,0.440536,179.07,0,0.37,0,2.75,4.49,1.632727273,1D,[1.2 - 1.3),[0.4 - 0.5),[150 - 200),[0.0-0.05),[0.3 - 0.4),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAHVIE
PAJKER,2005,1.173,0.27899,96.3,0,0.187,0,2.61,4.67,1.789272031,1D,[1.1 - 1.2),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAJKER
PAJTAW,2005,1.209,0.345658,45.57,39.6,0.256,0.237,3.54,4.37,1.234463277,1D,[1.2 - 1.3),[0.3 - 0.4),[0 - 50),[0.05-50),[0.2 - 0.3),[0.2-0.3),[3.3-3.6),[4.3-4.4),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAJTAW
PALKUJ,2005,0.932,0.612885,2062.49,2085.32,0.631,0.628,5.77,7.92,1.372616984,2D,[0.8 - 1.0),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PALKUJ
PALYOR,2005,1.456,0.199769,65.19,0,0.075,0,1.8,4.56,2.533333333,1D,[1.4 - 1.5),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PALYOR
PAMBEL,2005,1.604,0.110998,31.16,0,0.054,0,1.22,4.87,3.991803279,3D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAMBEL
PAMCAI,2005,1.348,0.272533,181.37,0,0.158,0,2.07,4.77,2.304347826,1D,[1.3 - 1.4),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.6-4.8),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAMCAI
PAMTIH,2005,0.944,0.530034,675.86,650.85,0.608,0.587,3.86,4.76,1.233160622,1D,[0.8 - 1.0),[0.5 - 0.6),[600 - 800),[600-800),[0.6 - 0.8),[0.5-0.6),[3.8-4.0),[4.6-4.8),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAMTIH
PAPNUQ,2005,1.189,0.214178,187.18,0,0.138,0,1.23,4.93,4.008130081,2D,[1.1 - 1.2),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAPNUQ
PAPROO,2005,1.915,0.306844,259.91,253.51,0.127,0.128,4.78,6.66,1.393305439,1D,[1.8 - 2.0),[0.3 - 0.4),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[6.5-7.0),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAPROO
PAPRUU,2005,1.807,0.288748,255.49,259.98,0.127,0.129,4.3,6.88,1.6,1D,[1.8 - 2.0),[0.2 - 0.3),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[4.0-4.5),[6.5-7.0),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PAPRUU
PARHAS,2005,0.834,0.510484,1395.08,1383.86,0.553,0.553,5.91,6.5,1.099830795,1D,[0.8 - 1.0),[0.5 - 0.6),[1250 - 1500),[1000-1500),[0.5 - 0.6),[0.5-0.6),[5.0-6.0),[6.5-7.0),[1.0-1.1),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PARHAS
PARHEW,2005,0.755,0.579169,1812.67,1793.88,0.691,0.697,6.2,6.95,1.120967742,1D,[0.6 - 0.8),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[6.5-7.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PARHEW
PASBOB,2005,1.544,0.250169,15.36,7.25,0.139,0.069,3.5,4.22,1.205714286,1D,[1.5 - 1.6),[0.2 - 0.3),[0 - 50),[0.05-50),[0.1 - 0.2),[0.01-0.1),[3.3-3.6),[4.2-4.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PASBOB
PATBES,2005,1.312,0.164753,3.9,0,0.08,0,1.04,4.16,4,2D,[1.3 - 1.4),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=PATBES
QAKRAW,2005,1.144,0.353188,1.56,0,0.236,0,2.98,4.09,1.372483221,1D,[1.1 - 1.2),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.0-4.2),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAKRAW
QAKREA,2005,0.743,0.603948,2867.72,2877.5,0.734,0.739,5.06,6.33,1.250988142,2D,[0.6 - 0.8),[0.6 - 0.7),[2000 - 3000),[2000-3000),[0.6 - 0.8),[0.6-0.8),[5.0-6.0),[6.0-6.5),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAKREA
QAMKEV,2005,1.332,0.095661,0.68,0,0.047,0,1.27,4.15,3.267716535,1D,[1.3 - 1.4),[0.0 - 0.1),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.0-4.2),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=QAMKEV
