Refcode,Year,Density (g/cm3),"Helium void fraction, F_He,T (-)","Surface area, S_AC,T (m2/g)","Surface area, S_AC,A (m2/g)","Pore volume, V_PO,T (cm3/g)","Pore volume, V_PO,A (cm3/g)",Pore limiting diameter (A),Large cavity diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3).1,"Helium void fraction, F_He,T (-).1","Surface area, S_AC,T (m2/g).1","Surface area, S_AC,A (m2/g).1","Pore volume, V_PO,T (cm3/g).1","Pore volume, V_PO,A (cm3/g).1",Pore limiting diameter (A).1,Large cavity diameter (A).1,Ratio LCD/PLD (-).1,URL
UNIWIY,2011,1.922,0.195155,45.25,0,0.067,0,1.52,4.95,3.256578947,1D,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.8-5.0),[3.0-4.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UNIWIY
UNIWUK,2011,1.644,0.338926,431.94,426.63,0.182,0.181,4.58,5.52,1.205240175,1D,[1.6 - 1.8),[0.3 - 0.4),[400 - 500),[400-500),[0.1 - 0.2),[0.1-0.2),[4.5-5.0),[5.3-5.6),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UNIWUK
UNOKAK,2011,1.142,0.41497,46.3,0,0.276,0,2.77,4.73,1.707581227,2D,[1.1 - 1.2),[0.4 - 0.5),[0 - 50),[0.0-0.05),[0.2 - 0.3),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UNOKAK
UPIMIQ,2011,1.423,0.325646,242.62,214.84,0.186,0.173,3.52,4.98,1.414772727,2D,[1.4 - 1.5),[0.3 - 0.4),[200 - 300),[200-300),[0.1 - 0.2),[0.1-0.2),[3.3-3.6),[4.8-5.0),[1.4-1.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UPIMIQ
UPIXOH,2011,1.428,0.2379,2.4,0,0.124,0,2.56,4.18,1.6328125,1D,[1.4 - 1.5),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.0-4.2),[1.6-1.8),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UPIXOH
UPIYOI,2011,1.104,0.491579,812.04,774.99,0.396,0.39,3.99,5.04,1.263157895,1D,[1.1 - 1.2),[0.4 - 0.5),[800 - 1000),[600-800),[0.3 - 0.4),[0.3-0.4),[3.8-4.0),[5.0-5.3),[1.2-1.3),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UPIYOI
UPOTUP,2011,1.844,0.101984,10.5,0,0.044,0,1.84,4.25,2.309782609,1D,[1.8 - 2.0),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UPOTUP
UPOVOL,2011,1.566,0.348871,7.05,0,0.172,0,2.11,4.22,2,3D,[1.5 - 1.6),[0.3 - 0.4),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UPOVOL
UPUGIW,2011,1.357,0.164382,76.05,0,0.088,0,1.23,4.93,4.008130081,3D,[1.3 - 1.4),[0.1 - 0.2),[50 - 100),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[4.8-5.0),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UPUGIW
UQASUB,2011,1.745,0.110167,0.12,0,0.046,0,1.62,4.1,2.530864198,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQASUB
UQATAI,2011,1.78,0.114031,0.05,0,0.048,0,1.61,4.06,2.52173913,1D,[1.6 - 1.8),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQATAI
UQAWOZ,2011,1.26,0.260114,126,0,0.162,0,2.45,4.61,1.881632653,1D,[1.2 - 1.3),[0.2 - 0.3),[100 - 150),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.2-2.6),[4.6-4.8),[1.8-2.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQAWOZ
UQEBOI,2011,1.406,0.131099,5.84,0,0.064,0,2.91,4.41,1.515463918,1D,[1.4 - 1.5),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[2.6-3.0),[4.4-4.5),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQEBOI
UQENUA,2011,1.582,0.174383,111.39,0,0.075,0,1.39,5.56,4,2D,[1.5 - 1.6),[0.1 - 0.2),[100 - 150),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.0-1.4),[5.3-5.6),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQENUA
UQETIU,2011,2.326,0.135719,7.69,0,0.056,0,2.13,4.27,2.004694836,1D,[2.0 - 7.0],[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.6-2.2),[4.2-4.3),[2.0-2.5),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQETIU
UQOMOD,2011,0.837,0.571206,1886.77,1916.83,0.634,0.634,6.91,7.81,1.13024602,1D,[0.8 - 1.0),[0.5 - 0.6),[1500 - 2000),[1500-2000),[0.6 - 0.8),[0.6-0.8),[6.0-8.0),[7.0-8.0),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQOMOD
UQUGIX,2011,1.027,0.495254,459.4,229.73,0.448,0.216,3.57,4.77,1.336134454,1D,[1.0 - 1.1),[0.4 - 0.5),[400 - 500),[200-300),[0.4 - 0.5),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.3-1.4),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQUGIX
UQULAU,2011,1.264,0.140024,0.78,0,0.053,0,1.43,4.03,2.818181818,2D,[1.2 - 1.3),[0.1 - 0.2),[0 - 50),[0.0-0.05),[0.0 - 0.1),[0.0-0.01),[1.4-1.6),[4.0-4.2),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQULAU
UQUZUC,2011,1.66,0.230153,44.37,0,0.116,0,1.8,4.54,2.522222222,2D,[1.6 - 1.8),[0.2 - 0.3),[0 - 50),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.6-2.2),[4.5-4.6),[2.5-3.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=UQUZUC
URIPIV,2011,1.365,0.192676,77.74,74.04,0.115,0.119,3.92,4.62,1.178571429,1D,[1.3 - 1.4),[0.1 - 0.2),[50 - 100),[50-100),[0.1 - 0.2),[0.1-0.2),[3.8-4.0),[4.6-4.8),[1.1-1.2),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=URIPIV
URUJUN,2011,1.472,0.279871,72.78,0,0.145,0,2.97,4.66,1.569023569,1D,[1.4 - 1.5),[0.2 - 0.3),[50 - 100),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[2.6-3.0),[4.6-4.8),[1.5-1.6),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=URUJUN
USEDUS,2011,1.3,0.261959,168.1,0,0.14,0,1.26,5.06,4.015873016,1D,[1.3 - 1.4),[0.2 - 0.3),[150 - 200),[0.0-0.05),[0.1 - 0.2),[0.0-0.01),[1.0-1.4),[5.0-5.3),[4.0-5.0),https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=USEDUS
