Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
APINAP,1.161,0.283692,134.34,0.175,1.17,4.67,3.991452991
APIXED,1.108,0.54204,731.62,0.435,3.54,6.18,1.745762712
APIXUT,1.309,0.336965,38.2,0.191,1.38,4.51,3.268115942
APOJIZ,1.582,0.26441,245.35,0.154,4.58,5.08,1.109170306
APORUS,0.937,0.506492,876.46,0.528,3.82,5.58,1.460732984
APUSOV,1.057,0.459695,528.75,0.345,3.56,5.39,1.514044944
APUVIS,1.12,0.420334,797.69,0.324,7.8,8.13,1.042307692
APUZOB,1.554,0.179397,8.21,0.101,2.23,4.21,1.887892377
AQASIW,1.173,0.299848,112.85,0.19,3.37,4.62,1.370919881
AQASUG,1.17,0.355955,478.92,0.221,5.74,6.19,1.078397213
AQATAN,1.559,0.222537,16.52,0.104,1.87,4.31,2.304812834
AQAVOD01,1.352,0.321497,4.63,0.206,2.99,4.23,1.414715719
AQAVOD,1.24,0.44604,175.57,0.322,3.51,4.96,1.413105413
AQEKOX,0.892,0.527533,738.99,0.563,3.98,4.92,1.236180905
AQEKUD,0.849,0.529284,952.09,0.597,4.03,4.97,1.23325062
AQEQES,1.075,0.557847,1066.15,0.458,5.12,5.58,1.08984375
AQESAR,1.15,0.22519,150.52,0.145,2.92,5.51,1.886986301
AQIREX,1.167,0.231788,322.66,0.147,4.29,5.88,1.370629371
AQIROJ,1.435,0.314508,101.2,0.192,1.68,4.75,2.827380952
AQIVIH,0.573,0.737102,3310.96,1.177,4.3,5.31,1.234883721
AQODER,1.429,0.364548,513.63,0.238,4.99,6.47,1.296593186
AQOFAO,0.74,0.601823,1105.97,0.758,15.1,16.12,1.067549669
AQONAW,1.181,0.207025,200.77,0.127,1.46,5.85,4.006849315
AQUCOG,1.199,0.694087,1170.8,0.498,10.53,11.33,1.075973409
AQUCUM,1.198,0.701462,1181.53,0.502,10.63,11.42,1.074317968
AQUDIB,1.199,0.688357,1172.33,0.497,10.51,11.29,1.074215033
AQUMIJ,0.534,0.716706,4193.21,1.255,6.94,7.78,1.121037464
AQUQOT,1.778,0.385235,310.32,0.24,3.38,4.94,1.461538462
AQUWUF,0.725,0.655922,2137.53,0.79,7.06,7.83,1.109065156
ARABAY,1.656,0.105777,5.31,0.041,1.07,4.29,4.009345794
ARABEC,1.62,0.109512,10.47,0.043,1.1,4.42,4.018181818
ARABIG,1.677,0.105013,4.23,0.038,1.07,4.29,4.009345794
ARADAA,0.879,0.58356,1372.63,0.581,4.55,5.98,1.314285714
ARAGOR,1.424,0.171704,3.22,0.092,1.81,4.17,2.303867403
ARAGUX,1.733,0.17387,58.29,0.08,1.5,4.9,3.266666667
ARAWEW,1.193,0.319873,152.38,0.234,1.96,4.52,2.306122449
ARAXEW,1.122,0.403364,106.73,0.305,3.06,5,1.633986928
AREGUZ,1.737,0.273673,30.81,0.115,2.67,4.36,1.632958801
ARESUL,1.164,0.401331,220.11,0.257,2.57,4.84,1.883268482
AREZUS,1.071,0.358416,86.84,0.238,2.89,4.92,1.702422145
ARICIN,1.447,0.292749,28.73,0.139,3.59,4.66,1.298050139
ARICOT,0.885,0.605101,1983.99,0.619,5.73,8.17,1.42582897
ARINIZ,1.745,0.158411,51.79,0.083,3.37,4.49,1.332344214
ARINOF,1.16,0.285466,11.16,0.173,2.96,4.19,1.415540541
ARINUL,1.124,0.249544,37.89,0.158,3.36,4.37,1.300595238
AROTUW,0.954,0.627715,2029.36,0.645,5.83,6.66,1.142367067
ARUBEW,1.115,0.367966,366.23,0.258,2.86,5.39,1.884615385
ARUBOG,1.16,0.359707,293.55,0.234,2.26,5.22,2.309734513
ARUCAT,1.132,0.366009,331.26,0.249,2.47,5.28,2.137651822
