Refcode,Density (g/cm3),"Void fraction, F(He,T) (-)","Surface area, S(AC,T) (m2/g)","Pore volume, V(PO,T) (cm3/g)",Pore limiting diameter (A),Largest cavity diameter (A),Ratio LCD/PLD (-)
NUGHON,0.54,0.738369,2197.02,1.303,12.58,13.66,1.085850556
NUGKAC,1.217,0.276124,187.47,0.165,2.01,4.64,2.308457711
NUGNEK,1.272,0.222896,2.04,0.164,1.94,4.14,2.134020619
NUHGOM,1.14,0.249961,6.88,0.212,3.07,4.21,1.371335505
NUHLIM,0.437,0.787812,5346.8,1.678,7.39,8.72,1.179972936
NUHLOS,1.219,0.172385,61.7,0.078,1.12,4.5,4.017857143
NUHLUY,1.22,0.193307,74.68,0.104,1.17,4.69,4.008547009
NUHNIO,0.588,0.65099,3690.42,1.017,5.33,6.28,1.178236398
NUHNOU,0.602,0.639335,3560,0.973,5.3,6.19,1.167924528
NUHQEN,1.536,0.394212,235.61,0.2,3.74,5.65,1.510695187
NUHWOD,1.742,0.258389,173.57,0.149,1.7,4.8,2.823529412
NUHWUJ,1.885,0.186076,76.92,0.079,2.67,5.03,1.883895131
NUHYAR,1.589,0.126368,0.86,0.055,2.43,4.15,1.70781893
NUHYAS,1.423,0.204121,6.67,0.102,2.34,4.19,1.790598291
NUHYOF,1.545,0.148348,23.05,0.061,3.82,4.41,1.154450262
NUJTUH,1.771,0.144343,1.33,0.061,1.26,4.11,3.261904762
NUJVAP,1.971,0.14977,15.24,0.052,1.31,4.28,3.267175573
NUJWEW,0.819,0.513864,1603.35,0.678,4.54,5.24,1.154185022
NUJXAR,0.993,0.520204,763.43,0.491,3.46,5.91,1.708092486
NUKCEC,0.622,0.736998,3248.12,1.168,7.32,9.38,1.281420765
NUKCIG,0.539,0.757752,4547.65,1.394,6.53,8.71,1.333843798
NUKGEG,1.139,0.370214,382.98,0.253,2.92,6.25,2.140410959
NULBEC,1.319,0.319184,13.82,0.187,2.59,4.23,1.633204633
NULCED,1.175,0.52875,453.87,0.355,3.88,5.49,1.414948454
NULDAA,1.903,0.283035,370.99,0.13,4.57,5.86,1.282275711
NULMAJ,0.891,0.448899,353.51,0.386,3.89,4.59,1.179948586
NUMRAO,0.644,0.769628,4017.01,1.202,6.76,9.35,1.383136095
NUMVIA,1.549,0.386976,370.06,0.195,4.03,5.99,1.486352357
NUNNUH,0.86,0.60974,1189,0.642,4.15,5.69,1.371084337
NUNPAP,0.848,0.580319,1210.39,0.651,4.18,5.73,1.370813397
NUNSOG,1.277,0.296144,103.33,0.168,3.11,4.54,1.459807074
NUNSUK,1.245,0.214875,19.88,0.101,3.04,4.3,1.414473684
NUNSUM,1.536,0.179622,8.01,0.069,2.16,4.32,2
NUNXEA,0.682,0.684957,2986.17,0.947,7.2,7.84,1.088888889
NUNZIH,0.815,0.584451,1879.99,0.639,7.03,7.59,1.079658606
NUNZON,0.862,0.574757,1688.57,0.596,7.01,7.49,1.068473609
NURZOR,1.204,0.439729,746.72,0.322,8.92,9.84,1.103139013
NUSJER,1.381,0.21254,162.66,0.119,3.9,5.2,1.333333333
NUSKUI,1.319,0.19342,58.09,0.107,2.6,4.65,1.788461538
NUSLAP,0.978,0.471167,436.73,0.402,3.61,5.28,1.462603878
NUSTIF,1.09,0.343093,146.06,0.255,3.33,4.57,1.372372372
NUTCAG,1.098,0.468326,484.43,0.356,3.43,6.13,1.787172012
NUTFAK,0.32,0.876074,4840.58,2.67,13.81,15.4,1.115133961
NUVBIR,1.102,0.383312,564.02,0.321,3.85,5.28,1.371428571
NUVBUC,1.161,0.478696,346.55,0.369,3.42,4.99,1.459064327
NUVHIW,1.519,0.417733,667.56,0.26,8.06,8.61,1.068238213
NUVWOR,1.789,0.203069,65.6,0.066,2.42,5.58,2.305785124
NUVXOT,0.884,0.70242,2153.82,0.744,5.45,9.09,1.667889908
NUVZOU,1.452,0.275995,95.47,0.129,3.4,4.66,1.370588235
NUWBOW,0.473,0.653198,3532.24,1.258,8.37,9.42,1.125448029
NUWXAF,1.444,0.16152,22.88,0.078,1.4,4.57,3.264285714
NUXNAW,1.27,0.18624,37.52,0.101,2.98,4.67,1.567114094
NUXVUY,1.357,0.145375,38.13,0.069,2.21,4.73,2.140271493
NUXZIQ,1.55,0.179345,34.66,0.07,0.81,4.59,5.666666667
NUYDAN,1.196,0.364023,115.67,0.308,3.19,4.38,1.373040752
NUYWEK,1.437,0.19167,0.07,0.075,2.12,4,1.886792453
NUYWOU,1.294,0.320286,69.03,0.174,2.16,4.62,2.138888889
NUYXEL,1.588,0.176933,13.05,0.072,1.09,4.38,4.018348624
NUYYIQ,1.143,0.249719,167.19,0.168,1.36,5.43,3.992647059
NUZJEZ01,1.212,0.318199,46.53,0.21,2.62,4.27,1.629770992
NUZJEZ,1.204,0.349874,264.95,0.224,2.69,4.81,1.788104089
NUZMAY,1.235,0.1784,11.76,0.091,2.55,4.36,1.709803922
NUZRIK,1.232,0.230639,37.82,0.14,2.79,4.38,1.569892473
OBAFEF,2.513,0.12005,3.65,0.034,3.27,4.25,1.29969419
OBAFIJ,2.524,0.167008,8.37,0.056,3.22,4.3,1.335403727
OBAFOP,2.598,0.081249,4.18,0.024,1.39,4.52,3.251798561
OBAHAD,0.943,0.564475,1243.7,0.486,7.55,8.76,1.160264901
OBAHIL,0.972,0.545856,1117.86,0.445,7.27,8.3,1.141678129
OBECIH,1.137,0.395608,674.81,0.294,4.55,5.48,1.204395604
OBEDAA,0.981,0.529425,195.48,0.436,3.49,4.53,1.297994269
OBEDII,0.551,0.74379,3587.62,1.286,8.33,10.96,1.315726291
OBEGOS,1.213,0.44905,331.58,0.357,3.94,5.26,1.335025381
OBEHAF,1.574,0.266502,49.4,0.183,3.63,4.28,1.179063361
OBEKEM,0.975,0.507291,979.36,0.456,4.02,6.86,1.706467662
OBELIR,1.225,0.128227,59.01,0.081,1.21,4.82,3.983471074
OBEVIA,1.238,0.450293,596.85,0.307,1.94,6.93,3.572164948
OBEZAX,0.667,0.639171,2342.98,0.849,4.69,7.22,1.539445629
OBICUY,1.991,0.39833,77.46,0.136,2.94,4.81,1.636054422
OBIFUD,1.292,0.25732,85.24,0.165,3.54,4.72,1.333333333
OBIHIT,1.12,0.284624,213.11,0.209,3.72,4.96,1.333333333
OBIJOZ,1.36,0.278542,17.72,0.153,2.1,4.21,2.004761905
OBIJUF,1.289,0.361539,22.56,0.227,2.53,4.14,1.636363636
OBIMUH,0.954,0.435687,1197.32,0.384,5.51,7.34,1.332123412
OBOFIX,0.859,0.589601,1793.36,0.618,7.65,9.8,1.281045752
OBOMEX,1.722,0.246149,186.35,0.128,2.88,5.43,1.885416667
OBONUO,0.828,0.540886,1173.54,0.546,3.93,8.25,2.099236641
OBOPAY01,1.877,0.286478,11.63,0.145,2.15,4.3,2
OBUFEX,1.099,0.447925,302.63,0.349,3.9,4.94,1.266666667
OBUFIB,1.564,0.287123,8.93,0.138,3.22,4.29,1.332298137
OBURUB,1.147,0.34898,108.02,0.227,2.61,4.67,1.789272031
OCEPAO,0.544,0.774211,3941.13,1.304,7.47,8.41,1.12583668
OCETOG,1.553,0.286702,159.42,0.156,2.14,5.41,2.528037383
OCEXUS,1.187,0.509242,930.94,0.356,5.19,6.56,1.263969171
OCEYIH,1.225,0.398457,437.66,0.249,4.29,5.57,1.298368298
OCEYON,0.93,0.380738,57.89,0.272,2.58,4.21,1.631782946
OCIBIO,1.207,0.303897,89.77,0.177,1.92,4.87,2.536458333
OCIBOU,0.721,0.676962,2513.21,0.83,7.93,8.47,1.068095839
OCOFUI,0.771,0.644587,2416.51,0.778,7.93,9.2,1.160151324
OCOGAP,2.269,0.11506,0.07,0.035,1.04,4.15,3.990384615
OCOXAH,1.379,0.137406,56.21,0.066,1.08,4.34,4.018518519
OCOXUA,0.974,0.282745,374.86,0.219,1.41,5.64,4
OCUGEB,0.825,0.549571,876.71,0.538,4.34,5.64,1.299539171
OCUGEZ01,1.431,0.382882,350.81,0.222,3.65,5.33,1.460273973
OCUGEZ,1.439,0.390795,384.49,0.235,3.63,5.3,1.460055096
OCUGUR,1.517,0.107544,0.53,0.043,1.46,4.12,2.821917808
OCUMIL,1.516,0.198755,48.33,0.115,3.48,4.93,1.416666667
OCUNAC,0.45,0.803415,2892.98,1.762,13.5,33.48,2.48
OCUQIO01,1.446,0.25519,20.05,0.211,2.19,4.38,2
OCUQIO04,1.439,0.2582,24.14,0.214,2.21,4.42,2
OCURAG,1.621,0.324591,37.59,0.179,2.99,4.53,1.515050167
ODAGOP,1.018,0.515665,612.83,0.413,3.72,5.1,1.370967742
ODAGUV,1.025,0.524101,640.69,0.41,3.7,5.23,1.413513514
ODAHAC,1.034,0.518596,595.46,0.403,3.75,5.14,1.370666667
ODAKEL,1.277,0.208704,54.12,0.122,1.25,4.98,3.984
ODAPOA,1.115,0.554726,1362.75,0.453,6.53,9.03,1.382848392
ODAQAN,1.376,0.343434,199.31,0.207,3.25,4.75,1.461538462
ODAVIY,0.957,0.56308,1904.12,0.535,5.94,7,1.178451178
ODAZIE,1.169,0.169037,10.71,0.1,1.04,4.14,3.980769231
ODAZOK,1.182,0.163893,9.8,0.096,1.27,4.16,3.275590551
ODAZUQ,1.165,0.167612,10.18,0.098,1.04,4.15,3.990384615
ODEBAC,1.18,0.164038,6.19,0.099,1.27,4.14,3.25984252
ODEKUF,1.36,0.424613,353.52,0.264,3.67,5.88,1.602179837
ODELEQ,1.346,0.431505,381.08,0.273,3.71,5.93,1.598382749
ODEPOF,1.254,0.250978,410.04,0.169,5.46,7.38,1.351648352
ODEPUL,1.112,0.467151,489.9,0.339,4.13,8.01,1.939467312
ODEQAP01,1.21,0.530765,1258.25,0.443,6.19,6.86,1.108239095
ODEQAP,1.184,0.53938,1250.85,0.454,6.39,7.02,1.098591549
ODEQAS,1.284,0.250385,391.19,0.163,5.31,7.18,1.352165725
ODEQEW,1.146,0.45171,440.44,0.314,4.17,8.09,1.940047962
ODEQUJ,1.543,0.528337,916.15,0.344,6.83,7.43,1.087847731
ODESEW,1.267,0.109932,3.71,0.06,1.9,4.06,2.136842105
ODEWIE,1.125,0.439758,658.68,0.323,2.74,6.07,2.215328467
ODIBAF,1.263,0.307371,127.06,0.187,2.36,5.05,2.139830508
ODIMEU,1.836,0.198625,61.39,0.062,2.19,5.54,2.529680365
ODIPAS01,0.766,0.550185,1198.25,0.651,17.05,18.29,1.072727273
ODIPAS,0.763,0.576612,1219.26,0.659,17.36,18.66,1.074884793
ODISEA,2.331,0.137931,4.72,0.054,1.84,4.25,2.309782609
ODISUQ,2.398,0.256949,48.18,0.097,2.68,4.58,1.708955224
ODIYAB,1.243,0.24384,186.94,0.129,3.18,5.43,1.70754717
ODODAN,1.548,0.283182,49.52,0.15,2.64,4.5,1.704545455
ODOFUL,1.447,0.246942,180.16,0.128,2.86,6.11,2.136363636
ODOGUM,1.917,0.082623,2.19,0.027,1.05,4.18,3.980952381
ODOKEY,1.582,0.330124,67.17,0.149,1.41,4.6,3.262411348
ODOMIF,1.077,0.558395,191.95,0.409,3.46,4.49,1.297687861
ODOWEM,0.814,0.626335,1392.09,0.685,5.03,7.11,1.413518887
ODOXEK,1.867,0.267957,78.26,0.118,3.88,5.04,1.298969072
ODOYEO,1.136,0.261924,117.96,0.17,2.64,4.5,1.704545455
ODURAG,1.268,0.286063,176.18,0.162,1.82,5.14,2.824175824
ODURIO,1.397,0.368643,211.07,0.196,4.05,5.25,1.296296296
ODURUB,1.18,0.5577,496.31,0.454,3.87,5.02,1.297157623
OFABAY,0.854,0.538665,2397.49,0.644,5.55,6.1,1.099099099
OFABEC,0.866,0.543658,2353.14,0.636,5.58,6.13,1.098566308
OFABUV,1.147,0.638375,399.18,0.488,3.73,4.6,1.233243968
OFACAB,1.322,0.309024,65.32,0.178,2.95,4.46,1.511864407
OFACOP,0.911,0.592758,1794.14,0.583,6.67,7.79,1.167916042
OFAKUD,1.759,0.065556,3.29,0.026,1.03,4.13,4.009708738
OFALEO,1.293,0.349846,311.19,0.222,2.97,4.85,1.632996633
OFAPAO,1.327,0.204964,0.93,0.094,1.43,4.04,2.825174825
OFAVID,0.639,0.695228,2745.06,1.013,7.27,10.36,1.425034388
OFERUN02,0.881,0.505083,1308.75,0.581,3.1,11.39,3.674193548
OFERUN03,0.923,0.527338,1169.38,0.517,2.86,11.42,3.993006993
OFERUN04,0.914,0.540315,1209.1,0.538,2.93,11.38,3.883959044
OFERUN07,0.932,0.516913,1143.88,0.509,2.92,11.33,3.880136986
OFERUN,0.924,0.515562,1142.99,0.511,2.84,11.36,4
OFESAU,1.916,0.306223,249.61,0.13,4.76,6.74,1.415966387
OFESEY,1.834,0.311505,277.95,0.141,4.66,6.81,1.461373391
OFESIC,1.822,0.310264,281.35,0.142,4.71,6.88,1.460721868
OFEYOP,1.215,0.290402,34.47,0.211,2.44,4.36,1.786885246
OFIBUD,1.43,0.074504,4.17,0.039,1.07,4.27,3.990654206
OFIDAJ,2.063,0.476761,397.38,0.202,4.51,5.57,1.235033259
OFIVIK,1.424,0.215405,56.4,0.091,3.15,4.46,1.415873016
OFIWAD,1.663,0.09873,3.82,0.04,1.52,4.3,2.828947368
OFOCAQ01,1.313,0.419176,317.77,0.269,3.17,5.4,1.703470032
OFOCAQ,1.313,0.413405,325.33,0.268,3.16,5.4,1.708860759
OFOCIY,1.349,0.465915,340.02,0.272,3.94,5.12,1.299492386
OFODAP,1.159,0.442221,456.76,0.324,3.85,5,1.298701299
OFOJIF,1.442,0.221303,46.02,0.098,3.06,4.8,1.568627451
OFOKIG,1.492,0.274512,57.51,0.146,1.6,4.51,2.81875
OFONAB,1.278,0.420365,356.07,0.282,3.21,5.48,1.707165109
OFONEF,1.288,0.419505,343.02,0.28,3.2,5.46,1.70625
OFONIJ,1.302,0.416004,341.34,0.273,3.16,5.4,1.708860759
OFORUX,1.561,0.217389,177.19,0.1,4.84,5.37,1.109504132
OFOYIR,1.062,0.371598,90.26,0.256,2.8,4.39,1.567857143
OFOYOX,1.12,0.368778,86.98,0.245,2.7,4.4,1.62962963
OFOYUG,1.559,0.254049,92.35,0.103,3.64,4.73,1.299450549
OFUCEZ,1.661,0.34733,240.95,0.208,3.98,4.7,1.180904523
OFUGOL,1.21,0.302953,21.08,0.224,1.69,4.28,2.532544379
OFUHIJ,1.822,0.316956,93.45,0.136,3.56,4.89,1.373595506
OFUYIY,1.182,0.386304,84.81,0.244,3.66,4.32,1.180327869
OFUYOE01,1.344,0.279787,354.04,0.178,4.66,5.38,1.154506438
OFUYOE02,1.364,0.277613,323.99,0.172,4.56,5.38,1.179824561
OFUYOE,1.346,0.287931,363.63,0.181,4.64,5.36,1.155172414
OFUYUK,1.323,0.185127,0.51,0.088,2.04,4.08,2
OGAGAF,1.405,0.289158,105.47,0.159,3.37,4.49,1.332344214
OGAGEJ,1.058,0.534881,1001.96,0.431,4.68,5.3,1.132478632
OGAGIN,1.453,0.278624,88.3,0.143,3.14,4.74,1.50955414
OGAGOT,0.86,0.559701,1061.97,0.564,3.64,5.82,1.598901099
OGECOU,1.357,0.397231,459.36,0.203,5.4,5.88,1.088888889
OGEGUF,0.557,0.693712,3138.48,1.234,8.41,9.37,1.114149822
OGENUL,0.73,0.540525,1465.05,0.711,10.44,11.06,1.059386973
OGIHIW01,1.142,0.387021,111.14,0.288,3.52,4.57,1.298295455
OGIHIW,1.17,0.37949,91.33,0.252,3.46,4.61,1.332369942
OGIHOC,1.359,0.174054,65.81,0.094,1.69,4.79,2.834319527
OGIJOE,1.286,0.318921,130.1,0.193,3.41,4.55,1.33431085
OGIJUK,1.298,0.306641,54.91,0.186,1.78,4.5,2.528089888
OGILAS,1.33,0.208,11.73,0.123,1.31,4.29,3.27480916
OGINIC,1.163,0.382025,74.1,0.252,3.11,4.54,1.459807074
OGODOD,0.806,0.612105,1537.3,0.616,6.32,7.02,1.110759494
OGOTOU,0.556,0.749318,4299.72,1.271,6,7.89,1.315
OGOYIU,1.279,0.288777,27.11,0.152,1.31,4.28,3.267175573
OGUFAZ,1.371,0.124052,5.89,0.063,1.32,4.31,3.265151515
OGUFIF,1.053,0.553616,1394.9,0.476,4.56,7.3,1.600877193
OGUGAY,1.347,0.350701,326.93,0.225,3.56,5.03,1.412921348
OGUHEF,1.103,0.287993,281.1,0.21,3.84,4.98,1.296875
OGUMUA,1.606,0.226023,253.31,0.116,4.54,5.74,1.264317181
OGUNIO,1.036,0.431488,329.03,0.32,3.75,5.3,1.413333333
OGUPIQ,1.693,0.221854,5.27,0.094,2.76,4.33,1.56884058
OGUPOW,1.723,0.198523,1.19,0.079,0.75,4.22,5.626666667
OGUSIU,1.556,0.126883,11.43,0.044,1.27,4.16,3.275590551
OGUTOA,0.642,0.781104,3258.82,1.132,7.08,8.1,1.144067797
OGUTUG,1.544,0.194008,1.29,0.086,2.88,4.2,1.458333333
OHAFUA,0.91,0.566538,1084.68,0.508,2.04,10.33,5.06372549
OHAKEO,1.15,0.483284,616.92,0.324,4.64,5.8,1.25
OHAKIS,1.228,0.445747,383.42,0.278,4.12,5.08,1.233009709
OHALEP,1.396,0.291245,277.04,0.172,3.61,4.95,1.371191136
OHAMOB,1.284,0.153307,28.05,0.074,1.18,4.71,3.991525424
OHANAO,1.055,0.34182,555.37,0.248,4.06,6.5,1.600985222
OHAPEU,1.111,0.335502,150.61,0.22,2.91,4.97,1.70790378
OHAPUJ,1.115,0.476336,64.73,0.376,3.22,4.29,1.332298137
OHAQAQ,1.259,0.28341,353.34,0.178,1.4,7.9,5.642857143
OHASUM,1.791,0.264003,62.48,0.108,1.94,4.48,2.309278351
OHAYEC,0.987,0.57739,1652.52,0.558,7.28,7.85,1.078296703
OHAYON,0.837,0.703553,2558.75,0.786,5.84,7.38,1.26369863
OHEGAJ,2.208,0.297535,24.54,0.131,2.55,4.57,1.792156863
OHEMIX,1.341,0.387102,118.74,0.256,3.11,4.54,1.459807074
OHEPOH,1.495,0.138714,3.17,0.059,2.56,4.19,1.63671875
OHICUE,1.478,0.074155,15.58,0.032,1.32,4.3,3.257575758
OHIDAL,1.438,0.073194,16.22,0.034,1.34,4.37,3.26119403
OHIDEP,1.55,0.074154,12.49,0.032,1.32,4.31,3.265151515
OHIHOD,1.784,0.216636,3.81,0.097,1.5,4.25,2.833333333
OHIHUJ,1.651,0.215473,16.19,0.106,1.54,4.35,2.824675325
OHOFEW,1.188,0.282798,537.84,0.19,5.98,6.91,1.155518395
OHOFIA,1.189,0.27222,474.86,0.18,6.51,7.52,1.155145929
OHOFOG,1.17,0.291573,509.67,0.206,6.61,7.41,1.121028744
OHOPUX,0.752,0.617784,1510.51,0.702,4.15,6.39,1.539759036
OHOQAE,0.74,0.628637,1409.84,0.71,3.92,6.55,1.670918367
OHOQEI,0.739,0.619987,1213.18,0.7,3.67,6.57,1.790190736
OHOQIM,0.835,0.522194,1089.16,0.526,3.89,6.1,1.568123393
OHOREJ,0.79,0.563065,1510.02,0.601,5.66,7.07,1.249116608
OHOROT,0.762,0.624774,1367.24,0.687,4.02,6.56,1.631840796
OHUQAJ,0.821,0.523184,1558.17,0.599,7.46,8.8,1.179624665
OJANIW,2.024,0.513457,231.66,0.27,3.7,4.93,1.332432432
OJAPEV,1.412,0.257118,144.81,0.131,0.91,5.16,5.67032967
OJASEZ,1.768,0.199695,33.77,0.072,2.19,4.67,2.132420091
OJASOJ,0.996,0.431181,484.46,0.368,3.38,5.52,1.633136095
OJATAW,1.275,0.268118,41.57,0.116,2.94,4.45,1.513605442
OJECUC,1.453,0.312574,362.71,0.206,3.29,5.61,1.705167173
OJIBUF,1.302,0.145211,8.01,0.078,1.29,4.2,3.255813953
OJINEC,0.946,0.546082,1277.6,0.542,7.01,7.78,1.109843081
OJIWIO,1.333,0.302939,42.3,0.177,3.6,4.44,1.233333333
OJIWIP,0.993,0.545293,1542.98,0.532,4.5,5.76,1.28
OJOCAR,1.28,0.233239,47.31,0.13,1.44,4.69,3.256944444
OJONOQ,1.739,0.32307,438.34,0.203,5.22,5.96,1.141762452
OJOTAI01,0.805,0.589282,1547.81,0.666,4.08,6.28,1.539215686
OJOTAI,0.788,0.584566,1505.98,0.692,3.74,6.39,1.70855615
OJOTEM01,0.828,0.585521,1365.86,0.649,3.62,6.32,1.745856354
OJOTEM,0.832,0.58104,1350.59,0.639,3.57,6.23,1.745098039
OJOTOW,0.577,0.721022,2997.99,1.205,8.42,9.72,1.154394299
OKAQEY,1.515,0.436658,468.62,0.249,4.09,6.07,1.484107579
OKAYIK,1.566,0.239631,57.85,0.097,3.51,4.55,1.296296296
OKAYUW,1.194,0.293199,2.39,0.161,3.23,4.08,1.263157895
OKAZAD,1.188,0.292896,2.3,0.161,3.3,4.07,1.233333333
OKELOH,0.903,0.588482,4.72,0.562,3.03,4.16,1.372937294
OKEQEC,0.692,0.681912,2091.58,0.873,4.01,6.68,1.665835411
OKEQIG,0.687,0.685447,2156.89,0.883,4.07,6.78,1.665847666
OKEQOM,0.685,0.67992,2183.07,0.882,4.02,7.02,1.746268657
OKEQUS,0.734,0.650733,1573.19,0.779,4,5.65,1.4125
OKERAZ,0.392,0.806079,3725.13,1.956,11,12.03,1.093636364
OKERED,0.516,0.747824,3304.12,1.357,8.66,10.69,1.234411085
OKERON,0.543,0.738931,3760.72,1.254,6.55,7.65,1.167938931
OKERUT,0.683,0.673717,2418.25,0.885,4.12,6.72,1.631067961
OKESAA,0.682,0.671644,2420.06,0.882,4.12,6.73,1.633495146
OKIHAS,1.134,0.401921,180.23,0.269,3.16,4.95,1.566455696
OKIJIC,1.333,0.306823,52.88,0.181,3.2,4.52,1.4125
OKIJOI,1.208,0.41002,275.77,0.288,3.36,4.75,1.413690476
OKIJUO,0.937,0.586292,449.67,0.523,3.66,5.18,1.415300546
OKIKEA,1.222,0.361429,162.99,0.228,3.45,5.05,1.463768116
OKIKEZ,0.912,0.596245,854.53,0.55,3.93,5.24,1.333333333
OKIKID,0.803,0.614722,1856.93,0.691,5.27,6.51,1.235294118
OKIKOJ,1.698,0.192737,67.97,0.091,3.89,4.8,1.233933162
OKIMEC,1.418,0.223167,10.59,0.116,2.48,4.23,1.705645161
OKIQEG,1.53,0.363187,168.46,0.192,3.69,5.21,1.411924119
OKIQOP,0.771,0.573999,2063.05,0.667,5.47,7.1,1.297989031
OKIRIK,1.202,0.41984,609.47,0.278,4.43,5.83,1.316027088
OKOCAS,1.529,0.290777,69.47,0.173,2.26,4.82,2.132743363
OKOCIB,1.298,0.23814,43.54,0.126,2.92,4.41,1.510273973
OKOCOG,2.895,0.184511,135.02,0.065,4.26,4.92,1.154929577
OKOJUV,1.28,0.164998,1.66,0.096,2.34,4.19,1.790598291
OKOQAI01,0.556,0.810529,3429.06,1.468,9.01,12.46,1.38290788
OKOQAI,1.148,0.568126,1187.57,0.501,8.18,8.82,1.078239609
OKOQEL,0.558,0.748222,3504.28,1.247,7.48,8.15,1.089572193
OKOVER01,1.283,0.202777,38.79,0.095,1.4,4.57,3.264285714
OKOVER,1.284,0.202173,38.41,0.095,1.6,4.53,2.83125
OKUTAR,0.903,0.112187,57.5,0.067,1.42,6.57,4.626760563
OKUTEV,0.661,0.139269,116.74,0.148,2.37,7.17,3.025316456
OKUTUL01,1.105,0.408205,421.51,0.401,3.25,5.54,1.704615385
OKUTUL02,1.09,0.409781,452.43,0.41,3.18,5.68,1.786163522
OKUTUL03,1.103,0.406444,416.82,0.4,3.16,5.66,1.791139241
OKUTUL04,1.099,0.395445,777.83,0.383,5.13,6.12,1.192982456
OKUTUL05,1.103,0.395557,788.79,0.383,5.21,6.22,1.193857965
OKUTUL,1.092,0.399829,793.77,0.385,5.24,6.25,1.192748092
OKUVAT03,1.017,0.459996,828.49,0.415,5.08,6.13,1.206692913
OKUYAV,1.772,0.419498,419.65,0.204,4.23,5.72,1.352245863
OLAQOI,1.495,0.176493,212.44,0.119,6.98,7.33,1.050143266
OLAQOJ,1.125,0.423963,101.09,0.316,3.63,4.37,1.203856749
OLAWEF,1.369,0.139307,11.45,0.071,1.05,4.2,4
OLESIH,0.68,0.735703,3189.65,1.102,7.7,8.27,1.074025974
OLIHIB,0.904,0.559748,873.72,0.573,3.56,5.2,1.460674157
OLIMUS,0.63,0.759552,3144.63,1.22,8.23,9.18,1.115431349
OLIXEO,1.424,0.272154,36.92,0.147,2.21,4.43,2.004524887
OLIXIQ,1.223,0.29298,373.1,0.213,3.79,5.05,1.332453826
OLOCAU,1.008,0.459093,525.37,0.376,3.67,6.91,1.882833787
OLODIE,1.355,0.302623,67.65,0.169,1.59,4.49,2.823899371
OLOKIJ01,0.805,0.530036,602.1,0.55,3.31,5.78,1.746223565
OLONAG,1.969,0.126679,24.8,0.049,1.58,4.46,2.82278481
OLONOU,2.069,0.170975,23.78,0.073,2.45,4.62,1.885714286
OLUCAZ,1.211,0.260211,214.86,0.181,3.95,5.27,1.334177215
OLUCED,0.759,0.715242,2561.64,0.872,6.57,7.16,1.089802131
OLUCIH,1.263,0.422135,27.61,0.276,3.14,4.3,1.369426752
OLUCON,1.023,0.603183,1151.71,0.521,5.24,5.99,1.143129771
OMAFIT,1.702,0.188696,23.71,0.075,1.77,4.47,2.525423729
OMAFOZ,1.587,0.297467,117.18,0.161,2.61,6.03,2.310344828
OMAMUM,0.908,0.51414,316.95,0.456,3.6,4.67,1.297222222
OMAQUQ,1.614,0.251514,124.09,0.127,1.77,5,2.824858757
OMEBIT,1.59,0.290064,109.82,0.146,2.85,5.09,1.785964912
OMECOA,1.692,0.118647,35.37,0.048,1.52,4.96,3.263157895
OMEGOE,1.338,0.318345,165.12,0.189,2.43,4.59,1.888888889
OMEXEK,2.052,0.161929,0.11,0.061,1.44,4.06,2.819444444
OMEYIP01,1.058,0.470152,1013.4,0.356,5.01,6.05,1.20758483
OMICOD,1.075,0.361751,4.06,0.24,2.66,4.18,1.571428571
OMIDAQ,1.623,0.184641,1.17,0.079,0.72,4.09,5.680555556
OMILAY,1.13,0.368026,505.66,0.255,4.04,5.38,1.331683168
OMIPAD,1.178,0.268154,104.14,0.145,3.15,5.14,1.631746032
OMOFED01,2.464,0.242955,49.96,0.075,1.24,4.95,3.991935484
OMOLEJ,1.31,0.297443,103.81,0.169,2.32,4.64,2
OMOYUL,1.644,0.190886,9.44,0.078,1.32,4.31,3.265151515
OMUTOG,1.179,0.192459,16.25,0.103,2.02,4.32,2.138613861
OMUYUR,1.447,0.251649,203.12,0.136,2.91,5.81,1.996563574
ONABAI,1.212,0.208001,100.68,0.114,1.42,4.65,3.274647887
ONADUD,1.209,0.382064,49.17,0.272,3.28,4.37,1.332317073
ONALUM,1.364,0.155823,34.64,0.07,1.21,4.83,3.991735537
ONAWUW,1.175,0.152469,1.45,0.047,2.07,4.13,1.995169082
ONEHEV,1.492,0.208266,78.12,0.11,1.63,5.33,3.26993865
ONEJUN,3.506,0.318743,134.85,0.104,3.84,4.98,1.296875
ONENEB,0.8,0.596821,2067.37,0.657,6.15,7.18,1.167479675
ONESAC,0.783,0.63366,2182.86,0.734,6.05,8.7,1.438016529
ONETAE,1.323,0.229261,110.06,0.135,2.69,5.07,1.884758364
ONEYOW,0.919,0.488401,1006.26,0.437,7.01,7.93,1.131241084
ONIXOZ,0.909,0.713751,1631.43,0.669,8.79,9.44,1.073947668
ONUCAC,1.293,0.082291,53.34,0.046,1.15,4.62,4.017391304
ONULOA,0.566,0.791429,3488.72,1.235,8.39,10,1.191895113
ONUQOE,1.322,0.434215,534.59,0.25,4.36,5.51,1.263761468
ONURAR,1.354,0.304886,442.61,0.186,5.85,8.09,1.382905983
ONUREV,1.359,0.311882,449.58,0.19,6.07,7.87,1.296540362
OPAPEB,1.657,0.206839,34.15,0.096,2.95,4.63,1.569491525
