Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
DUBFEL,1987,0.995,0.549,584.500,0.492,3.530,5.540,1.569,1D,[0.8-1.0),[0.5-0.6),[500-600),[0.4-0.5),[3.3-3.6),[5.3-5.6),[1.5-1.6)
FAVCAG,1987,0.733,0.652,2553.200,0.802,6.010,8.190,1.363,1D,[0.6-0.8),[0.6-0.7),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.3-1.4)
FAJZIZ,1987,0.762,0.599,2181.070,0.708,7.820,8.520,1.090,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.6-0.8),[6.0-8.0),[8.0-10.0),[1.0-1.1)
FEJFEF,1987,0.997,0.550,1334.630,0.528,8.140,9.070,1.114,1D,[0.8-1.0),[0.5-0.6),[1250-1500),[0.5-0.6),[10.0-72.0],[8.0-10.0),[1.1-1.2)
FAGZAO,1987,0.755,0.649,1950.350,0.826,9.580,10.110,1.055,1D,[0.6-0.8),[0.6-0.7),[1500-2000),[0.8-1.0),[10.0-72.0],[8.0-72.0],[1.0-1.1)
FAGZES,1987,0.898,0.658,1665.370,0.690,9.880,10.330,1.046,1D,[0.8-1.0),[0.6-0.7),[1500-2000),[0.6-0.8),[10.0-72.0],[8.0-72.0],[1.0-1.1)
FUVCII,1988,0.987,0.373,10.460,0.338,3.610,4.170,1.155,1D,[0.8-1.0),[0.3-0.4),[0-50),[0.3-0.4),[3.6-3.8),[3.9-4.2),[1.1-1.2)
GADFUM,1988,1.543,0.378,394.210,0.253,3.930,5.840,1.486,1D,[1.5-1.6),[0.3-0.4),[300-400),[0.2-0.3),[3.8-4.0),[5.6-6.0),[1.4-1.5)
SADPIW,1989,1.941,0.079,27.380,0.038,1.160,4.650,4.009,2D,[1.8-2.0),[0.0-0.1),[0-50),[0.0-0.1),[0.7-1.4),[4.6-4.8),[4.0-5.0)
GEZYOZ,1989,1.310,0.144,9.630,0.092,1.310,4.280,3.267,3D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[0.7-1.4),[4.2-4.3),[3.0-4.0)
GENZUU,1989,1.180,0.188,28.430,0.122,1.330,4.330,3.256,2D,[1.1-1.2),[0.1-0.2),[0-50),[0.1-0.2),[0.7-1.4),[4.3-4.4),[3.0-4.0)
GIJDIM,1989,2.150,0.119,20.930,0.042,1.690,4.770,2.822,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.5-3.0)
GIJDEI,1989,1.585,0.239,66.460,0.117,1.740,4.410,2.534,1D,[1.5-1.6),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.5-3.0)
GIHVOI,1989,1.528,0.302,24.770,0.156,2.040,4.360,2.137,1D,[1.5-1.6),[0.3-0.4),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
COKDUB01,1989,1.602,0.285,42.650,0.216,3.010,4.560,1.515,1D,[1.6-1.8),[0.2-0.3),[0-50),[0.2-0.3),[3.0-3.3),[4.5-4.6),[1.5-1.6)
SANHIY,1989,1.265,0.313,92.670,0.192,3.030,4.590,1.515,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[3.0-3.3),[4.5-4.6),[1.5-1.6)
SAJTOM,1989,0.606,0.581,2427.580,0.878,6.970,8.090,1.161,1D,[0.6-0.8),[0.5-0.6),[2000-3000),[0.8-1.0),[6.0-8.0),[8.0-10.0),[1.1-1.2)
GEWMIE,1989,0.418,0.733,2734.230,1.631,13.850,14.420,1.041,1D,[0.0-0.6),[0.7-0.8),[2000-3000),[1.5-2.0),[10.0-72.0],[8.0-72.0],[1.0-1.1)
SEDHAK,1990,1.308,0.138,72.670,0.075,1.210,4.860,4.017,3D,[1.3-1.4),[0.1-0.2),[50-100),[0.0-0.1),[0.7-1.4),[4.8-5.0),[4.0-5.0)
KAMGEK,1990,1.714,0.081,3.320,0.030,1.480,4.190,2.831,1D,[1.6-1.8),[0.0-0.1),[0-50),[0.0-0.1),[1.4-1.6),[3.9-4.2),[2.5-3.0)
KEBRAK,1990,2.218,0.124,25.180,0.042,1.740,4.920,2.828,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.8-5.0),[2.5-3.0)
KEBREO,1990,1.690,0.229,76.580,0.108,1.820,4.610,2.533,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.5-3.0)
JALTUL,1990,0.520,0.530,17.870,0.931,3.100,4.130,1.332,3D,[0.0-0.6),[0.5-0.6),[0-50),[0.8-1.0),[3.0-3.3),[3.9-4.2),[1.3-1.4)
VEHLAV,1990,1.172,0.364,171.190,0.249,3.310,4.680,1.414,3D,[1.1-1.2),[0.3-0.4),[150-200),[0.2-0.3),[3.3-3.6),[4.6-4.8),[1.4-1.5)
VANMAY,1990,0.769,0.756,2327.150,0.919,4.750,6.160,1.297,1D,[0.6-0.8),[0.7-0.8),[2000-3000),[0.8-1.0),[4.5-5.0),[6.0-6.5),[1.2-1.3)
KAWFIX,1990,0.824,0.422,1427.730,0.516,5.650,6.210,1.099,1D,[0.8-1.0),[0.4-0.5),[1250-1500),[0.5-0.6),[5.0-6.0),[6.0-6.5),[1.0-1.1)
CORMIF10,1990,0.880,0.588,1687.070,0.601,5.770,7.390,1.281,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.6-0.8),[5.0-6.0),[7.0-8.0),[1.2-1.3)
SAWVOB,1990,0.979,0.557,1950.210,0.524,7.070,7.430,1.051,1D,[0.8-1.0),[0.5-0.6),[1500-2000),[0.5-0.6),[6.0-8.0),[7.0-8.0),[1.0-1.1)
KIHYIJ,1991,1.419,0.176,2.130,0.105,1.640,4.140,2.524,2D,[1.4-1.5),[0.1-0.2),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.5-3.0)
