Refcode,Year,MOF Density (g/cm3),Helium Void Fraction (-),Surface Area (m2/g),Free Volume (cm3/g),Pore Limiting Diameter (A),Large Cavity Diameter (A),Ratio LCD/PLD (-),Porosity,Density (g/cm3),Helium void fraction (-),Surface area (m2/g),Free volume (cm3/g),Pore limiting diameter (A),Large cavity diameter (A),LCD/PLD (-)
KEVLEE,2013,1.287,0.308,1.570,0.190,2.050,4.100,2.000,3D,[1.2-1.3),[0.3-0.4),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.0-2.5)
XIFKAA,2013,1.190,0.374,269.750,0.233,2.050,5.180,2.527,2D,[1.1-1.2),[0.3-0.4),[200-300),[0.2-0.3),[1.6-2.2),[5.0-5.3),[2.5-3.0)
AGOZED,2013,1.643,0.206,69.170,0.087,2.050,4.740,2.312,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.0-2.5)
CIVDAO,2013,1.182,0.210,1.330,0.118,2.060,4.110,1.995,1D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[1.8-2.0)
CEZKAV,2013,1.063,0.377,179.560,0.258,2.060,4.400,2.136,2D,[1.0-1.1),[0.3-0.4),[150-200),[0.2-0.3),[1.6-2.2),[4.4-4.5),[2.0-2.5)
XEQLEM,2013,1.293,0.279,57.000,0.143,2.060,4.410,2.141,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.4-4.5),[2.0-2.5)
KIPHIC,2013,1.363,0.153,0.740,0.079,2.070,4.140,2.000,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5)
RASXEP01,2013,2.578,0.092,0.450,0.017,2.070,4.140,2.000,1D,[2.0-7.0],[0.0-0.1),[0-50),[0.0-0.1),[1.6-2.2),[3.9-4.2),[2.0-2.5)
KIFYAB,2013,1.277,0.245,81.700,0.123,2.070,4.780,2.309,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.0-2.5)
NEXKEI,2013,1.412,0.168,16.090,0.097,2.080,4.440,2.135,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.4-4.5),[2.0-2.5)
REFDOX,2013,1.258,0.198,71.940,0.117,2.080,5.260,2.529,3D,[1.2-1.3),[0.1-0.2),[50-100),[0.1-0.2),[1.6-2.2),[5.0-5.3),[2.5-3.0)
GICXIB02,2013,1.483,0.250,6.370,0.196,2.090,4.180,2.000,2D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.0-2.5)
KIPQAD,2013,1.343,0.242,5.620,0.124,2.090,4.180,2.000,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[3.9-4.2),[2.0-2.5)
CEPJEO,2013,1.294,0.163,6.580,0.082,2.100,4.200,2.000,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PADKIP25,2013,1.353,0.244,5.120,0.219,2.100,4.200,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PADKIP22,2013,1.349,0.246,8.320,0.221,2.110,4.220,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PADKIP23,2013,1.351,0.245,7.200,0.224,2.110,4.220,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PADKIP24,2013,1.352,0.245,5.820,0.221,2.110,4.220,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.0-2.5)
TIFHIB,2013,1.576,0.207,32.560,0.106,2.110,4.860,2.303,1D,[1.5-1.6),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.0-2.5)
REJREF,2013,0.994,0.414,623.050,0.338,2.110,5.980,2.834,1D,[0.8-1.0),[0.4-0.5),[600-800),[0.3-0.4),[1.6-2.2),[5.6-6.0),[2.5-3.0)
PADKIP20,2013,1.346,0.249,12.230,0.225,2.120,4.230,1.995,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[1.8-2.0)
PADKIP21,2013,1.348,0.248,10.620,0.224,2.120,4.230,1.995,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[1.8-2.0)
HAZZUF,2013,1.795,0.192,56.190,0.062,2.120,5.290,2.495,3D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[1.6-2.2),[5.0-5.3),[2.0-2.5)
GEVSAD,2013,1.116,0.223,12.040,0.144,2.130,4.260,2.000,2D,[1.1-1.2),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PADKIP18,2013,1.344,0.250,15.950,0.228,2.130,4.260,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PADKIP19,2013,1.345,0.249,14.150,0.225,2.130,4.250,1.995,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[1.8-2.0)
WIQBAB,2013,1.066,0.355,306.120,0.237,2.130,6.450,3.028,2D,[1.0-1.1),[0.3-0.4),[300-400),[0.2-0.3),[1.6-2.2),[6.0-6.5),[3.0-4.0)
GICXIB01,2013,1.491,0.252,15.100,0.195,2.140,4.270,1.995,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[1.8-2.0)
GICXIB,2013,1.488,0.258,21.370,0.198,2.140,4.290,2.005,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.1-0.2),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PADKIP16,2013,1.342,0.252,19.370,0.228,2.140,4.280,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PADKIP17,2013,1.343,0.251,18.010,0.225,2.140,4.280,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[2.0-2.5)
PEQLII,2013,1.194,0.359,260.720,0.216,2.140,5.720,2.673,1D,[1.1-1.2),[0.3-0.4),[200-300),[0.2-0.3),[1.6-2.2),[5.6-6.0),[2.5-3.0)
FIJBUX,2013,1.241,0.248,99.040,0.146,2.140,4.940,2.308,2D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.8-5.0),[2.0-2.5)
PADKIP03,2013,1.340,0.254,18.360,0.233,2.150,4.290,1.995,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.2-4.3),[1.8-2.0)
PADKIP15,2013,1.341,0.252,21.080,0.229,2.150,4.300,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.3-4.4),[2.0-2.5)
WELZEU,2013,1.430,0.308,89.320,0.160,2.150,4.610,2.144,3D,[1.4-1.5),[0.3-0.4),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.0-2.5)
PADKIP14,2013,1.340,0.253,22.090,0.230,2.160,4.320,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.3-4.4),[2.0-2.5)
BEWKIZ,2013,1.427,0.323,148.540,0.173,2.160,5.470,2.532,1D,[1.4-1.5),[0.3-0.4),[100-150),[0.1-0.2),[1.6-2.2),[5.3-5.6),[2.5-3.0)
GEPZUY,2013,1.557,0.305,13.480,0.170,2.170,4.350,2.005,3D,[1.5-1.6),[0.3-0.4),[0-50),[0.1-0.2),[1.6-2.2),[4.3-4.4),[2.0-2.5)
PADKIP12,2013,1.336,0.255,25.800,0.229,2.170,4.340,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.3-4.4),[2.0-2.5)
HEBBAT,2013,1.721,0.200,60.850,0.065,2.170,5.500,2.535,3D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[1.6-2.2),[5.3-5.6),[2.5-3.0)
VIKRUE,2013,1.201,0.204,77.040,0.115,2.170,4.630,2.134,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.0-2.5)
XIHZEV,2013,1.044,0.265,53.480,0.179,2.170,4.630,2.134,1D,[1.0-1.1),[0.2-0.3),[50-100),[0.1-0.2),[1.6-2.2),[4.6-4.8),[2.0-2.5)
PADKIP11,2013,1.335,0.256,27.360,0.229,2.180,4.360,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.3-4.4),[2.0-2.5)
PADKIP13,2013,1.338,0.254,25.260,0.230,2.180,4.360,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[1.6-2.2),[4.3-4.4),[2.0-2.5)
ZEFVIR,2013,2.046,0.133,26.950,0.047,2.180,4.670,2.142,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.0-2.5)
SIVQAR,2013,1.703,0.163,83.040,0.071,2.180,5.810,2.665,1D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[1.6-2.2),[5.6-6.0),[2.5-3.0)
LEXXAP,2013,1.893,0.192,77.690,0.084,2.190,4.690,2.142,1D,[1.8-2.0),[0.1-0.2),[50-100),[0.0-0.1),[1.6-2.2),[4.6-4.8),[2.0-2.5)
ACAFER,2013,1.311,0.282,35.630,0.151,2.200,4.390,1.995,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.3-4.4),[1.8-2.0)
HAYWUB,2013,1.907,0.089,4.770,0.029,2.200,4.410,2.005,1D,[1.8-2.0),[0.0-0.1),[0-50),[0.0-0.1),[2.2-2.6),[4.4-4.5),[2.0-2.5)
PADKIP10,2013,1.330,0.258,36.150,0.236,2.200,4.400,2.000,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[2.2-2.6),[4.4-4.5),[2.0-2.5)
HAZNUT,2013,1.814,0.240,72.460,0.124,2.200,4.710,2.141,1D,[1.8-2.0),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.6-4.8),[2.0-2.5)
RIPNOV,2013,1.247,0.315,85.640,0.181,2.200,5.090,2.314,2D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[2.2-2.6),[5.0-5.3),[2.0-2.5)
XIHZAR,2013,1.048,0.268,59.630,0.178,2.200,4.710,2.141,1D,[1.0-1.1),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.6-4.8),[2.0-2.5)
DEDROV,2013,1.367,0.300,2.710,0.161,2.210,4.170,1.887,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.8-2.0)
PADKIP02,2013,1.328,0.262,38.160,0.237,2.210,4.430,2.005,3D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[2.2-2.6),[4.4-4.5),[2.0-2.5)
GEPBOU,2013,1.283,0.263,208.850,0.140,2.210,5.590,2.529,3D,[1.2-1.3),[0.2-0.3),[200-300),[0.1-0.2),[2.2-2.6),[5.3-5.6),[2.5-3.0)
PIBJAN,2013,1.240,0.194,40.040,0.108,2.220,4.440,2.000,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.1-0.2),[2.2-2.6),[4.4-4.5),[2.0-2.5)
XICFEW,2013,1.303,0.298,3.190,0.146,2.220,4.190,1.887,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.8-2.0)
VEHRIL,2013,1.319,0.432,615.190,0.306,2.220,8.380,3.775,1D,[1.3-1.4),[0.4-0.5),[600-800),[0.3-0.4),[2.2-2.6),[8.0-10.0),[3.0-4.0)
AGOWIE,2013,1.257,0.270,9.160,0.134,2.230,4.210,1.888,1D,[1.2-1.3),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.8-2.0)
HEFDIH,2013,1.419,0.111,14.050,0.035,2.230,4.760,2.135,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.6-4.8),[2.0-2.5)
NEVVIV,2013,1.369,0.146,2.700,0.083,2.230,4.210,1.888,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.8-2.0)
ZEFVEN,2013,2.092,0.129,24.950,0.045,2.230,4.460,2.000,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.4-4.5),[2.0-2.5)
BIJZUR,2013,1.452,0.160,8.400,0.084,2.240,4.220,1.884,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.8-2.0)
CIGZOJ,2013,1.218,0.216,72.760,0.126,2.240,4.480,2.000,1D,[1.2-1.3),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.4-4.5),[2.0-2.5)
HINSUU,2013,1.508,0.108,14.380,0.043,2.250,4.500,2.000,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.5-4.6),[2.0-2.5)
ZETQIA,2013,2.179,0.110,0.840,0.039,2.250,4.240,1.884,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.8-2.0)
WIRCAD,2013,1.431,0.265,52.050,0.135,2.260,4.530,2.004,1D,[1.4-1.5),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.5-4.6),[2.0-2.5)
CELMAJ,2013,1.617,0.197,5.060,0.091,2.270,4.280,1.885,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.8-2.0)
KILGIX,2013,1.306,0.135,9.410,0.064,2.270,4.280,1.885,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.8-2.0)
FIHKEO,2013,1.296,0.301,54.200,0.174,2.270,4.550,2.004,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.1-0.2),[2.2-2.6),[4.5-4.6),[2.0-2.5)
KIDCIL,2013,0.853,0.345,80.490,0.369,2.270,4.290,1.890,2D,[0.8-1.0),[0.3-0.4),[50-100),[0.3-0.4),[2.2-2.6),[4.2-4.3),[1.8-2.0)
BIBBAR,2013,1.230,0.117,9.310,0.074,2.280,4.290,1.882,1D,[1.2-1.3),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.8-2.0)
ZERNOB,2013,1.780,0.190,0.560,0.080,2.280,4.080,1.789,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
PEFSUQ,2013,1.239,0.214,270.710,0.164,2.280,6.080,2.667,1D,[1.2-1.3),[0.2-0.3),[200-300),[0.1-0.2),[2.2-2.6),[6.0-6.5),[2.5-3.0)
XIFJON,2013,1.146,0.355,283.150,0.246,2.280,5.270,2.311,2D,[1.1-1.2),[0.3-0.4),[200-300),[0.2-0.3),[2.2-2.6),[5.0-5.3),[2.0-2.5)
ZETQEW,2013,2.276,0.112,1.350,0.036,2.290,4.310,1.882,3D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.3-4.4),[1.8-2.0)
GEPZOS,2013,2.129,0.243,1.740,0.117,2.300,4.110,1.787,2D,[2.0-7.0],[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8)
LIMQOP,2013,1.424,0.215,33.970,0.095,2.300,4.330,1.883,1D,[1.4-1.5),[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.3-4.4),[1.8-2.0)
WIKZAT,2013,1.252,0.362,89.100,0.211,2.300,4.610,2.004,1D,[1.2-1.3),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.6-4.8),[2.0-2.5)
REZJIR03,2013,1.306,0.255,15.730,0.234,2.310,4.350,1.883,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.2-0.3),[2.2-2.6),[4.3-4.4),[1.8-2.0)
FEGFEE,2013,1.321,0.228,25.550,0.125,2.320,4.150,1.789,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8)
ZEFVOX,2013,2.060,0.131,25.250,0.046,2.320,4.640,2.000,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.6-4.8),[2.0-2.5)
HAZZOZ,2013,1.816,0.191,53.400,0.062,2.320,5.280,2.276,3D,[1.8-2.0),[0.1-0.2),[50-100),[0.0-0.1),[2.2-2.6),[5.0-5.3),[2.0-2.5)
PEJFER,2013,1.863,0.229,33.270,0.081,2.330,4.400,1.888,2D,[1.8-2.0),[0.2-0.3),[0-50),[0.0-0.1),[2.2-2.6),[4.4-4.5),[1.8-2.0)
VIFBOD,2013,1.962,0.274,39.250,0.139,2.330,4.390,1.884,1D,[1.8-2.0),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.3-4.4),[1.8-2.0)
WELZAQ,2013,1.215,0.336,156.620,0.206,2.330,4.660,2.000,3D,[1.2-1.3),[0.3-0.4),[150-200),[0.2-0.3),[2.2-2.6),[4.6-4.8),[2.0-2.5)
WIFGOJ,2013,1.993,0.301,231.520,0.138,2.330,9.940,4.266,2D,[1.8-2.0),[0.3-0.4),[200-300),[0.1-0.2),[2.2-2.6),[8.0-10.0),[4.0-5.0)
CEWDEP,2013,1.032,0.321,61.630,0.223,2.330,4.390,1.884,1D,[1.0-1.1),[0.3-0.4),[50-100),[0.2-0.3),[2.2-2.6),[4.3-4.4),[1.8-2.0)
HAZZIT,2013,1.771,0.195,57.760,0.064,2.330,5.300,2.275,3D,[1.6-1.8),[0.1-0.2),[50-100),[0.0-0.1),[2.2-2.6),[5.3-5.6),[2.0-2.5)
BIJZOL,2013,1.453,0.158,10.060,0.083,2.340,4.190,1.791,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
BIQRIE,2013,2.099,0.353,6.560,0.094,2.340,4.180,1.786,2D,[2.0-7.0],[0.3-0.4),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
DISSIJ,2013,1.350,0.257,39.730,0.147,2.340,4.420,1.889,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.4-4.5),[1.8-2.0)
GIBHOQ,2013,1.396,0.305,80.730,0.173,2.340,4.680,2.000,1D,[1.3-1.4),[0.3-0.4),[50-100),[0.1-0.2),[2.2-2.6),[4.6-4.8),[2.0-2.5)
HEBGUS,2013,1.508,0.129,8.520,0.048,2.350,4.430,1.885,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.4-4.5),[1.8-2.0)
ZETPUL,2013,2.394,0.109,0.800,0.033,2.350,4.190,1.783,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
ZETQAS,2013,2.367,0.109,0.980,0.035,2.350,4.200,1.787,2D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.6-1.8)
BIKBAA,2013,1.477,0.163,7.140,0.084,2.360,4.210,1.784,1D,[1.4-1.5),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.6-1.8)
ECOFOT,2013,1.199,0.159,33.760,0.086,2.360,4.440,1.881,2D,[1.1-1.2),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.4-4.5),[1.8-2.0)
TEJGIA01,2013,2.023,0.175,0.030,0.077,2.360,4.030,1.708,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
ZIDDIB,2013,1.953,0.192,10.470,0.054,2.360,4.450,1.886,1D,[1.8-2.0),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.4-4.5),[1.8-2.0)
YINTIA,2013,1.448,0.258,102.050,0.137,2.360,4.710,1.996,2D,[1.4-1.5),[0.2-0.3),[100-150),[0.1-0.2),[2.2-2.6),[4.6-4.8),[1.8-2.0)
FARLER,2013,1.046,0.277,32.020,0.189,2.380,4.260,1.790,1D,[1.0-1.1),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8)
MIPQAF,2013,1.570,0.185,21.180,0.075,2.380,4.480,1.882,1D,[1.5-1.6),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.4-4.5),[1.8-2.0)
XEKMIL,2013,2.047,0.172,0.180,0.073,2.380,4.070,1.710,1D,[2.0-7.0],[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
WIMJIN,2013,1.070,0.392,441.310,0.288,2.380,5.490,2.307,1D,[1.0-1.1),[0.3-0.4),[400-500),[0.2-0.3),[2.2-2.6),[5.3-5.6),[2.0-2.5)
FELWAW,2013,1.777,0.232,74.450,0.071,2.380,5.740,2.412,3D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.6-6.0),[2.0-2.5)
GEQBAH,2013,1.759,0.296,35.610,0.162,2.390,4.280,1.791,2D,[1.6-1.8),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.2-4.3),[1.6-1.8)
IRIQUW01,2013,1.378,0.131,1.040,0.079,2.390,4.080,1.707,1D,[1.3-1.4),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[3.9-4.2),[1.6-1.8)
NIQGIF,2013,1.725,0.183,27.060,0.078,2.390,4.270,1.787,1D,[1.6-1.8),[0.1-0.2),[0-50),[0.0-0.1),[2.2-2.6),[4.2-4.3),[1.6-1.8)
PILWIS,2013,1.377,0.228,0.070,0.110,2.390,4.070,1.703,2D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[3.9-4.2),[1.6-1.8)
PIPZUL,2013,1.304,0.252,80.470,0.155,2.390,5.110,2.138,3D,[1.3-1.4),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[5.0-5.3),[2.0-2.5)
YEZSEC01,2013,1.816,0.200,62.920,0.064,2.400,5.550,2.313,3D,[1.8-2.0),[0.1-0.2),[50-100),[0.0-0.1),[2.2-2.6),[5.3-5.6),[2.0-2.5)
GAXGET01,2013,1.352,0.238,33.450,0.100,2.410,4.540,1.884,1D,[1.3-1.4),[0.2-0.3),[0-50),[0.1-0.2),[2.2-2.6),[4.5-4.6),[1.8-2.0)
PEMHOG,2013,1.097,0.289,143.560,0.194,2.410,5.150,2.137,1D,[1.0-1.1),[0.2-0.3),[100-150),[0.1-0.2),[2.2-2.6),[5.0-5.3),[2.0-2.5)
VIKSAL,2013,1.197,0.225,118.870,0.137,2.410,4.830,2.004,1D,[1.1-1.2),[0.2-0.3),[100-150),[0.1-0.2),[2.2-2.6),[4.8-5.0),[2.0-2.5)
XEVGUC,2013,1.971,0.215,65.690,0.061,2.410,5.570,2.311,3D,[1.8-2.0),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.3-5.6),[2.0-2.5)
NIBWUS,2013,1.306,0.274,166.920,0.162,2.420,5.180,2.140,1D,[1.3-1.4),[0.2-0.3),[150-200),[0.1-0.2),[2.2-2.6),[5.0-5.3),[2.0-2.5)
TEYLEQ,2013,1.178,0.409,399.450,0.251,2.420,5.180,2.140,1D,[1.1-1.2),[0.4-0.5),[300-400),[0.2-0.3),[2.2-2.6),[5.0-5.3),[2.0-2.5)
CICCEY,2013,1.638,0.258,87.710,0.129,2.420,4.840,2.000,1D,[1.6-1.8),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.8-5.0),[2.0-2.5)
FELWEA,2013,1.677,0.239,86.100,0.075,2.420,5.840,2.413,3D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.6-6.0),[2.0-2.5)
HAZNON,2013,2.012,0.234,63.510,0.096,2.420,4.830,1.996,1D,[2.0-7.0],[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[4.8-5.0),[1.8-2.0)
IDUDES,2013,1.273,0.407,35.420,0.231,2.430,4.340,1.786,1D,[1.2-1.3),[0.4-0.5),[0-50),[0.2-0.3),[2.2-2.6),[4.3-4.4),[1.6-1.8)
FESBEM,2013,1.557,0.319,204.870,0.151,2.430,5.190,2.136,2D,[1.5-1.6),[0.3-0.4),[200-300),[0.1-0.2),[2.2-2.6),[5.0-5.3),[2.0-2.5)
NIJVEJ,2013,1.138,0.469,373.340,0.309,2.430,5.610,2.309,1D,[1.1-1.2),[0.4-0.5),[300-400),[0.3-0.4),[2.2-2.6),[5.6-6.0),[2.0-2.5)
DIQFIU,2013,1.176,0.252,82.100,0.152,2.430,4.580,1.885,2D,[1.1-1.2),[0.2-0.3),[50-100),[0.1-0.2),[2.2-2.6),[4.5-4.6),[1.8-2.0)
FELWIE,2013,1.745,0.231,77.180,0.072,2.430,5.840,2.403,3D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.6-6.0),[2.0-2.5)
FIGQUJ,2013,1.490,0.192,50.950,0.099,2.430,4.580,1.885,1D,[1.4-1.5),[0.1-0.2),[50-100),[0.0-0.1),[2.2-2.6),[4.5-4.6),[1.8-2.0)
OFEYOP,2013,1.215,0.290,34.470,0.211,2.440,4.360,1.787,2D,[1.2-1.3),[0.2-0.3),[0-50),[0.2-0.3),[2.2-2.6),[4.3-4.4),[1.6-1.8)
KENJUK,2013,1.554,0.403,179.120,0.200,2.440,5.230,2.143,2D,[1.5-1.6),[0.4-0.5),[150-200),[0.2-0.3),[2.2-2.6),[5.0-5.3),[2.0-2.5)
BIJYEA,2013,1.054,0.322,274.750,0.223,2.440,5.220,2.139,2D,[1.0-1.1),[0.3-0.4),[200-300),[0.2-0.3),[2.2-2.6),[5.0-5.3),[2.0-2.5)
FELVEZ,2013,1.714,0.235,81.180,0.074,2.440,5.850,2.398,3D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.6-6.0),[2.0-2.5)
FELVID,2013,1.726,0.234,81.450,0.074,2.440,5.860,2.402,3D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.6-6.0),[2.0-2.5)
FELVUP,2013,1.718,0.234,81.050,0.074,2.440,5.860,2.402,3D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.6-6.0),[2.0-2.5)
FELWOK,2013,1.754,0.239,77.270,0.072,2.440,5.840,2.393,3D,[1.6-1.8),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.6-6.0),[2.0-2.5)
FELWUQ,2013,1.497,0.240,93.780,0.085,2.440,5.870,2.406,3D,[1.4-1.5),[0.2-0.3),[50-100),[0.0-0.1),[2.2-2.6),[5.6-6.0),[2.0-2.5)
