DDEC code,MOF family,Ref code,Pressure (bar),Grav. Uptake (mol/kg),Vol. Uptake (cm3/cm3),Qst (kJ/mol),Grav. Working Capacity (mol/kg),Deliverable Capacity (Vol.),Density (g/cm3),Pore Limiting Diameter (A),Largest Cavity Diameter (A),Vol. Surface Area (m2/cm3),Grav. Surface Area (m2/g),Pore Volume (cm3/g),Void Fraction
KANCIN,ZnO,core-mof-ddec-1204,1,0.645705286,17.18284173,15.00095,8.415477376,170.3627594,1.1872,4.02,4.68,586.57,494.08,0.27796496,0.33
KANDEK,ZnO,core-mof-ddec-1205,1,0.569007426,17.39557617,20.48461,4.386875953,116.7390091,1.3639,3.3,4.89,0,0,0.183297896,0.25
KANDIO,ZnO,core-mof-ddec-1206,1,0.655689168,17.15392307,21.40731,2.859305856,87.41410132,1.16715,4.18,6.35,853.62,731.369,0.342715161,0.4
KANMIX,Cu-Cu,core-mof-ddec-1207,1,0.434161914,10.54173096,19.24113,5.224194276,136.6736422,1.08328,3.95,9.77,1269.4,1171.81,0.535410974,0.58
KAPGUE,None,core-mof-ddec-1208,1,0.006321948,0.266374367,15.94075,7.850503876,190.6152917,1.87985,2.52,3.49,0,0,0.06383488,0.12
KAPHAL,None,core-mof-ddec-1209,1,0.005896579,0.251618944,13.67934,0.791602575,33.35405993,1.90381,2.48,3.48,0,0,0.0630315,0.12
BAHGUN01,None,core-mof-ddec-121,1,0.994429762,33.68205756,13.24643,0.796068587,33.96985555,1.51116,3.23,4.23,0,0,0.086026629,0.13
KAPHOZ,None,core-mof-ddec-1210,1,0.196198823,5.938364176,24.05151,0.934129381,31.63963991,1.3503,2.5,3.65,0,0,0.266607421,0.36
KASRAZ,None,core-mof-ddec-1211,1,0.583473621,12.90050782,16.12547,4.217150575,127.640806,0.986437,4.14,6.02,1904.87,1931.06,0.598112196,0.59
KATDAM,None,core-mof-ddec-1212,1,0.072092602,2.271209405,17.24285,9.151523388,202.3387086,1.40557,6.07,6.25,311.28,221.461,0.085374617,0.12
KAVGAQ,None,core-mof-ddec-1213,1,0.763389048,19.76826107,17.15393,1.213478825,38.22950574,1.15534,4.92,5.26,1191.6,1031.39,0.320252047,0.37
KAVKIC,None,core-mof-ddec-1214,1,0.121934624,7.032372878,18.62765,4.57226903,118.4007134,2.5731,3.47,5.02,0,0,0.097159069,0.25
KAVLID,None,core-mof-ddec-1215,1,0.341631966,10.39443192,17.9991,1.285324287,74.12890119,1.35746,2.42,3.81,0,0,0.073666996,0.1
KAVREG,None,core-mof-ddec-1216,1,0.129930816,5.304706828,23.58394,1.060033196,32.25237683,1.82149,2.84,5.54,0,0,0.126270251,0.23
KAVRIK,None,core-mof-ddec-1217,1,0.210046016,6.550516545,16.91582,1.777658857,72.57677127,1.39136,2.97,5.6,0,0,0.179680313,0.25
KAVROQ,ZnO,core-mof-ddec-1218,1,0.147253206,6.259575171,16.81672,2.499191686,77.94004753,1.8963,2.87,5.57,0,0,0.147655962,0.28
KAVTUY,None,core-mof-ddec-1219,1,0.126142294,5.852891379,16.69549,1.7829517,75.79135625,2.0701,4.09,5.23,491.396,237.378,0.077290952,0.16
BAHGUN04,None,core-mof-ddec-122,1,0.943823415,31.42714882,17.58234,1.333745744,61.8846283,1.48559,3.29,4.27,0,0,0.094238653,0.14
KAWBOB,None,core-mof-ddec-1220,1,0.280593912,6.818656554,23.31351,0.966972359,32.1979554,1.08418,6.39,7.62,1371.55,1265.06,0.442730912,0.48
KAXQIL,None,core-mof-ddec-1221,1,0.935682095,32.55379744,16.02286,7.114383201,172.885204,1.55224,3.77,5.13,291.557,187.83,0.096634541,0.15
KAXQOR01,None,core-mof-ddec-1222,1,0.948401598,33.32502692,22.61602,1.084942659,37.74679858,1.5677,3.66,4.99,0,0,0.095681572,0.15
KAXQOR,None,core-mof-ddec-1223,1,0.876392172,30.51836416,22.34025,0.967989052,34.01329278,1.55363,4.04,4.51,243.564,156.771,0.083675006,0.13
